-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       flashvqg/attn/phase1/state_build         0.21%      27.586ms        22.65%        2.945s        2.945s       0.000us         0.00%     177.783ms     177.783ms           8 b           8 b     243.06 Mb    -101.90 Mb             1  
                              gd_residual/grouped_chunk         5.64%     733.684ms        21.55%        2.802s     700.609ms       0.000us         0.00%     174.706ms      43.677ms           0 b           0 b     109.65 Mb     -75.58 Mb             4  
                                  cudaDeviceSynchronize        20.18%        2.624s        20.18%        2.624s      24.990ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           105  
autograd::engine::evaluate_function: SelectBackward0...         2.64%     342.896ms        17.10%        2.223s      69.761us       0.000us         0.00%     346.760ms      10.883us           0 b           0 b      97.48 Mb     -19.99 Gb         31863  
                                       cudaLaunchKernel        14.46%        1.880s        14.46%        1.880s       7.535us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        249473  
      autograd::engine::evaluate_function: MulBackward0         2.59%     337.296ms        13.27%        1.725s      75.662us       0.000us         0.00%     267.021ms      11.709us         -16 b         -16 b    -126.02 Mb    -414.69 Mb         22804  
                                        SelectBackward0         0.66%      85.251ms        11.78%        1.531s      48.052us       0.000us         0.00%     163.910ms       5.144us           0 b           0 b      20.09 Gb           0 b         31863  
                       flashvqg/attn/phase1/project_qkv         0.01%     737.401us        11.52%        1.498s        1.498s       0.000us         0.00%     891.588ms     891.588ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
                                      LayerNormFunction         5.69%     739.780ms        11.45%        1.489s     744.492ms      14.488ms         0.33%     891.488ms     445.744ms           0 b      -7.51 Kb       1.52 Mb      -2.25 Gb             2  
