-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         2.30%     298.582ms         2.30%     299.230ms       5.377us       0.000us         0.00%       0.000us       0.000us      25.91 Kb      25.91 Kb      29.18 Gb      29.18 Gb         55645  
                                    aten::empty_strided         0.23%      30.311ms         0.24%      30.758ms       6.463us       0.000us         0.00%       0.000us       0.000us       2.50 Kb       2.50 Kb      24.34 Gb      24.34 Gb          4759  
                            torch::autograd::CopySlices         0.51%      66.323ms         3.45%     448.354ms     102.833us       0.000us         0.00%     138.465ms      31.758us           0 b           0 b      24.25 Gb    -234.01 Mb          4360  
                                aten::new_empty_strided         0.09%      11.209ms         0.30%      39.458ms       9.050us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.25 Gb           0 b          4360  
                                            aten::zeros         0.80%     104.409ms         5.42%     704.380ms      22.011us       0.000us         0.00%      95.313ms       2.978us           0 b           0 b      20.43 Gb           0 b         32001  
                                        SelectBackward0         0.66%      85.251ms        11.78%        1.531s      48.052us       0.000us         0.00%     163.910ms       5.144us           0 b           0 b      20.09 Gb           0 b         31863  
                                  aten::select_backward         1.40%     182.354ms        11.12%        1.446s      45.376us       0.000us         0.00%     163.910ms       5.144us           0 b           0 b      20.09 Gb           0 b         31863  
                                              aten::mul         7.13%     927.070ms        11.17%        1.452s      16.680us     229.137ms         5.30%     229.137ms       2.633us         540 b         408 b     513.11 Mb     513.11 Mb         87026  
                                         SliceBackward0         0.00%     304.505us         0.04%       5.571ms      45.295us       0.000us         0.00%       2.111ms      17.164us           0 b           0 b     308.97 Mb           0 b           123  
                                   aten::slice_backward         0.01%     781.196us         0.04%       5.267ms      42.820us       0.000us         0.00%       2.111ms      17.164us           0 b           0 b     308.97 Mb           0 b           123  
