-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         3.79%     817.406ms         3.80%     817.999ms       5.312us       0.000us         0.00%       0.000us       0.000us      25.94 Kb      25.94 Kb      83.26 Gb      83.26 Gb        153989  
                                            aten::zeros         1.53%     330.674ms        10.49%        2.260s      21.804us       0.000us         0.00%     342.104ms       3.301us           0 b           0 b      74.50 Gb           0 b        103639  
                                        SelectBackward0         1.30%     279.647ms        22.53%        4.856s      46.921us       0.000us         0.00%     602.464ms       5.821us           0 b           0 b      74.15 Gb           0 b        103497  
                                  aten::select_backward         2.61%     562.598ms        21.24%        4.577s      44.219us       0.000us         0.00%     602.464ms       5.821us           0 b           0 b      74.15 Gb           0 b        103497  
                                    aten::empty_strided         0.49%     105.428ms         0.49%     105.799ms       5.834us       0.000us         0.00%       0.000us       0.000us       2.48 Kb       2.48 Kb      40.52 Gb      40.52 Gb         18135  
                            torch::autograd::CopySlices         1.23%     264.595ms         8.34%        1.797s     101.228us       0.000us         0.00%     328.408ms      18.501us           0 b           0 b      40.44 Gb    -261.84 Mb         17751  
                                aten::new_empty_strided         0.21%      44.730ms         0.68%     147.510ms       8.310us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      40.43 Gb           0 b         17751  
                                              aten::mul         4.50%     969.177ms         7.06%        1.521s      16.658us     245.908ms         4.53%     245.908ms       2.693us         452 b         320 b     514.69 Mb     514.69 Mb         91328  
                                         SliceBackward0         0.00%     321.398us         0.03%       5.680ms      46.180us       0.000us         0.00%       2.077ms      16.890us           0 b           0 b     308.97 Mb           0 b           123  
                                   aten::slice_backward         0.00%     822.548us         0.02%       5.359ms      43.567us       0.000us         0.00%       2.077ms      16.890us           0 b           0 b     308.97 Mb           0 b           123  
