-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         3.75%     776.859ms         3.75%     777.735ms       5.533us       0.000us         0.00%       0.000us       0.000us      25.84 Kb      25.84 Kb      45.24 Gb      45.24 Gb        140564  
                                            aten::zeros         1.55%     320.444ms        10.53%        2.184s      22.995us       0.000us         0.00%     251.294ms       2.645us           0 b           0 b      35.66 Gb           0 b         94991  
                                        SelectBackward0         1.31%     272.461ms        22.54%        4.675s      49.290us       0.000us         0.00%     475.836ms       5.017us           0 b           0 b      35.46 Gb           0 b         94849  
                                  aten::select_backward         2.65%     549.328ms        21.23%        4.403s      46.417us       0.000us         0.00%     475.836ms       5.017us           0 b           0 b      35.46 Gb           0 b         94849  
                                    aten::empty_strided         0.44%      91.761ms         0.44%      92.072ms       5.846us       0.000us         0.00%       0.000us       0.000us       2.50 Kb       2.50 Kb      25.56 Gb      25.56 Gb         15750  
                            torch::autograd::CopySlices         1.16%     240.129ms         7.85%        1.628s     105.972us       0.000us         0.00%     244.255ms      15.896us           0 b           0 b      25.53 Gb    -118.77 Mb         15366  
                                aten::new_empty_strided         0.19%      40.355ms         0.62%     129.296ms       8.414us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      25.49 Gb           0 b         15366  
                                        aten::new_empty         0.00%     104.753us         0.00%     528.471us       8.257us       0.000us         0.00%       0.000us       0.000us          33 b           0 b       1.12 Gb           0 b            64  
                                        aten::new_zeros         0.00%     142.424us         0.01%       1.049ms      33.853us       0.000us         0.00%       2.246ms      72.445us           0 b           0 b       1.12 Gb           0 b            31  
                                        GatherBackward0         0.00%      14.094us         0.00%     550.246us     137.562us       0.000us         0.00%       2.201ms     550.239us           0 b           0 b       1.06 Gb           0 b             4  
