-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            aten::empty         2.26%     289.752ms         2.26%     290.409ms       5.219us       0.000us         0.00%       0.000us       0.000us      25.92 Kb      25.92 Kb      29.18 Gb      29.18 Gb         55645
                                    aten::empty_strided         0.19%      24.986ms         0.20%      25.417ms       5.341us       0.000us         0.00%       0.000us       0.000us       2.50 Kb       2.50 Kb      24.34 Gb      24.34 Gb          4759
                            torch::autograd::CopySlices         0.52%      66.259ms         3.40%     437.280ms     100.294us       0.000us         0.00%     138.068ms      31.667us           0 b           0 b      24.25 Gb    -228.38 Mb          4360
                                aten::new_empty_strided         0.09%      11.352ms         0.27%      34.433ms       7.898us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.25 Gb           0 b          4360
                                            aten::zeros         0.80%     102.819ms         5.30%     680.816ms      21.275us       0.000us         0.00%      94.108ms       2.941us           0 b           0 b      20.43 Gb           0 b         32001
                                        SelectBackward0         0.68%      87.366ms        11.53%        1.482s      46.511us       0.000us         0.00%     160.285ms       5.030us           0 b           0 b      20.09 Gb           0 b         31863
                                  aten::select_backward         1.35%     173.157ms        10.85%        1.395s      43.769us       0.000us         0.00%     160.285ms       5.030us           0 b           0 b      20.09 Gb           0 b         31863
                                              aten::mul         7.26%     933.205ms        11.22%        1.442s      16.568us     224.583ms         5.22%     224.585ms       2.581us         564 b         432 b     513.11 Mb     513.11 Mb         87026
                                         SliceBackward0         0.00%     341.003us         0.04%       5.498ms      44.700us       0.000us         0.00%       2.088ms      16.972us           0 b           0 b     308.97 Mb           0 b           123
                                   aten::slice_backward         0.01%     718.462us         0.04%       5.157ms      41.927us       0.000us         0.00%       2.088ms      16.972us           0 b           0 b     308.97 Mb           0 b           123
