-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            aten::fill_         1.56%     200.871ms         3.57%     458.473ms      10.625us        3.340s        77.61%        3.340s      77.402us           0 b           0 b           0 b           0 b         43150
                                            aten::zero_         0.92%     118.276ms         4.49%     576.345ms      13.396us       0.000us         0.00%        3.340s      77.630us           0 b           0 b           0 b           0 b         43023
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        3.235s        75.18%        3.235s     492.613us           0 b           0 b           0 b           0 b          6568
                       flashvqg/attn/phase1/state_build         0.00%       0.000us         0.00%       0.000us       0.000us        2.898s        67.35%        2.898s        2.898s           0 b           0 b           0 b           0 b             1
                              gd_residual/grouped_chunk         0.00%       0.000us         0.00%       0.000us       0.000us        2.783s        64.68%        2.783s     695.845ms           0 b           0 b           0 b           0 b             4
                       flashvqg/attn/phase1/project_qkv         0.00%       0.000us         0.00%       0.000us       0.000us        1.494s        34.72%        1.494s        1.494s           0 b           0 b           0 b           0 b             1
                              flashvqg/attn/output_proj         0.00%       0.000us         0.00%       0.000us       0.000us     971.942ms        22.58%     971.942ms     971.942ms           0 b           0 b           0 b           0 b             1
                              flashvqg/attn/output_proj         0.00%     229.373us         7.57%     972.053ms     972.053ms       0.000us         0.00%     933.219ms     933.219ms           0 b           0 b       2.51 Mb           0 b             1
                                 LayerNormGatedFunction         1.57%     201.404ms         7.56%     971.531ms     971.531ms      12.707ms         0.30%     933.197ms     933.197ms           0 b      -7.89 Kb     520.00 Kb      -2.25 Gb             1
autograd::engine::evaluate_function: LayerNormGatedF...         0.00%      20.743us         7.58%     974.150ms     974.150ms       0.000us         0.00%     912.925ms     912.925ms           0 b           0 b    -519.50 Kb      -1.51 Mb             1
