metric,step,epoch,timestamp,value
attn/gd_residual_inject_ratio,0,1,2026-05-14T14:30:04.640294+00:00,0.015002219006419182
attn/gd_residual_inject_ratio,2,2,2026-05-14T14:30:14.004019+00:00,0.0
attn/gd_residual_lambda_mean,0,1,2026-05-14T14:30:04.639998+00:00,0.05000000819563866
attn/gd_residual_lambda_mean,2,2,2026-05-14T14:30:14.003846+00:00,0.04996194690465927
attn/gd_residual_m_norm_max,0,1,2026-05-14T14:30:04.639417+00:00,0.22222335636615753
attn/gd_residual_m_norm_max,2,2,2026-05-14T14:30:14.003498+00:00,0.2100858986377716
attn/gd_residual_m_norm_mean,0,1,2026-05-14T14:30:04.639097+00:00,0.0192868709564209
attn/gd_residual_m_norm_mean,2,2,2026-05-14T14:30:14.003264+00:00,0.009387270547449589
attn/gd_residual_mu_valid_ratio,0,1,2026-05-14T14:30:04.639719+00:00,0.12461090087890625
attn/gd_residual_mu_valid_ratio,2,2,2026-05-14T14:30:14.003673+00:00,0.0024261474609375
attn/gd_residual_write_strength_mean,0,1,2026-05-14T14:30:04.638718+00:00,0.125
attn/gd_residual_write_strength_mean,2,2,2026-05-14T14:30:14.002930+00:00,0.12493286281824112
layer_1/attn/gd_residual_inject_ratio,0,1,2026-05-14T14:30:04.641905+00:00,0.015002219006419182
layer_1/attn/gd_residual_inject_ratio,2,2,2026-05-14T14:30:14.005011+00:00,0.0
layer_1/attn/gd_residual_lambda_mean,0,1,2026-05-14T14:30:04.641658+00:00,0.05000000819563866
layer_1/attn/gd_residual_lambda_mean,2,2,2026-05-14T14:30:14.004830+00:00,0.04996194690465927
layer_1/attn/gd_residual_m_norm_max,0,1,2026-05-14T14:30:04.641133+00:00,0.22222335636615753
layer_1/attn/gd_residual_m_norm_max,2,2,2026-05-14T14:30:14.004495+00:00,0.2100858986377716
layer_1/attn/gd_residual_m_norm_mean,0,1,2026-05-14T14:30:04.640850+00:00,0.0192868709564209
layer_1/attn/gd_residual_m_norm_mean,2,2,2026-05-14T14:30:14.004336+00:00,0.009387270547449589
layer_1/attn/gd_residual_mu_valid_ratio,0,1,2026-05-14T14:30:04.641398+00:00,0.12461090087890625
layer_1/attn/gd_residual_mu_valid_ratio,2,2,2026-05-14T14:30:14.004656+00:00,0.0024261474609375
layer_1/attn/gd_residual_write_strength_mean,0,1,2026-05-14T14:30:04.640582+00:00,0.125
layer_1/attn/gd_residual_write_strength_mean,2,2,2026-05-14T14:30:14.004175+00:00,0.12493286281824112
train/loss,0,1,2026-05-14T14:30:04.638099+00:00,10.809054374694824
train/loss,2,2,2026-05-14T14:30:14.002629+00:00,10.786506652832031
valid/accuracy,1,1,2026-05-14T14:30:09.978991+00:00,0.0
valid/accuracy,3,2,2026-05-14T14:30:16.219228+00:00,0.0
valid/attn/gd_residual_inject_ratio,1,1,2026-05-14T14:30:09.986579+00:00,0.010468614622368477
valid/attn/gd_residual_inject_ratio,3,2,2026-05-14T14:30:16.222619+00:00,0.010663385008228943
valid/attn/gd_residual_lambda_mean,1,1,2026-05-14T14:30:09.986309+00:00,0.04996306588873267
valid/attn/gd_residual_lambda_mean,3,2,2026-05-14T14:30:16.222499+00:00,0.04996419185772538
valid/attn/gd_residual_m_norm_max,1,1,2026-05-14T14:30:09.985721+00:00,0.18196726660244167
valid/attn/gd_residual_m_norm_max,3,2,2026-05-14T14:30:16.222260+00:00,0.18393464270047843
valid/attn/gd_residual_m_norm_mean,1,1,2026-05-14T14:30:09.985235+00:00,0.01590537460288033
valid/attn/gd_residual_m_norm_mean,3,2,2026-05-14T14:30:16.222136+00:00,0.01592870434978977
valid/attn/gd_residual_mu_valid_ratio,1,1,2026-05-14T14:30:09.986021+00:00,0.08749771118164062
valid/attn/gd_residual_mu_valid_ratio,3,2,2026-05-14T14:30:16.222379+00:00,0.09267234802246094
valid/attn/gd_residual_write_strength_mean,1,1,2026-05-14T14:30:09.984925+00:00,0.12494129478000104
valid/attn/gd_residual_write_strength_mean,3,2,2026-05-14T14:30:16.222002+00:00,0.12491971487179399
valid/input_seq_len/accuracy-1024,1,1,2026-05-14T14:30:09.982215+00:00,0.0
valid/input_seq_len/accuracy-1024,3,2,2026-05-14T14:30:16.220904+00:00,0.0
valid/input_seq_len/accuracy-128,1,1,2026-05-14T14:30:09.981320+00:00,0.0
valid/input_seq_len/accuracy-128,3,2,2026-05-14T14:30:16.220561+00:00,0.0
valid/input_seq_len/accuracy-256,1,1,2026-05-14T14:30:09.981606+00:00,0.0
valid/input_seq_len/accuracy-256,3,2,2026-05-14T14:30:16.220677+00:00,0.0
valid/input_seq_len/accuracy-512,1,1,2026-05-14T14:30:09.981923+00:00,0.0
valid/input_seq_len/accuracy-512,3,2,2026-05-14T14:30:16.220792+00:00,0.0
valid/input_seq_len/accuracy-64,1,1,2026-05-14T14:30:09.981032+00:00,0.0
valid/input_seq_len/accuracy-64,3,2,2026-05-14T14:30:16.220446+00:00,0.0
valid/layer_1/attn/gd_residual_inject_ratio,1,1,2026-05-14T14:30:09.988517+00:00,0.010468614622368477
valid/layer_1/attn/gd_residual_inject_ratio,3,2,2026-05-14T14:30:16.223345+00:00,0.010663385008228943
valid/layer_1/attn/gd_residual_lambda_mean,1,1,2026-05-14T14:30:09.988034+00:00,0.04996306588873267
valid/layer_1/attn/gd_residual_lambda_mean,3,2,2026-05-14T14:30:16.223228+00:00,0.04996419185772538
valid/layer_1/attn/gd_residual_m_norm_max,1,1,2026-05-14T14:30:09.987403+00:00,0.18196726660244167
valid/layer_1/attn/gd_residual_m_norm_max,3,2,2026-05-14T14:30:16.222975+00:00,0.18393464270047843
