-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        40.15%        2.276s        40.15%        2.276s      21.680ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           105  
                       flashvqg/attn/phase1/project_qkv         0.03%       1.573ms        31.64%        1.794s        1.794s       0.000us         0.00%     869.061ms     869.061ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
                                      LayerNormFunction        18.75%        1.063s        31.25%        1.772s     885.925ms      13.912ms         0.43%     868.961ms     434.480ms           0 b      -6.57 Kb       1.52 Mb      -2.25 Gb             2  
autograd::engine::evaluate_function: LayerNormGatedF...         0.00%      51.271us        18.57%        1.053s        1.053s       0.000us         0.00%     898.848ms     898.848ms           0 b           0 b    -519.50 Kb      -1.51 Mb             1  
                         LayerNormGatedFunctionBackward         7.04%     399.341ms        18.57%        1.053s        1.053s      17.225ms         0.53%     898.848ms     898.848ms           0 b      -7.04 Kb       1.00 Mb      -2.25 Gb             1  
                              flashvqg/attn/output_proj         0.00%     222.750us        17.88%        1.014s        1.014s       0.000us         0.00%     915.269ms     915.269ms           0 b           0 b       2.51 Mb           0 b             1  
                                 LayerNormGatedFunction         4.79%     271.462ms        17.87%        1.013s        1.013s      12.102ms         0.37%     915.249ms     915.249ms           0 b      -7.12 Kb     520.00 Kb      -2.25 Gb             1  
                                       cudaLaunchKernel        13.72%     777.649ms        13.72%     777.649ms      67.633us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11498  
autograd::engine::evaluate_function: LayerNormFuncti...         0.00%      50.479us        12.34%     699.838ms     349.919ms       0.000us         0.00%     599.210ms     299.605ms           0 b           0 b      -1.02 Mb      -2.02 Mb             2  
