config,run_id,source,gpu,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.00041015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,input_seq_len,128,valid/input_seq_len/accuracy-128,0.003875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.001484375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.001046875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.0389375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.00041015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.003875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.001484375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.000640625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.001453125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.0081875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.084
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,mqar_case,64x8,valid/mqar_case/accuracy-64x8,0.024625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.000640625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.0081875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.00041015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,1,mid_epoch,0.5,0,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.003875
