config,original_config,run_id,gpu,seed,data_seed,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.000234375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,input_seq_len,128,valid/input_seq_len/accuracy-128,0.000125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.00021875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.00023828125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.0003541666666666667
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.000234375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.000125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.00021875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.0002109375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,1,mid_epoch,0.5,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.000265625
