config,run_id,requested_run_id,model_family,source,comparison_scope,run_type,gpu,status,source_status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,fallback_from_profiles,failure_reason,log_path,gpu_memory_sample_path,manifest_path,source_analysis_dir,seed,data_seed,num_codebook_vectors,rank,dynamic_capacity,relative_to_gdn_h2_ev2,trainable_params,zoology_state_size_metric_seq1024,fox_remote_formula,fox_remote_read_topk,fox_gd_residual_write_topk,fox_gd_residual_builder,fox_gd_residual_pack_mode,fox_gd_residual_chunk_size,fox_gd_residual_mu_min_count,vq_score_mode,vq_weight_mode,vq_update_mode,vq_softmax_tau,vq_topk,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,valid_mqar_case_accuracy_256x64,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256,valid_attn_gd_residual_write_strength_mean,valid_attn_gd_residual_m_norm_mean,valid_attn_gd_residual_m_norm_max,valid_attn_gd_residual_mu_valid_ratio,valid_attn_gd_residual_lambda_mean,valid_attn_gd_residual_inject_ratio,valid_vq_relative_err_mean,valid_vq_c_entropy,valid_vq_c_usage_mean,valid_vq_write_entropy_mean,valid_vq_write_top1_mass_mean,num_heads,expand_v,use_gate,use_short_conv,conv_size,gdn_kernel_dtype_policy,dynamic_state_capacity
cb256-r10-s123-d123,gd-r10-s123-d123-b64-ga4-fp32-noearly4ep,gd-r10-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/2w7p3mkfyghd4xmgzmamk,/home/lyj/mnt/project/zoology/swanlog/run-20260519_174325-2w7p3mkfyghd4xmgzmamk,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s123-2026-05-19-17-43-20,12683.045606723987,03:31:23,False,6389,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s123-2026-05-19-17-43-20/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s123-2026-05-19-17-43-20/gd-r10-s123-d123-b64-ga4-fp32-noearly4ep,123,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.14956353604793549,0.98174560546875,0.89201953125,0.9850078125,0.987734375,0.995765625,0.98637109375,0.89201953125,0.9850078125,0.89201953125,0.027077715733044204,0.04849260372094928,12.452819958565728,0.3322998682657878,0.2221028624132039,0.11761890106376201,0.0668179951608181,3.3155470201893458,20.337301525804733,3.0698520262089986,0.25494514405727386,,,,,,,
cb256-r10-s124-d123,gd-r10-s124-d123-b64-ga4-fp32-noearly4ep,gd-r10-s124-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/359d108x1rgz0v4en6zpq,/home/lyj/mnt/project/zoology/swanlog/run-20260519_174325-359d108x1rgz0v4en6zpq,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s124-2026-05-19-17-43-20,16286.62114972435,04:31:27,False,6403,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s124-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s124-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s124-2026-05-19-17-43-20/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s124-2026-05-19-17-43-20/gd-r10-s124-d123-b64-ga4-fp32-noearly4ep,124,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.04493362084031105,0.99668359375,0.9852421875,0.9969765625,0.995375,0.99825,0.99617578125,0.9852421875,0.9969765625,0.9852421875,0.02463722985518712,0.013862197206074756,5.582885691097805,0.4088575045267741,0.28320893615720766,0.2087780170970493,0.06999132504302358,3.549587534060554,20.337301453427663,3.27725846332217,0.23029902840535793,,,,,,,
cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/bpnefr0n1a4rzca94seeh,/home/lyj/mnt/project/zoology/swanlog/run-20260519_211448-bpnefr0n1a4rzca94seeh,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s125-2026-05-19-21-14-43,13585.642972534522,03:46:26,False,6361,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s125-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s125-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s125-2026-05-19-21-14-43/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s125-2026-05-19-21-14-43/gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.039301443845033646,0.99725146484375,0.99073046875,0.998140625,0.993375,0.998109375,0.9957578125,0.99073046875,0.998140625,0.99073046875,0.03893163581452672,0.03352729241836757,12.671589817319598,0.4038353420439221,0.38063781797176316,0.132712372652595,0.07901434961055952,3.448908653524187,20.337301452718084,3.1807398772428908,0.24491612719638006,,,,,,,
gdn-h2-ev2-usegate0-s124-d123,gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/mdviif1hjhe7ingv7np38,/home/lyj/mnt/project/zoology/swanlog/run-20260520_010113-mdviif1hjhe7ingv7np38,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09,467.9288378050551,00:07:48,False,3483,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s124-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s124-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09/gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,124,123,,,,,1167878,,,,,,,,,,,,,,0.33105412125587463,0.9644248046875,0.725734375,0.9900546875,0.99965625,0.999953125,0.99485546875,0.725734375,0.9900546875,0.725734375,,,,,,,,,,,,2,2,False,True,4,float32,16384
gdn-h2-ev8-usegate0-s123-d123,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/osi4n6h2hxqtvbeje9ull,/home/lyj/mnt/project/zoology/swanlog/run-20260520_010902-osi4n6h2hxqtvbeje9ull,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57,696.2408601911739,00:11:36,False,3877,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,,,,,1367942,,,,,,,,,,,,,,0.2898484170436859,0.97862255859375,0.83168359375,0.99765625,0.999640625,1.0,0.9986484375,0.83168359375,0.99765625,0.83168359375,,,,,,,,,,,,2,8,False,True,4,float32,65536
gdn-h2-ev8-usegate0-s125-d123,gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/kg2fpl2q8grh5064k1p1m,/home/lyj/mnt/project/zoology/swanlog/run-20260520_012038-kg2fpl2q8grh5064k1p1m,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33,641.3605723585933,00:10:41,False,3877,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s125-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s125-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33/gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,125,123,,,,,1367942,,,,,,,,,,,,,,0.2838285267353058,0.9805283203125,0.8473984375,0.998046875,0.99915625,1.0,0.9986015625,0.8473984375,0.998046875,0.8473984375,,,,,,,,,,,,2,8,False,True,4,float32,65536
gdn-h1-ev2-usegate0-s123-d123,gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/8yes54qqavbofvxkh4zoy,/home/lyj/mnt/project/zoology/swanlog/run-20260520_013119-8yes54qqavbofvxkh4zoy,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15,574.2334677511826,00:09:34,False,3941,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev2-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev2-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15/gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,123,123,,,,,1167747,,,,,,,,,,,,,,0.4008715748786926,0.9489560546875,0.6325078125,0.96125,0.998703125,0.9991875,0.9799765625,0.6325078125,0.96125,0.6325078125,,,,,,,,,,,,1,2,False,True,4,float32,32768
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,0.24004417657852173,0.96753125,0.7871953125,0.9753203125,0.988515625,0.99640625,0.98191796875,0.7871953125,0.9753203125,0.7871953125,0.021294858994051105,0.05731341195669735,3.5837920504429985,0.29771028246198383,0.397053658784855,0.2112909878589331,0.07436229528060981,3.1256359687873294,20.337301522020308,2.9083961238936773,0.2626839523159322,,,,,,,
gdn-h2-ev2-usegate0-s125-d123,gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ixdmpy7rsz6enp6puackv,/home/lyj/mnt/project/zoology/swanlog/run-20260520_033934-ixdmpy7rsz6enp6puackv,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29,358.3577870381996,00:05:58,False,3469,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s125-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s125-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29/gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,125,123,,,,,1167878,,,,,,,,,,,,,,0.3845057785511017,0.95163427734375,0.64424609375,0.969828125,0.999296875,0.999703125,0.9845625,0.64424609375,0.969828125,0.64424609375,,,,,,,,,,,,2,2,False,True,4,float32,16384
gdn-h2-ev8-usegate0-s124-d123,gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/jzovmdocft99hd6dg6z4d,/home/lyj/mnt/project/zoology/swanlog/run-20260520_034532-jzovmdocft99hd6dg6z4d,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27,482.12089934013784,00:08:02,False,3863,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s124-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s124-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27/gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,124,123,,,,,1367942,,,,,,,,,,,,,,0.2921281158924103,0.97751611328125,0.82370703125,0.996796875,0.999875,1.0,0.9983359375,0.82370703125,0.996796875,0.82370703125,,,,,,,,,,,,2,8,False,True,4,float32,65536
