config,run_id,requested_run_id,model_family,source,comparison_scope,run_type,gpu,status,source_status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,fallback_from_profiles,failure_reason,log_path,gpu_memory_sample_path,manifest_path,source_analysis_dir,seed,data_seed,num_heads,expand_v,use_gate,use_short_conv,conv_size,gdn_kernel_dtype_policy,dynamic_state_capacity,trainable_params,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,valid_mqar_case_accuracy_256x64,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256
gdn-h2-ev2-usegate0-s124-d123,gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/mdviif1hjhe7ingv7np38,/home/lyj/mnt/project/zoology/swanlog/run-20260520_010113-mdviif1hjhe7ingv7np38,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09,467.9288378050551,00:07:48,False,3483,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s124-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s124-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s124-2026-05-20-01-01-09/gdn-h2-ev2-s124-d123-b64-ga4-fp32-noearly4ep,124,123,2,2,False,True,4,float32,16384,1167878,0.33105412125587463,0.9644248046875,0.725734375,0.9900546875,0.99965625,0.999953125,0.99485546875,0.725734375,0.9900546875,0.725734375
gdn-h2-ev8-usegate0-s123-d123,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/osi4n6h2hxqtvbeje9ull,/home/lyj/mnt/project/zoology/swanlog/run-20260520_010902-osi4n6h2hxqtvbeje9ull,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57,696.2408601911739,00:11:36,False,3877,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,8,False,True,4,float32,65536,1367942,0.2898484170436859,0.97862255859375,0.83168359375,0.99765625,0.999640625,1.0,0.9986484375,0.83168359375,0.99765625,0.83168359375
gdn-h2-ev8-usegate0-s125-d123,gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/kg2fpl2q8grh5064k1p1m,/home/lyj/mnt/project/zoology/swanlog/run-20260520_012038-kg2fpl2q8grh5064k1p1m,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33,641.3605723585933,00:10:41,False,3877,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s125-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s125-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s125-2026-05-20-01-20-33/gdn-h2-ev8-s125-d123-b64-ga4-fp32-noearly4ep,125,123,2,8,False,True,4,float32,65536,1367942,0.2838285267353058,0.9805283203125,0.8473984375,0.998046875,0.99915625,1.0,0.9986015625,0.8473984375,0.998046875,0.8473984375
gdn-h1-ev2-usegate0-s123-d123,gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,0,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/8yes54qqavbofvxkh4zoy,/home/lyj/mnt/project/zoology/swanlog/run-20260520_013119-8yes54qqavbofvxkh4zoy,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15,574.2334677511826,00:09:34,False,3941,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev2-s123-gpu0.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev2-s123-gpu0-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev2-s123-2026-05-20-01-31-15/gdn-h1-ev2-s123-d123-b64-ga4-fp32-noearly4ep,123,123,1,2,False,True,4,float32,32768,1167747,0.4008715748786926,0.9489560546875,0.6325078125,0.96125,0.998703125,0.9991875,0.9799765625,0.6325078125,0.96125,0.6325078125
gdn-h2-ev2-usegate0-s125-d123,gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ixdmpy7rsz6enp6puackv,/home/lyj/mnt/project/zoology/swanlog/run-20260520_033934-ixdmpy7rsz6enp6puackv,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29,358.3577870381996,00:05:58,False,3469,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s125-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev2-s125-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev2-s125-2026-05-20-03-39-29/gdn-h2-ev2-s125-d123-b64-ga4-fp32-noearly4ep,125,123,2,2,False,True,4,float32,16384,1167878,0.3845057785511017,0.95163427734375,0.64424609375,0.969828125,0.999296875,0.999703125,0.9845625,0.64424609375,0.969828125,0.64424609375
gdn-h2-ev8-usegate0-s124-d123,gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/jzovmdocft99hd6dg6z4d,/home/lyj/mnt/project/zoology/swanlog/run-20260520_034532-jzovmdocft99hd6dg6z4d,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27,482.12089934013784,00:08:02,False,3863,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s124-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev8-s124-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s124-2026-05-20-03-45-27/gdn-h2-ev8-s124-d123-b64-ga4-fp32-noearly4ep,124,123,2,8,False,True,4,float32,65536,1367942,0.2921281158924103,0.97751611328125,0.82370703125,0.996796875,0.999875,1.0,0.9983359375,0.82370703125,0.996796875,0.82370703125
gdn-h2-ev4-usegate0-s123-d123,gdn-h2-ev4-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev4-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/yqug1wtca7l2ybv7bb58c,/home/lyj/mnt/project/zoology/swanlog/run-20260520_035334-yqug1wtca7l2ybv7bb58c,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev4-s123-2026-05-20-03-53-30,436.53593399655074,00:07:17,False,3453,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev4-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev4-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev4-s123-2026-05-20-03-53-30/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev4-s123-2026-05-20-03-53-30/gdn-h2-ev4-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,4,False,True,4,float32,32768,1234566,0.47086596488952637,0.943017578125,0.587765625,0.957578125,0.999140625,0.99965625,0.978359375,0.587765625,0.957578125,0.587765625
gdn-h1-ev4-usegate0-s123-d123,gdn-h1-ev4-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h1-ev4-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,failed,failed,64,16,4,256,b64_ga4,4,,2,,,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ue4pgpz0b3vf4xgi2gwxf,/home/lyj/mnt/project/zoology/swanlog/run-20260520_040051-ue4pgpz0b3vf4xgi2gwxf,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev4-s123-2026-05-20-04-00-46,9.944228164851665,00:00:10,False,,,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,infrastructure failure: CUDA/NVML/Triton driver unavailable; no fallback attempted,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev4-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h1-ev4-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev4-s123-2026-05-20-04-00-46/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h1-ev4-s123-2026-05-20-04-00-46/gdn-h1-ev4-s123-d123-b64-ga4-fp32-noearly4ep,123,123,1,4,False,True,4,float32,65536,1234563,,,,,,,,,,
gdn-h2-ev16-usegate0-s123-d123,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,failed,failed,64,16,4,256,b64_ga4,4,,2,,,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/3yzp4flpv01fiwjmmin1w,/home/lyj/mnt/project/zoology/swanlog/run-20260520_040101-3yzp4flpv01fiwjmmin1w,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-04-00-56,9.758578393608332,00:00:10,False,,,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,infrastructure failure: CUDA/NVML/Triton driver unavailable; no fallback attempted,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev16-s123-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/gdn-h2-ev16-s123-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-04-00-56/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev16-s123-2026-05-20-04-00-56/gdn-h2-ev16-s123-d123-b64-ga4-fp32-noearly4ep,123,123,2,16,False,True,4,float32,131072,1634694,,,,,,,,,,
gdn-h2-ev2-usegate0-s123-d123,gated_delta_net-default-s123-d123-noearly4ep-b64-ga4-gdnkernel-fp32,gdn-h2-ev2-s123-d123-b64-ga4-fp32-reference,gdn,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_reference,reference_existing_b64_fp32,0,reference,completed,64,16,4,256,b64_ga4,4,4,1,4,epoch_end,epoch4_noearly_b64_ga4_fp32_reference,True,https://swanlab.cn/@scu-mclab/flash_vqg_vs_gdn/runs/zj2djroxvi570stgq4om1,/home/lyj/mnt/project/zoology/swanlog/run-20260519_050103-zj2djroxvi570stgq4om1,flash-vqg-20260519-gdn-default-fp32-kernel-2026-05-19-05-00-58,450.526,00:07:31,False,3483,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gdn-default-fp32-kernel-2026-05-19-05-00-58/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gdn-default-fp32-kernel-2026-05-19-05-00-58/gated_delta_net-default-s123-d123-noearly4ep-b64-ga4-gdnkernel-fp32,123,123,2,2,False,True,4,float32,16384,1167878,0.34775078296661377,0.9622470703125,0.711828125,0.9876015625,0.999046875,0.999875,0.99332421875,0.711828125,0.9876015625,0.711828125
