config,run_id,model_family,source,run_type,gpu,status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,fallback_from_profiles,source_analysis_dir,seed,data_seed,num_codebook_vectors,rank,dynamic_capacity,relative_to_gdn,trainable_params,zoology_state_size_metric_seq1024,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,dtype_comparison_scope,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256,valid_attn_gd_residual_write_strength_mean,valid_attn_gd_residual_m_norm_mean,valid_attn_gd_residual_m_norm_max,valid_attn_gd_residual_mu_valid_ratio,valid_attn_gd_residual_lambda_mean,valid_attn_gd_residual_inject_ratio,valid_vq_relative_err_mean,valid_vq_c_entropy,valid_vq_c_usage_mean,valid_vq_write_entropy_mean,valid_vq_write_top1_mass_mean,num_heads,expand_v,use_gate,use_short_conv,conv_size,dynamic_state_capacity,kernel_q_dtype,kernel_k_dtype,kernel_v_dtype,kernel_beta_dtype,kernel_g_dtype
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,0.04676618427038193,0.99646728515625,0.98512109375,0.9976484375,0.99524609375,0.98512109375,0.9976484375,0.98512109375,0.003613602108998748,0.01042465679893212,8.429141972213984,0.4142327606678009,0.3561496081529185,0.08938208539620973,0.07199295387545135,3.395127116702497,40.03906224668026,3.1277238577604294,0.37697913555894047,,,,,,,,,,,
cb256-r6-s125-d123,gd-r6-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/g2de9x3c3zclymwbkxt7v,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055418-g2de9x3c3zclymwbkxt7v,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r6-s125-b128-ga2-eb32-2026-05-19-05-54-14,9052.62300953269,02:30:53,False,10359,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r6-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r6-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,6,196608,12x,1183686,986624,default_float32_on_2080ti,float32,float32,float32,float32_only,0.1457810252904892,0.979705078125,0.89425,0.9743125,0.9795390625,0.89425,0.9743125,0.89425,0.004381347554954118,0.00326453425532236,1.906969009898603,0.37266991287469864,0.11339212246821262,0.08647332061082125,0.06361387974175159,3.2787487898021936,40.039061948657036,3.0185393737629056,0.41554155468475074,,,,,,,,,,,
cb256-r8-s126-d123,gd-r8-wk4-mu01-t025-cb256-s126-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/6m5xen8eknqfyppug4dng,/home/lyj/mnt/project/zoology/swanlog/run-20260519_082512-6m5xen8eknqfyppug4dng,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r8-s126-b128-ga2-eb32-2026-05-19-08-25-06,10242.082772701047,02:50:42,False,10455,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r8-s126-b128-ga2-eb32-2026-05-19-08-25-06/gd-r8-wk4-mu01-t025-cb256-s126-d123-noearly4ep,126,123,256,8,262144,16x,1183942,1248768,default_float32_on_2080ti,float32,float32,float32,float32_only,0.2337193489074707,0.97027001953125,0.80008203125,0.976171875,0.983796875,0.80008203125,0.976171875,0.80008203125,0.018830852743121795,0.009068770600606513,1.4059679633937776,0.2744273468852043,0.17600343230878934,0.776223901193589,0.07809307816205546,3.1621117368340492,40.03906244598329,2.928381242789328,0.24180738988798112,,,,,,,,,,,
gdn-h2-ev2-usegate0-s123-d123,gdn-usegate0-h2-ev2-s123-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ke3u1n43rag0jgcut8fme,/home/lyj/mnt/project/zoology/swanlog/run-20260519_111553-ke3u1n43rag0jgcut8fme,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s123-b128-ga2-eb32-2026-05-19-11-15-48,472.49578856211156,00:07:52,False,5043,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s123-b128-ga2-eb32-2026-05-19-11-15-48/gdn-usegate0-h2-ev2-s123-d123-noearly4ep,123,123,,,,,1167878,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.38844016194343567,0.95358984375,0.6515078125,0.9789921875,0.98893359375,0.6515078125,0.9789921875,0.6515078125,,,,,,,,,,,,2,2,False,True,4,16384,float32,float32,float32,float32,float32
gdn-h2-ev2-usegate0-s125-d123,gdn-usegate0-h2-ev2-s125-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/rehlhravzn5of3syf04s3,/home/lyj/mnt/project/zoology/swanlog/run-20260519_112345-rehlhravzn5of3syf04s3,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s125-b128-ga2-eb32-2026-05-19-11-23-41,464.55668266210705,00:07:45,False,5043,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s125-b128-ga2-eb32-2026-05-19-11-23-41/gdn-usegate0-h2-ev2-s125-d123-noearly4ep,125,123,,,,,1167878,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.7488189935684204,0.88334765625,0.3214140625,0.7785390625,0.88026171875,0.3214140625,0.7785390625,0.3214140625,,,,,,,,,,,,2,2,False,True,4,16384,float32,float32,float32,float32,float32
gdn-h2-ev4-usegate0-s123-d123,gdn-usegate0-h2-ev4-s123-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ftzd5ffamkd9k8z6ozmul,/home/lyj/mnt/project/zoology/swanlog/run-20260519_113130-ftzd5ffamkd9k8z6ozmul,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev4-s123-b128-ga2-eb32-2026-05-19-11-31-25,791.2761921640486,00:13:11,False,5047,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev4-s123-b128-ga2-eb32-2026-05-19-11-31-25/gdn-usegate0-h2-ev4-s123-d123-noearly4ep,123,123,,,,,1234566,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.40224751830101013,0.95591845703125,0.66812109375,0.9797421875,0.98966796875,0.66812109375,0.9797421875,0.66812109375,,,,,,,,,,,,2,4,False,True,4,32768,float32,float32,float32,float32,float32
gdn-h2-ev8-usegate0-s123-d123,gdn-usegate0-h2-ev8-s123-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,0,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/ivo7nz2kwddy41tzgiq5t,/home/lyj/mnt/project/zoology/swanlog/run-20260519_114441-ivo7nz2kwddy41tzgiq5t,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev8-s123-b128-ga2-eb32-2026-05-19-11-44-37,945.8405414400622,00:15:46,False,5309,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev8-s123-b128-ga2-eb32-2026-05-19-11-44-37/gdn-usegate0-h2-ev8-s123-d123-noearly4ep,123,123,,,,,1367942,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.2841666340827942,0.9784052734375,0.8296875,0.9976484375,0.99877734375,0.8296875,0.9976484375,0.8296875,,,,,,,,,,,,2,8,False,True,4,65536,float32,float32,float32,float32,float32
cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,64,16,4,256,64x4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/bqlwniii9i1mamzk2rcr6,/home/lyj/mnt/project/zoology/swanlog/run-20260519_075201-bqlwniii9i1mamzk2rcr6,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r16-s126-b64-ga4-eb16-2026-05-19-07-51-57,19708.276558030397,05:28:28,False,8883,11264,NVIDIA GeForce RTX 2080 Ti,7.5,b128-ga2-eb32:oom;b128-ga2-eb16:oom,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r16-s126-b64-ga4-eb16-2026-05-19-07-51-57/gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,126,123,256,16,524288,32x,1184966,2297344,default_float32_on_2080ti,float32,float32,float32,float32_only,0.10523050278425217,0.99070703125,0.9426953125,0.9953203125,0.99505078125,0.9426953125,0.9953203125,0.9426953125,0.06185564485984662,0.11250003867797435,6.839597138147505,0.29208661639501177,0.11247783776609198,0.19705900886938685,0.0745457454717585,3.286549178380815,20.337301545199892,3.1042575864564803,0.19409033404811035,,,,,,,,,,,
gdn-h2-ev2-usegate0-s124-d123,gdn-usegate0-h2-ev2-s124-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/76kw0gtna3uek08eak7r7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_132030-76kw0gtna3uek08eak7r7,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s124-b128-ga2-eb32-2026-05-19-13-20-25,347.48887715581805,00:05:47,False,5029,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h2-ev2-s124-b128-ga2-eb32-2026-05-19-13-20-25/gdn-usegate0-h2-ev2-s124-d123-noearly4ep,124,123,,,,,1167878,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.36655157804489136,0.958181640625,0.680296875,0.9865625,0.9928515625,0.680296875,0.9865625,0.680296875,,,,,,,,,,,,2,2,False,True,4,16384,float32,float32,float32,float32,float32
gdn-h1-ev2-usegate0-s123-d123,gdn-usegate0-h1-ev2-s123-d123-noearly4ep,gdn,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_capacity_up/runs/tqxh6zsfphbw9d7vjo8cu,/home/lyj/mnt/project/zoology/swanlog/run-20260519_132617-tqxh6zsfphbw9d7vjo8cu,flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h1-ev2-s123-b128-ga2-eb32-2026-05-19-13-26-13,765.5803633015603,00:12:46,False,5487,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-gdn-h1-ev2-s123-b128-ga2-eb32-2026-05-19-13-26-13/gdn-usegate0-h1-ev2-s123-d123-noearly4ep,123,123,,,,,1167747,,GDN_KERNEL_DTYPE=float32,float32,float32,float32,float32_only,0.4343043863773346,0.94342822265625,0.59021484375,0.9591796875,0.97899609375,0.59021484375,0.9591796875,0.59021484375,,,,,,,,,,,,1,2,False,True,4,32768,float32,float32,float32,float32,float32
