metric,step,epoch,timestamp,value
valid/input_seq_len/accuracy-1024,707,1,2026-05-19T03:04:20.063741+00:00,0.33136328125
valid/input_seq_len/accuracy-1024,1415,2,2026-05-19T03:05:12.976842+00:00,0.5413203125
valid/input_seq_len/accuracy-1024,2123,3,2026-05-19T03:06:10.123739+00:00,0.58186328125
valid/input_seq_len/accuracy-1024,2831,4,2026-05-19T03:07:08.532099+00:00,0.61090625
valid/input_seq_len/accuracy-128,707,1,2026-05-19T03:04:20.063435+00:00,0.99971875
valid/input_seq_len/accuracy-128,1415,2,2026-05-19T03:05:12.976373+00:00,1.0
valid/input_seq_len/accuracy-128,2123,3,2026-05-19T03:06:10.123297+00:00,1.0
valid/input_seq_len/accuracy-128,2831,4,2026-05-19T03:07:08.531675+00:00,0.99996875
valid/input_seq_len/accuracy-256,707,1,2026-05-19T03:04:20.063544+00:00,0.990859375
valid/input_seq_len/accuracy-256,1415,2,2026-05-19T03:05:12.976471+00:00,0.999171875
valid/input_seq_len/accuracy-256,2123,3,2026-05-19T03:06:10.123461+00:00,0.999609375
valid/input_seq_len/accuracy-256,2831,4,2026-05-19T03:07:08.531804+00:00,0.99975
valid/input_seq_len/accuracy-512,707,1,2026-05-19T03:04:20.063641+00:00,0.8939609375
valid/input_seq_len/accuracy-512,1415,2,2026-05-19T03:05:12.976569+00:00,0.9706328125
valid/input_seq_len/accuracy-512,2123,3,2026-05-19T03:06:10.123624+00:00,0.97883984375
valid/input_seq_len/accuracy-512,2831,4,2026-05-19T03:07:08.531925+00:00,0.982859375
valid/input_seq_len/accuracy-64,707,1,2026-05-19T03:04:20.063320+00:00,0.9998333333333334
valid/input_seq_len/accuracy-64,1415,2,2026-05-19T03:05:12.976255+00:00,0.999875
valid/input_seq_len/accuracy-64,2123,3,2026-05-19T03:06:10.123132+00:00,0.9999583333333333
valid/input_seq_len/accuracy-64,2831,4,2026-05-19T03:07:08.531555+00:00,0.999875
valid/mqar_case/accuracy-1024x256,707,1,2026-05-19T03:04:20.063836+00:00,0.33136328125
