metric,step,epoch,timestamp,value
valid/input_seq_len/accuracy-1024,704,1,2026-05-19T05:05:03.501477+00:00,0.514296875
valid/input_seq_len/accuracy-1024,1409,2,2026-05-19T05:06:10.122603+00:00,0.651015625
valid/input_seq_len/accuracy-1024,2114,3,2026-05-19T05:07:19.426818+00:00,0.69491796875
valid/input_seq_len/accuracy-1024,2819,4,2026-05-19T05:08:29.272376+00:00,0.711828125
valid/input_seq_len/accuracy-128,704,1,2026-05-19T05:05:03.501174+00:00,1.0
valid/input_seq_len/accuracy-128,1409,2,2026-05-19T05:06:10.122346+00:00,1.0
valid/input_seq_len/accuracy-128,2114,3,2026-05-19T05:07:19.426333+00:00,1.0
valid/input_seq_len/accuracy-128,2819,4,2026-05-19T05:08:29.272040+00:00,1.0
valid/input_seq_len/accuracy-256,704,1,2026-05-19T05:05:03.501274+00:00,0.99884375
valid/input_seq_len/accuracy-256,1409,2,2026-05-19T05:06:10.122466+00:00,0.99984375
valid/input_seq_len/accuracy-256,2114,3,2026-05-19T05:07:19.426496+00:00,0.999890625
valid/input_seq_len/accuracy-256,2819,4,2026-05-19T05:08:29.272155+00:00,0.999875
valid/input_seq_len/accuracy-512,704,1,2026-05-19T05:05:03.501379+00:00,0.9658671875
valid/input_seq_len/accuracy-512,1409,2,2026-05-19T05:06:10.122536+00:00,0.98772265625
valid/input_seq_len/accuracy-512,2114,3,2026-05-19T05:07:19.426658+00:00,0.99217578125
valid/input_seq_len/accuracy-512,2819,4,2026-05-19T05:08:29.272265+00:00,0.99332421875
valid/input_seq_len/accuracy-64,704,1,2026-05-19T05:05:03.501075+00:00,0.999875
valid/input_seq_len/accuracy-64,1409,2,2026-05-19T05:06:10.122209+00:00,0.999875
valid/input_seq_len/accuracy-64,2114,3,2026-05-19T05:07:19.426162+00:00,0.9998333333333334
valid/input_seq_len/accuracy-64,2819,4,2026-05-19T05:08:29.271920+00:00,0.999875
valid/mqar_case/accuracy-1024x256,704,1,2026-05-19T05:05:03.501574+00:00,0.514296875
valid/mqar_case/accuracy-1024x256,1409,2,2026-05-19T05:06:10.122668+00:00,0.651015625
valid/mqar_case/accuracy-1024x256,2114,3,2026-05-19T05:07:19.426934+00:00,0.69491796875
valid/mqar_case/accuracy-1024x256,2819,4,2026-05-19T05:08:29.272486+00:00,0.711828125
valid/mqar_case/accuracy-128x32,704,1,2026-05-19T05:05:03.501669+00:00,1.0
