config,rank,seed,run_id,source_run_set,normalized_batch_accum_profile,dtype_policy_backfill,dtype_verification_level,official_scope_backfill_recommendation,source_precision,full_precision_metrics_recoverable,wall_clock,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,train_config_path,generated_manifest_path
cb256-r1,1,123,gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x,20260516_capacity_sweep,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,reported_rounded,no_report_precision_only,03:17:07,0.637,0.864,0.492,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/manifest.json
cb256-r2,2,123,gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x,20260516_capacity_sweep,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,reported_rounded,no_report_precision_only,03:59:55,0.265,0.946,0.776,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/manifest.json
cb256-r4,4,123,gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x,20260516_capacity_sweep,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,reported_rounded,no_report_precision_only,04:26:28,0.0961,0.986,0.938,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/manifest.json
cb256-r8,8,123,gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x,20260516_capacity_sweep,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,reported_rounded,no_report_precision_only,04:29:39,0.28,0.957,0.737,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/manifest.json
cb256-r16,16,123,gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep,20260516_capacity_sweep,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,reported_rounded,no_report_precision_only,05:17:00,0.0672,0.996,0.98,checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/manifest.json
cb256-r4-s124-gpu0,4,124,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,20260517_r4_r8_crossgpu,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,04:54:35,0.3415682911872864,0.9494521484375,0.6872890625,checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/manifest.json
cb256-r4-s124-gpu1,4,124,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1,20260517_r4_r8_crossgpu,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,05:29:22,0.31066733598709106,0.955798828125,0.73059375,checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/manifest.json
cb256-r8-s124-gpu1,8,124,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,20260517_r4_r8_crossgpu,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,05:03:05,0.07733848690986633,0.99276513671875,0.96502734375,checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/manifest.json
cb256-r8-s124-gpu0,8,124,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0,20260517_r4_r8_crossgpu,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,05:13:15,0.14645721018314362,0.98282421875,0.8988125,checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/manifest.json
cb256-r16-s124,16,124,gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness,20260517_rank_stability_r16_robustness,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,05:18:23,0.16711272299289703,0.980533203125,0.8765078125,checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/manifest.json
cb256-r16-s124-d123-repeat,16,124,gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-repeat-gpu0,20260517_same_seed_repeat,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,05:09:50,0.19637173414230347,0.9758974609375,0.8464375,checkpoints/flash-vqg-20260517-gd-same-seed-repeat-r16-s124-gpu0-2026-05-18-07-25-51/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-repeat-gpu0/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-same-seed-repeat-r16-s124-gpu0-2026-05-18-07-25-51/manifest.json
cb256-r4-s125,4,125,gd-r4-wk4-mu01-t025-cb256-s125-d123-noearly4ep-r4r8-seed125,20260517_rank_stability_r16_robustness,b64_ga4,float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,full_precision,yes,04:42:37,0.28544360399246216,0.95087841796875,0.73907421875,checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s125-d123-noearly-2026-05-17-12-51-29/gd-r4-wk4-mu01-t025-cb256-s125-d123-noearly4ep-r4r8-seed125/train_config.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s125-d123-noearly-2026-05-17-12-51-29/manifest.json
