config,rank,seed,data_seed,run_id,source_run_set,source_artifact,source_precision,full_precision_metrics_recoverable,ledger_batch_accum_profile,normalized_batch_accum_profile,train_config_status,train_config_path,source_manifest_path,generated_manifest_path,config_match_mismatch,dtype_policy_backfill,outer_model_dtype_backfill,actual_kernel_dtype_backfill,dtype_evidence,dtype_verification_level,official_scope_backfill_recommendation,peak_memory_mib,peak_memory_source,wall_clock,elapsed_sec,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,config_train_batch_size,config_eval_batch_size,config_gradient_accumulation_steps,config_effective_train_batch_size,config_data_seed,config_seed,config_max_epochs,config_validations_per_epoch,config_early_stopping_metric,config_early_stopping_threshold,config_learning_rate,config_dmodel,config_n_layers,config_num_heads,config_num_codebook_vectors,config_attn_backend,config_fox_remote_formula,config_fox_remote_read_topk,config_fox_gd_residual_rank,config_fox_gd_residual_write_topk,config_fox_gd_residual_builder,config_fox_gd_residual_pack_mode,config_fox_gd_residual_chunk_size,config_fox_gd_residual_mu_min_count,config_vq_score_mode,config_vq_weight_mode,config_vq_update_mode,config_vq_softmax_tau,config_vq_topk,config_dtype_fields_present
cb256-r1,1,123,123,gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x,20260516_capacity_sweep,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,reported_rounded,no_report_precision_only,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/train_config.json,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/run-manifest.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,03:17:07,11827,0.637,0.864,0.492,64,16,4,256,123,123,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,1,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r2,2,123,123,gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x,20260516_capacity_sweep,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,reported_rounded,no_report_precision_only,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/train_config.json,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/run-manifest.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,03:59:55,14395,0.265,0.946,0.776,64,16,4,256,123,123,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r4,4,123,123,gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x,20260516_capacity_sweep,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,reported_rounded,no_report_precision_only,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/train_config.json,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/run-manifest.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,04:26:28,15988,0.0961,0.986,0.938,64,16,4,256,123,123,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,4,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r8,8,123,123,gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x,20260516_capacity_sweep,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,reported_rounded,no_report_precision_only,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/train_config.json,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/run-manifest.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,04:29:39,16179,0.28,0.957,0.737,64,16,4,256,123,123,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,8,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r16,16,123,123,gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep,20260516_capacity_sweep,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,reported_rounded,no_report_precision_only,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/train_config.json,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/run-manifest.json,zoology/experiments/flash_vqg/generated/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,05:17:00,19020,0.0672,0.996,0.98,64,16,4,256,123,123,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,16,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r4-s124-gpu0,4,124,123,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,20260517_r4_r8_crossgpu,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,full_precision,yes,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,,zoology/experiments/flash_vqg/generated/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,04:54:35,17675,0.3415682911872864,0.9494521484375,0.6872890625,64,16,4,256,123,124,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,4,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r4-s124-gpu1,4,124,123,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1,20260517_r4_r8_crossgpu,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,full_precision,yes,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/train_config.json,,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,05:29:22,19762,0.31066733598709106,0.955798828125,0.73059375,64,16,4,256,123,124,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,4,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r8-s124-gpu1,8,124,123,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,20260517_r4_r8_crossgpu,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,full_precision,yes,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,,zoology/experiments/flash_vqg/generated/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,05:03:05,18185,0.07733848690986633,0.99276513671875,0.96502734375,64,16,4,256,123,124,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,8,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r8-s124-gpu0,8,124,123,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0,20260517_r4_r8_crossgpu,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,full_precision,yes,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/train_config.json,,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,05:13:15,18795,0.14645721018314362,0.98282421875,0.8988125,64,16,4,256,123,124,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,8,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
cb256-r16-s124,16,124,123,gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness,20260517_rank_stability_r16_robustness,docs/artifacts/20260517-gd-rank-stability-r16-robustness/rank-stability-r16-robustness-final.csv,full_precision,yes,b64_ga4,b64_ga4,found_and_matches_ledger,checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/train_config.json,,zoology/experiments/flash_vqg/generated/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/manifest.json,,float32,float32,not_recorded,train_config_has_no_dtype_or_precision_field; zoology/train.py has no autocast/GradScaler in train/test path; zoology/model.py TokenEmbeddings default dtype=torch.float32,inferred_default_no_amp,b64_ga4_fp32_historical_inferred,,not_recorded_in_committed_artifacts,05:18:23,19103,0.16711272299289703,0.980533203125,0.8765078125,64,16,4,256,123,124,4,2,,,0.001,128,2,2,256,flash,gd_residual_v1,2,16,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,
