group,case,dtype,K,V,metric,max_abs,max_rel,abs_tol,rel_tol,passed,worst_index,ref_at_worst,tri_at_worst
large_k_cases,K512-V128-fp32,torch.float32,512,128,output,4.148809239268303e-06,0.4033219516277313,0.005,0.05,True,"[0, 83, 0, 30]",-0.0024542706087231636,-0.0024501217994838953
large_k_cases,K512-V128-fp32,torch.float32,512,128,final_state,2.8712674975395203e-06,0.7588102221488953,0.005,0.05,True,"[0, 1, 326, 109]",0.0016111149452626705,0.00161398621276021
large_k_cases,K512-V128-fp32,torch.float32,512,128,dq,2.2032763808965683e-06,0.1513029783964157,0.005,0.05,True,"[0, 113, 0, 224]",-0.0013935305178165436,-0.001391327241435647
large_k_cases,K512-V128-fp32,torch.float32,512,128,dk,0.0040381960570812225,1.999990463256836,0.005,0.05,True,"[0, 127, 1, 317]",0.02578934095799923,0.021751144900918007
large_k_cases,K512-V128-fp32,torch.float32,512,128,dv,0.00016133487224578857,0.28309348225593567,0.005,0.05,True,"[0, 127, 0, 4]",0.2199830263853073,0.21982169151306152
large_k_cases,K512-V128-fp32,torch.float32,512,128,dbeta,0.002503037452697754,1.4787898063659668,0.005,0.05,True,"[0, 126, 0]",0.018150243908166885,0.01564720645546913
large_k_cases,K512-V128-fp32,torch.float32,512,128,dg,4.301592707633972e-05,0.9262552857398987,0.005,0.05,True,"[0, 127, 1]",-0.03599446639418602,-0.03595145046710968
large_k_cases,K512-V128-fp32,torch.float32,512,128,dh0,1.2854434316977859e-07,0.07635952532291412,0.005,0.05,True,"[0, 1, 70, 70]",0.00011306096712360159,0.00011293242278043181
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,output,3.8547441363334656e-06,0.2795059084892273,0.005,0.05,True,"[0, 66, 0, 45]",0.0027740653604269028,0.0027702106162905693
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,final_state,2.78279185295105e-06,0.6201949715614319,0.005,0.05,True,"[0, 0, 403, 31]",-0.011719313450157642,-0.011722096242010593
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dq,9.542563930153847e-07,0.09566544741392136,0.005,0.05,True,"[0, 58, 0, 373]",-0.00044248983613215387,-0.0004415355797391385
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dk,0.007465813308954239,1.9996320009231567,0.005,0.05,False,"[0, 127, 0, 426]",0.00508053507655859,-0.0023852784652262926
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dv,0.000148773193359375,0.22872166335582733,0.005,0.05,True,"[0, 127, 0, 14]",0.18117879331111908,0.1810300201177597
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dbeta,0.005418363958597183,1.6635942459106445,0.005,0.05,False,"[0, 126, 1]",-0.038168080151081085,-0.04358644410967827
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dg,4.388764500617981e-05,0.33055686950683594,0.005,0.05,True,"[0, 127, 0]",0.05920397862792015,0.05916009098291397
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dh0,1.9594153854995966e-07,0.09868388622999191,0.005,0.05,True,"[0, 1, 815, 6]",-0.00023796487948857248,-0.00023816082102712244
large_k_cases,K512-V128-fp16,torch.float16,512,128,output,2.4586915969848633e-06,0.24969631433486938,0.008,0.08,True,"[0, 108, 0, 30]",0.00203840434551239,0.002040863037109375
large_k_cases,K512-V128-fp16,torch.float16,512,128,final_state,2.9247254133224487e-05,0.9257346391677856,0.008,0.08,True,"[0, 0, 201, 119]",-0.036281052976846695,-0.03625180572271347
large_k_cases,K512-V128-fp16,torch.float16,512,128,dq,9.5367431640625e-07,0.4172325134277344,0.008,0.08,True,"[0, 5, 0, 140]",0.00119781494140625,0.0011987686157226562
large_k_cases,K512-V128-fp16,torch.float16,512,128,dk,6.103515625e-05,0.6556510925292969,0.008,0.08,True,"[0, 127, 1, 478]",-0.06640625,-0.06646728515625
large_k_cases,K512-V128-fp16,torch.float16,512,128,dv,6.103515625e-05,0.476837158203125,0.008,0.08,True,"[0, 127, 0, 7]",-0.07330322265625,-0.0732421875
large_k_cases,K512-V128-fp16,torch.float16,512,128,dbeta,3.255903720855713e-05,0.08375342935323715,0.008,0.08,True,"[0, 127, 1]",-0.18603244423866272,-0.18599988520145416
large_k_cases,K512-V128-fp16,torch.float16,512,128,dg,9.922310709953308e-06,0.07938893884420395,0.008,0.08,True,"[0, 127, 1]",-0.016841843724250793,-0.016851766034960747
large_k_cases,K512-V128-fp16,torch.float16,512,128,dh0,3.2014213502407074e-07,0.06738204509019852,0.008,0.08,True,"[0, 0, 154, 16]",-0.0008303642389364541,-0.0008306843810714781
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,output,2.3096799850463867e-06,0.21685263514518738,0.008,0.08,True,"[0, 4, 0, 52]",-0.0019698888063430786,-0.001972198486328125
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,final_state,1.4588236808776855e-05,0.903292179107666,0.008,0.08,True,"[0, 1, 1008, 52]",0.035043541342020035,0.03502895310521126
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dq,4.76837158203125e-07,0.17881393432617188,0.008,0.08,True,"[0, 27, 1, 96]",0.0005121231079101562,0.0005116462707519531
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dk,6.103515625e-05,0.5384615659713745,0.008,0.08,True,"[0, 127, 1, 216]",-0.079833984375,-0.07989501953125
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dv,0.0001220703125,0.38410595059394836,0.008,0.08,True,"[0, 127, 0, 29]",-0.15576171875,-0.1558837890625
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dbeta,1.8989667296409607e-05,0.10077065229415894,0.008,0.08,True,"[0, 127, 1]",0.018061183393001556,0.018042193725705147
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dg,2.3927539587020874e-05,0.05549595132470131,0.008,0.08,True,"[0, 127, 0]",-0.03383173421025276,-0.03380780667066574
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dh0,1.8131686374545097e-07,0.06247483938932419,0.008,0.08,True,"[0, 0, 642, 11]",0.0006372734205797315,0.0006374547374434769
