section,evidence_type,model_or_checkpoint,variant,checkpoint_kind,slice,distance_bucket,dataset_mode,metric,value,n,stderr,ci95_low,ci95_high,status,sanity_status,interpretation,source_file
stage1_full_bucket,flash_vs_gdn_long_distance,cb64-r16-s123,full,,4096x1024,1025-2048,official,accuracy,0.4549055072,270920,0.0009567004,0.4530303744,0.4567806400,completed,passed,Flash cb64-r16 remains strong far beyond local path,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage1_full_bucket,flash_vs_gdn_long_distance,cb64-r16-s123,full,,4096x1024,2049-4096,official,accuracy,0.4885289680,230668,0.0010407874,0.4864890248,0.4905689113,completed,passed,Flash cb64-r16 remains strong far beyond local path,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage1_full_bucket,flash_vs_gdn_long_distance,cb256-r4-s123,full,,4096x1024,1025-2048,official,accuracy,0.3909272110,270920,0.0009374800,0.3890897502,0.3927646718,completed,passed,Flash cb256-r4 remains strong far beyond local path,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage1_full_bucket,flash_vs_gdn_long_distance,cb256-r4-s123,full,,4096x1024,2049-4096,official,accuracy,0.3681091439,230668,0.0010041895,0.3661409325,0.3700773552,completed,passed,Flash cb256-r4 remains strong far beyond local path,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage1_full_bucket,flash_vs_gdn_long_distance,gdn-h2-ev16-s123,full,,4096x1024,1025-2048,official,accuracy,0.1258821792,270920,0.0006373039,0.1246330636,0.1271312949,completed,passed,Sanity-passed GDN baseline is much lower at same distance bucket,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage1_full_bucket,flash_vs_gdn_long_distance,gdn-h2-ev16-s123,full,,4096x1024,2049-4096,official,accuracy,0.0243250039,230668,0.0003207638,0.0236963068,0.0249537010,completed,passed,Sanity-passed GDN baseline is much lower at same distance bucket,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage1-full-bucket/distance_bucket.csv
stage2_eval_ablation,eval_time_overall,cb64-r16-s123,full,last,4096x1024,all,official,accuracy,0.4689238281,512000,0.0006974203,0.4675568844,0.4702907719,completed,passed,Original Flash config overall longer-MQAR accuracy,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/slice_summary.csv
stage2_eval_ablation,eval_time_far_bucket,cb64-r16-s123,full,last,4096x1024,2049-4096,official,accuracy,0.4885289680,230668,0.0010407874,0.4864890248,0.4905689113,completed,passed,Original Flash config overall longer-MQAR accuracy,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/distance_bucket.csv
stage2_eval_ablation,eval_time_overall,cb64-r16-s123,local_only,last,4096x1024,all,official,accuracy,0.0002265625,512000,0.0000210334,0.0001853370,0.0002677880,completed,not_applicable,Eval-time local-only path fails on long MQAR,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/slice_summary.csv
stage2_eval_ablation,eval_time_far_bucket,cb64-r16-s123,local_only,last,4096x1024,2049-4096,official,accuracy,0.0002254322,230668,0.0000312583,0.0001641660,0.0002866985,completed,not_applicable,Eval-time local-only path fails on long MQAR,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/distance_bucket.csv
stage2_eval_ablation,eval_time_overall,cb64-r16-s123,local1,last,4096x1024,all,official,accuracy,0.4669414063,512000,0.0006972422,0.4655748115,0.4683080010,completed,not_applicable,Reducing local tensor width to 1 block keeps long-MQAR accuracy close to full,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/slice_summary.csv
stage2_eval_ablation,eval_time_far_bucket,cb64-r16-s123,local1,last,4096x1024,2049-4096,official,accuracy,0.4862876515,230668,0.0010406698,0.4842479387,0.4883273643,completed,not_applicable,Reducing local tensor width to 1 block keeps long-MQAR accuracy close to full,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/distance_bucket.csv
stage2_eval_ablation,eval_time_overall,cb64-r16-s123,local4,last,4096x1024,all,official,accuracy,0.4724843750,512000,0.0006977123,0.4711168588,0.4738518912,completed,not_applicable,Increasing local tensor width to 4 blocks gives only a small eval-time gain,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/slice_summary.csv
stage2_eval_ablation,eval_time_far_bucket,cb64-r16-s123,local4,last,4096x1024,2049-4096,official,accuracy,0.4920708551,230668,0.0010409305,0.4900306314,0.4941110788,completed,not_applicable,Increasing local tensor width to 4 blocks gives only a small eval-time gain,docs/artifacts/longer-mqar/local-window-fairness-20260529/stage2-flash-ablation/distance_bucket.csv
stage3_training,official_validation_overall,local-only,local-only,last,official_mix,all,validation,accuracy,0.40447021484375,,,,,completed,,Training with exact local path only solves very short cases but not long MQAR,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_training,official_validation_1024x256,local-only,local-only,last,1024x256,all,validation,accuracy,0.00026171875,,,,,completed,,Training with exact local path only solves very short cases but not long MQAR,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_training,official_validation_overall,local1,local1,last,official_mix,all,validation,accuracy,0.91782080078125,,,,,completed,,Remote-on model with 1-block local path is much stronger than local-only,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_training,official_validation_1024x256,local1,local1,last,1024x256,all,validation,accuracy,0.50837890625,,,,,completed,,Remote-on model with 1-block local path is much stronger than local-only,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_training,official_validation_overall,local4,local4,last,official_mix,all,validation,accuracy,0.96750146484375,,,,,completed,,Remote-on model with 4-block local path improves final validation but still depends on remote path,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_training,official_validation_1024x256,local4,local4,last,1024x256,all,validation,accuracy,0.75849609375,,,,,completed,,Remote-on model with 4-block local path improves final validation but still depends on remote path,docs/artifacts/20260529-flash-local-window-fairness/stage3_train_summary.csv
stage3_longer_mqar_bucket,stage3_long_distance,local-only,full,last,4096x1024,1025-2048,official,accuracy,0.0002657611,270920,0.0000313161,0.0002043816,0.0003271406,completed,no_ref,Stage3 local-only remains random far beyond local path,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local-only,full,last,4096x1024,2049-4096,official,accuracy,0.0002124265,230668,0.0000303434,0.0001529534,0.0002718996,completed,no_ref,Stage3 local-only remains random far beyond local path,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local1,full,last,4096x1024,1025-2048,official,accuracy,0.0418463015,270920,0.0003847030,0.0410922836,0.0426003194,completed,no_ref,Stage3 local1 has limited far-distance generalization,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local1,full,last,4096x1024,2049-4096,official,accuracy,0.0126675568,230668,0.0002328544,0.0122111622,0.0131239515,completed,no_ref,Stage3 local1 has limited far-distance generalization,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local4,full,last,4096x1024,1025-2048,official,accuracy,0.0588550125,270920,0.0004521676,0.0579687640,0.0597412611,completed,no_ref,Stage3 local4 last is weak at far-distance despite strong near-local behavior,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local4,full,last,4096x1024,2049-4096,official,accuracy,0.0023496974,230668,0.0001008095,0.0021521108,0.0025472840,completed,no_ref,Stage3 local4 last is weak at far-distance despite strong near-local behavior,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local4,full,best,4096x1024,1025-2048,official,accuracy,0.4492913037,270920,0.0009556623,0.4474182057,0.4511644018,completed,no_ref,Stage3 local4 best remains strong far beyond local path,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
stage3_longer_mqar_bucket,stage3_long_distance,local4,full,best,4096x1024,2049-4096,official,accuracy,0.3918098739,230668,0.0010163978,0.3898177343,0.3938020135,completed,no_ref,Stage3 local4 best remains strong far beyond local path,docs/artifacts/20260529-flash-local-window-fairness-eval-only/stage3-longer-mqar-bucket/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local-only,full,last,4096x1024,<=32,near_enriched,accuracy,1.0000000000,2672,0.0000000000,1.0000000000,1.0000000000,completed,no_ref,Exact local path solves the guaranteed very-near bucket,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local-only,full,last,4096x1024,33-64,near_enriched,accuracy,0.5047970480,2710,0.0096042923,0.4859726350,0.5236214609,completed,no_ref,33-64 is a block-alignment boundary region for local-only,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local-only,full,last,4096x1024,65-128,near_enriched,accuracy,0.0006682259,2993,0.0004723491,0.0000000000,0.0015940302,completed,no_ref,65-128 is outside local_num_blocks=2 local path,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local1,full,last,4096x1024,<=32,near_enriched,accuracy,0.3630239521,2672,0.0093027417,0.3447905783,0.3812573259,completed,no_ref,Remote-on local1 near behavior is moderate at 4096x1024,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local1,full,last,4096x1024,33-64,near_enriched,accuracy,0.3811808118,2710,0.0093295942,0.3628948071,0.3994668165,completed,no_ref,Remote-on local1 remains moderate in boundary bucket,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local1,full,last,4096x1024,65-128,near_enriched,accuracy,0.3852322085,2993,0.0088953592,0.3677973045,0.4026671125,completed,no_ref,Remote-on local1 relies on remote path beyond local range,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local4,full,last,4096x1024,<=32,near_enriched,accuracy,0.8899700599,2672,0.0060537560,0.8781046982,0.9018354216,completed,no_ref,Local4 last is strong on very-near queries,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local4,full,last,4096x1024,33-64,near_enriched,accuracy,0.8675276753,2710,0.0065120781,0.8547640021,0.8802913484,completed,no_ref,Local4 last is strong in local boundary bucket,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
near_distance_enriched,near_distance_boundary,local4,full,last,4096x1024,65-128,near_enriched,accuracy,0.8643501504,2993,0.0062589453,0.8520826176,0.8766176831,completed,no_ref,Local4 last remains strong just beyond 2-block range,docs/artifacts/20260529-flash-local-window-fairness-eval-only/near-distance-enriched/distance_bucket.csv
