source_id,config_family,condition,seed,replicate,launch_id,run_id,status,metric_source,metric_source_path,log_snapshot_path,generated_manifest_path,notes
cb64-r16-readk2-s124-r1,cb64-r16,readk2,124,r1,flash-vqg-20260602-cross-cb64r16-readk2-s124-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk2-s124-r1-d123-b64-ga4-fp32-noearly4ep,failed_oom,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk2-s124-r1-2026-06-02-12-47-01/manifest.json,CUDA OOM; excluded from spread
cb64-r16-readk2-s124-r1b,cb64-r16,readk2,124,r1b,flash-vqg-20260602-cross-cb64r16-readk2-s124-r1b-2026-06-02-16-24-02,gd-diag-cross-cb64r16-readk2-s124-r1b-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s124-r1b.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s124-r1b.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk2-s124-r1b-2026-06-02-16-24-02/manifest.json,valid rerun after OOM
cb64-r16-readk2-s125-r1,cb64-r16,readk2,125,r1,flash-vqg-20260602-cross-cb64r16-readk2-s125-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk2-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk2-s125-r1-2026-06-02-12-47-01/manifest.json,default read_topk=2 cross-seed
cb64-r16-readk4-s124-r1,cb64-r16,readk4,124,r1,flash-vqg-20260602-cross-cb64r16-readk4-s124-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk4-s124-r1-2026-06-02-12-47-01/manifest.json,readk4 harms s124 high path
cb64-r16-readk4-s124-r2,cb64-r16,readk4,124,r2,flash-vqg-20260602-cross-cb64r16-readk4-s124-r2-2026-06-02-20-13-57,gd-diag-cross-cb64r16-readk4-s124-r2-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s124-r2.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s124-r2.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk4-s124-r2-2026-06-02-20-13-57/manifest.json,readk4 s124 weak path reproduced
cb64-r16-readk4-s125-r1,cb64-r16,readk4,125,r1,flash-vqg-20260602-cross-cb64r16-readk4-s125-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb64r16-readk4-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb64r16-readk4-s125-r1-2026-06-02-12-47-01/manifest.json,readk4 helps s125
cb128-r8-readk2-s124-r1,cb128-r8,readk2,124,r1,flash-vqg-20260602-cross-cb128r8-readk2-s124-r1-2026-06-02-16-41-08,gd-diag-cross-cb128r8-readk2-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk2-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk2-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb128r8-readk2-s124-r1-2026-06-02-16-41-08/manifest.json,default read_topk=2
cb128-r8-readk2-s125-r1,cb128-r8,readk2,125,r1,flash-vqg-20260602-cross-cb128r8-readk2-s125-r1-2026-06-02-17-01-12,gd-diag-cross-cb128r8-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk2-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk2-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb128r8-readk2-s125-r1-2026-06-02-17-01-12/manifest.json,default read_topk=2
cb128-r8-readk4-s124-r1,cb128-r8,readk4,124,r1,flash-vqg-20260602-cross-cb128r8-readk4-s124-r1-2026-06-02-19-24-17,gd-diag-cross-cb128r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb128r8-readk4-s124-r1-2026-06-02-19-24-17/manifest.json,initial readk4 high path
cb128-r8-readk4-s125-r1,cb128-r8,readk4,125,r1,flash-vqg-20260602-cross-cb128r8-readk4-s125-r1-2026-06-02-19-41-35,gd-diag-cross-cb128r8-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb128r8-readk4-s125-r1-2026-06-02-19-41-35/manifest.json,initial readk4 high path
cb128-r8-readk4-s125-r2,cb128-r8,readk4,125,r2,flash-vqg-20260603-cross-cb128r8-readk4-s125-r2-2026-06-03-05-44-26,gd-diag-cross-cb128r8-readk4-s125-r2-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s125-r2.log,tmp/20260530-gd-seed-diag/logs/cross-cb128r8-readk4-s125-r2.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260603-cross-cb128r8-readk4-s125-r2-2026-06-03-05-44-26/manifest.json,readk4 s125 rerun collapses to medium/low path
cb256-r8-readk2-s124-r1,cb256-r8,readk2,124,r1,flash-vqg-20260602-cross-cb256r8-readk2-s124-r1-2026-06-02-22-38-58,gd-diag-cross-cb256r8-readk2-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk2-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk2-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb256r8-readk2-s124-r1-2026-06-02-22-38-58/manifest.json,default read_topk=2 high path
cb256-r8-readk2-s125-r1,cb256-r8,readk2,125,r1,flash-vqg-20260602-cross-cb256r8-readk2-s125-r1-2026-06-02-23-10-44,gd-diag-cross-cb256r8-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk2-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk2-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb256r8-readk2-s125-r1-2026-06-02-23-10-44/manifest.json,default read_topk=2 low path
cb256-r8-readk4-s124-r1,cb256-r8,readk4,124,r1,flash-vqg-20260602-cross-cb256r8-readk4-s124-r1-2026-06-02-23-43-12,gd-diag-cross-cb256r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s124-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s124-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260602-cross-cb256r8-readk4-s124-r1-2026-06-02-23-43-12/manifest.json,readk4 high path
cb256-r8-readk4-s124-r2,cb256-r8,readk4,124,r2,flash-vqg-20260603-cross-cb256r8-readk4-s124-r2-2026-06-03-05-13-22,gd-diag-cross-cb256r8-readk4-s124-r2-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s124-r2.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s124-r2.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260603-cross-cb256r8-readk4-s124-r2-2026-06-03-05-13-22/manifest.json,readk4 s124 rerun high path reproduced
cb256-r8-readk4-s125-r1,cb256-r8,readk4,125,r1,flash-vqg-20260603-cross-cb256r8-readk4-s125-r1-2026-06-03-01-31-15,gd-diag-cross-cb256r8-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s125-r1.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s125-r1.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260603-cross-cb256r8-readk4-s125-r1-2026-06-03-01-31-15/manifest.json,readk4 rescues readk2 weak seed
cb256-r8-readk4-s125-r2,cb256-r8,readk4,125,r2,flash-vqg-20260603-cross-cb256r8-readk4-s125-r2-2026-06-03-02-33-45,gd-diag-cross-cb256r8-readk4-s125-r2-d123-b64-ga4-fp32-noearly4ep,completed,log_snapshot,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s125-r2.log,tmp/20260530-gd-seed-diag/logs/cross-cb256r8-readk4-s125-r2.log,zoology/experiments/flash_vqg/generated/flash-vqg-20260603-cross-cb256r8-readk4-s125-r2-2026-06-03-02-33-45/manifest.json,readk4 s125 high path reproduced
