config_family,condition,read_topk,seed,replicate,status,final_hard_1024x256,best_hard_1024x256,best_final_gap,final_valid_accuracy,final_valid_loss,evidence_role,source_artifact,launch_id,run_id,notes
cb256-r4,readk2,2,124,r1,completed,0.77246484375,0.77246484375,0,0.96091650390625,,negative_baseline,20260530-gd-seed-diag,flash-vqg-20260530-gd-seed-diag-d1-s124-2026-05-31-18-53-50,gd-diag-cb256r4-fix-rerun-s124-r1-d123-b64-ga4-fp32-noearly4ep,ordinary normal path-sensitive baseline
cb256-r4,readk2,2,125,r1,completed,0.956375,0.956375,0,0.9899755859375,,positive_baseline,20260530-gd-seed-diag,flash-vqg-20260530-gd-seed-diag-d1-s125-2026-05-31-19-21-27,gd-diag-cb256r4-fix-rerun-s125-r1-d123-b64-ga4-fp32-noearly4ep,ordinary normal high path baseline
cb256-r4,readk4,4,124,r1c,completed,0.943,0.943,0,0.986,,local_positive,20260530-gd-seed-diag,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r1c-2026-06-02-04-25-29,gd-diag-formal-readk4-s124-r1c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train path; manifest confirmed read_topk=4
cb256-r4,readk4,4,124,r2c,completed,0.958,0.959,0.001,0.991,,local_positive_repeat,20260530-gd-seed-diag,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r2c-2026-06-02-07-28-27,gd-diag-formal-readk4-s124-r2c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train rerun; manifest confirmed read_topk=4
cb256-r4,readk4,4,125,r1c,completed,0.944,0.945,0.001,0.989,,local_positive,20260530-gd-seed-diag,flash-vqg-20260530-gd-seed-diag-formal-readk4-s125-r1c-2026-06-02-07-06-03,gd-diag-formal-readk4-s125-r1c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train cross-seed; manifest confirmed read_topk=4
cb64-r16,readk2,2,124,r1b,completed,0.959,0.959,0,0.993,0.0756,baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb64r16-readk2-s124-r1b-2026-06-02-16-24-02,gd-diag-cross-cb64r16-readk2-s124-r1b-d123-b64-ga4-fp32-noearly4ep,valid replacement after OOM
cb64-r16,readk2,2,125,r1,completed,0.915,0.915,0,0.984,0.13,baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb64r16-readk2-s125-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,default read_topk=2 cross-seed
cb64-r16,readk4,4,124,r1,completed,0.831,0.831,0,0.976,0.202,counterexample,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb64r16-readk4-s124-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,readk4 harms s124 high path
cb64-r16,readk4,4,124,r2,completed,0.849,0.849,0,0.977,0.191,counterexample_repeat,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb64r16-readk4-s124-r2-2026-06-02-20-13-57,gd-diag-cross-cb64r16-readk4-s124-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s124 weak path reproduced
cb64-r16,readk4,4,125,r1,completed,0.965,0.965,0,0.994,0.071,mixed_positive,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb64r16-readk4-s125-r1-2026-06-02-12-47-01,gd-diag-cross-cb64r16-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,readk4 helps s125 but does not rescue layout-level defaultability
cb128-r8,readk2,2,124,r1,completed,0.956,0.956,0,0.991,0.0791,baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb128r8-readk2-s124-r1-2026-06-02-16-41-08,gd-diag-cross-cb128r8-readk2-s124-r1-d123-b64-ga4-fp32-noearly4ep,default read_topk=2
cb128-r8,readk2,2,125,r1,completed,0.956,0.956,0,0.991,0.0779,baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb128r8-readk2-s125-r1-2026-06-02-17-01-12,gd-diag-cross-cb128r8-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,default read_topk=2
cb128-r8,readk4,4,124,r1,completed,0.973,0.973,0,0.994,0.0655,initial_positive,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb128r8-readk4-s124-r1-2026-06-02-19-24-17,gd-diag-cross-cb128r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,initial readk4 high path
cb128-r8,readk4,4,125,r1,completed,0.972,0.972,0,0.994,0.0668,initial_positive,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb128r8-readk4-s125-r1-2026-06-02-19-41-35,gd-diag-cross-cb128r8-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,initial readk4 high path
cb128-r8,readk4,4,125,r2,completed,0.609,0.609,0,0.941,0.392,counterexample_repeat,20260530-gd-seed-diag,flash-vqg-20260603-cross-cb128r8-readk4-s125-r2-2026-06-03-05-44-26,gd-diag-cross-cb128r8-readk4-s125-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s125 rerun collapses to medium/low path
cb256-r8,readk2,2,124,r1,completed,0.988,0.988,0,0.997,0.0402,positive_baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb256r8-readk2-s124-r1-2026-06-02-22-38-58,gd-diag-cross-cb256r8-readk2-s124-r1-d123-b64-ga4-fp32-noearly4ep,default read_topk=2 high path
cb256-r8,readk2,2,125,r1,completed,0.804,0.804,0,0.97,0.245,negative_baseline,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb256r8-readk2-s125-r1-2026-06-02-23-10-44,gd-diag-cross-cb256r8-readk2-s125-r1-d123-b64-ga4-fp32-noearly4ep,default read_topk=2 low path
cb256-r8,readk4,4,124,r1,completed,0.982,0.982,0,0.996,0.0546,local_positive,20260530-gd-seed-diag,flash-vqg-20260602-cross-cb256r8-readk4-s124-r1-2026-06-02-23-43-12,gd-diag-cross-cb256r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,readk4 high path
cb256-r8,readk4,4,124,r2,completed,0.982,0.982,0,0.996,0.0546,local_positive_repeat,20260530-gd-seed-diag,flash-vqg-20260603-cross-cb256r8-readk4-s124-r2-2026-06-03-05-13-22,gd-diag-cross-cb256r8-readk4-s124-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s124 rerun high path reproduced
cb256-r8,readk4,4,125,r1,completed,0.988,0.989,0.001,0.997,0.0417,local_positive,20260530-gd-seed-diag,flash-vqg-20260603-cross-cb256r8-readk4-s125-r1-2026-06-03-01-31-15,gd-diag-cross-cb256r8-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,readk4 rescues readk2 weak seed
cb256-r8,readk4,4,125,r2,completed,0.992,0.992,0,0.997,0.0339,local_positive_repeat,20260530-gd-seed-diag,flash-vqg-20260603-cross-cb256r8-readk4-s125-r2-2026-06-03-02-33-45,gd-diag-cross-cb256r8-readk4-s125-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s125 high path reproduced
