config_family,condition,seed,replicate,source_wave,source_artifact,target,status,final_hard_1024x256,best_hard_1024x256,best_final_gap,final_valid_accuracy,final_valid_loss,has_new_read_telemetry,final_read_margin_top1_top2_mean,final_read_entropy_mean,final_read_selected_mass_mean,final_m_norm_max,max_m_norm_max_over_valid,evidence_role,same_wave_group,launch_id,run_id,notes
cb256-r8,readk4,123,20260622-02,targeted_20260622_02,20260622-02-flash-vqg-readk-telemetry-formalization,cb256r8-readk4-s123,completed,0.992,0.992,0.0,0.997,0.0328,yes,0.65,1.27,0.283,1.85,1.86,targeted_seed_fill,20260622_02_targeted_single_runs,,,new read-side telemetry available; raw source indexed in 20260622-02 source-manifest.csv
cb256-r8,readk4,124,r1,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.982,0.982,0,0.996,0.0546,no,,,,,,local_positive,historical_audit_mixed_dates,flash-vqg-20260602-cross-cb256r8-readk4-s124-r1-2026-06-02-23-43-12,gd-diag-cross-cb256r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,readk4 high path
cb256-r8,readk4,124,r2,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.982,0.982,0,0.996,0.0546,no,,,,,,local_positive_repeat,historical_audit_mixed_dates,flash-vqg-20260603-cross-cb256r8-readk4-s124-r2-2026-06-03-05-13-22,gd-diag-cross-cb256r8-readk4-s124-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s124 rerun high path reproduced
cb256-r8,readk4,125,r1,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.988,0.989,0.001,0.997,0.0417,no,,,,,,local_positive,historical_audit_mixed_dates,flash-vqg-20260603-cross-cb256r8-readk4-s125-r1-2026-06-03-01-31-15,gd-diag-cross-cb256r8-readk4-s125-r1-d123-b64-ga4-fp32-noearly4ep,readk4 rescues readk2 weak seed
cb256-r8,readk4,125,r2,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.992,0.992,0,0.997,0.0339,no,,,,,,local_positive_repeat,historical_audit_mixed_dates,flash-vqg-20260603-cross-cb256r8-readk4-s125-r2-2026-06-03-02-33-45,gd-diag-cross-cb256r8-readk4-s125-r2-d123-b64-ga4-fp32-noearly4ep,readk4 s125 high path reproduced
cb256-r4,readk4,123,20260622-02,targeted_20260622_02,20260622-02-flash-vqg-readk-telemetry-formalization,cb256r4-readk4-s123,completed,0.965,0.965,0.0,0.993,0.0801,yes,0.552,1.15,0.304,0.376,1.4,targeted_seed_fill,20260622_02_targeted_single_runs,,,new read-side telemetry available; raw source indexed in 20260622-02 source-manifest.csv
cb256-r4,readk4,124,r1c,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.943,0.943,0,0.986,,no,,,,,,local_positive,historical_audit_mixed_dates,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r1c-2026-06-02-04-25-29,gd-diag-formal-readk4-s124-r1c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train path; manifest confirmed read_topk=4
cb256-r4,readk4,124,r2c,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.958,0.959,0.001,0.991,,no,,,,,,local_positive_repeat,historical_audit_mixed_dates,flash-vqg-20260530-gd-seed-diag-formal-readk4-s124-r2c-2026-06-02-07-28-27,gd-diag-formal-readk4-s124-r2c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train rerun; manifest confirmed read_topk=4
cb256-r4,readk4,125,r1c,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.944,0.945,0.001,0.989,,no,,,,,,local_positive,historical_audit_mixed_dates,flash-vqg-20260530-gd-seed-diag-formal-readk4-s125-r1c-2026-06-02-07-06-03,gd-diag-formal-readk4-s125-r1c-d123-b64-ga4-fp32-noearly4ep,ordinary run_train cross-seed; manifest confirmed read_topk=4
cb128-r8,readk4,124,r1,historical_20260530_audited_20260622_01,20260622-01-flash-vqg-readk-boundary-audit,,completed,0.973,0.973,0,0.994,0.0655,no,,,,,,initial_positive,historical_audit_mixed_dates,flash-vqg-20260602-cross-cb128r8-readk4-s124-r1-2026-06-02-19-24-17,gd-diag-cross-cb128r8-readk4-s124-r1-d123-b64-ga4-fp32-noearly4ep,initial readk4 high path
