target,source_type,path,exists,size_bytes,sha256
cb128r8-readk4-s125-churn,manifest,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/manifest.json,True,7826,3adc0d7e89932895cc1a20983805e96f16c529eff1822b80364763321e3ef136
cb128r8-readk4-s125-churn,launch_config,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/launch_configs.py,True,8379,d55b256931f64748f67801e1d79f16c4f3591dc4ab0150fc993443dc59e9d9a8
cb128r8-readk4-s125-churn,train_config_json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4/train_config.json,True,15605,627903b2249e816567163115104d6e2688515a7989271e43a734c987cf690a23
cb128r8-readk4-s125-churn,swanlab_metadata,swanlog/run-20260622_103615-ilrq11r14ht7y3nubempy/files/swanlab-metadata.json,True,1214,ef6c96227806d91dae80183dacd9f97ac0f5cd8ac7f3021b83f983e1e613f3b2
cb128r8-readk4-s125-churn,log,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb128r8-readk4-s125-churn.log,True,2303765,df705e213bd930e6fcb54bc2a8ffea0c2421970ccd04f0263c5c0403d48a8dc6
cb256r8-readk2-s123-churn,manifest,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/manifest.json,True,7826,9eff12e08386ae06b8e53e11a692cd073975b9778b644d3bc04072e1812ab569
cb256r8-readk2-s123-churn,launch_config,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/launch_configs.py,True,8379,8c72176125f96f290676040d792b94b842c8674b849f06598e7ac4675f9ff6db
cb256r8-readk2-s123-churn,train_config_json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,True,15605,a4121a66ed42ba18c9701f043fd3738ca3d276735ec659ee1461dc99e7403aa7
cb256r8-readk2-s123-churn,swanlab_metadata,swanlog/run-20260622_103615-ak9ftk8f9o23lxbndo6lv/files/swanlab-metadata.json,True,1214,7aef7a47b8d3ee2ed1117d5e8b465a9872b005c9827096d6acef3ab3462616d5
cb256r8-readk2-s123-churn,log,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk2-s123-churn.log,True,2330646,a1074979b14db7715171863a8dd0cabe0a1cd9a0ff4ca870cc92c0bf5a2d81da
cb256r8-readk4-s123-churn,manifest,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/manifest.json,True,7826,a927bb9ae75a3c6c7ac91b0087e5f4f1b1c9bd93745f53d56b32d808b9a85eb6
cb256r8-readk4-s123-churn,launch_config,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/launch_configs.py,True,8379,5d6bb1581a170d5368160e0d61464d8258055b1286a75a560182ac464d70ea58
cb256r8-readk4-s123-churn,train_config_json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,True,15605,87b9e30b8c107d391f7b2e09712e51e5bc5ea322b5f38828995a1158892c915a
cb256r8-readk4-s123-churn,swanlab_metadata,swanlog/run-20260622_103615-ipjl6utf5tncstg2ke90q/files/swanlab-metadata.json,True,1214,d88e42865be22f53323578851cff9ebffc14bbc0df116ef34b1b9bca388689ad
cb256r8-readk4-s123-churn,log,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk4-s123-churn.log,True,2248531,d828813bcb61da84a5fcbe754c4374d5202eaaca270fa44d72696e13a36d4ba0
