smoke_id,official_prereq,device,summary_status,case_id,case_status,wall_clock_sec,train_forward_count,runtime_passed,generated_config_passed,metric_checks,error,summary_path,cases_path
config-runtime-smoke-20260621T184009Z,no,cuda,failed,readk2-baseline,failed,4.792213439941406e-05,,,,[],"ValueError('暂不支持这些 d_model: [32]. 当前仅支持 64, 128, 256.')",zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/cases.jsonl
config-runtime-smoke-20260621T184009Z,no,cuda,failed,readk4,failed,2.574920654296875e-05,,,,[],"ValueError('暂不支持这些 d_model: [32]. 当前仅支持 64, 128, 256.')",zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/cases.jsonl
config-runtime-smoke-20260621T184009Z,no,cuda,failed,write-cap-004,failed,1.9788742065429688e-05,,,,[],"ValueError('暂不支持这些 d_model: [32]. 当前仅支持 64, 128, 256.')",zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/cases.jsonl
config-runtime-smoke-20260621T184009Z,no,cuda,failed,bounded-beta-orthogonal-addr,failed,1.8596649169921875e-05,,,,[],"ValueError('暂不支持这些 d_model: [32]. 当前仅支持 64, 128, 256.')",zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184009Z/cases.jsonl
config-runtime-smoke-20260621T184037Z,no,cuda,failed,readk2-baseline,failed,5.655385732650757,,,,[],RuntimeError('FlashVQGMixer module not found.'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/cases.jsonl
config-runtime-smoke-20260621T184037Z,no,cuda,failed,readk4,failed,0.036704063415527344,,,,[],RuntimeError('FlashVQGMixer module not found.'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/cases.jsonl
config-runtime-smoke-20260621T184037Z,no,cuda,failed,write-cap-004,failed,0.035765886306762695,,,,[],RuntimeError('FlashVQGMixer module not found.'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/cases.jsonl
config-runtime-smoke-20260621T184037Z,no,cuda,failed,bounded-beta-orthogonal-addr,failed,0.03717923164367676,,,,[],RuntimeError('FlashVQGMixer module not found.'),zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184037Z/cases.jsonl
config-runtime-smoke-20260621T184127Z,no,cuda,failed,readk2-baseline,failed,5.591954231262207,0,False,False,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184127Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184127Z/cases.jsonl
config-runtime-smoke-20260621T184127Z,no,cuda,failed,readk4,failed,0.05167508125305176,0,False,False,[],,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184127Z/summary.json,zoology/experiments/flash_vqg/scripts/20260622-flash-vqg-seed-stability-next/outputs/config-runtime-smoke-20260621T184127Z/cases.jsonl
