setting,seed,metric,history_csv
default,123,valid/attn/gd_residual_write_strength_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_write_strength_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_write_strength_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_write_strength_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_write_strength_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_sum_zeta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_sum_zeta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_sum_zeta_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_sum_zeta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_sum_zeta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_uncapped_sum_zeta_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_write_strength_cap_hit_ratio,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_write_strength_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_write_strength_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_m_norm_cap_hit_ratio,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_m_norm_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_m_norm_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_update_norm_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_update_norm_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_beta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_beta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
default,123,valid/attn/gd_residual_beta_cap_hit_ratio,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv
