setting,seed,role,source_status,analysis_dir,history_csv,manifest_path,launch_id,sweep_id,expected_controls,final_hard,best_hard,best_hard_step,best_final_gap,final_valid_accuracy,final_valid_loss,final_m_norm_max,max_m_norm_max_over_valid,final_write_strength_mean,final_write_strength_cap_hit_ratio,final_effective_cap,final_lambda_mean,final_inject_ratio,final_beta_mean,notes,delta_vs_default_same_seed,ceiling_tax_vs_default_same_seed,delta_vs_hard04_same_seed
default,123,baseline_good,official,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/manifest.json,flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06,flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123,"{""mu_min_count"": 0.1, ""read_topk"": 2, ""write_strength_cap"": null}",0.9687109375,0.9687109375,2823,0.0,0.99387890625,0.07076781243085861,2.932285725360825,2.932285725360825,0.02114768415719034,,,0.09365616552531719,0.15058618961345582,,,0.0,0.0,0.02367187500000001
default,124,baseline_bad,official,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23/manifest.json,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124-2026-05-28-02-16-23,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s124,"{""mu_min_count"": 0.1, ""read_topk"": 2, ""write_strength_cap"": null}",0.819796875,0.819796875,2823,0.0,0.9721396484375,0.22389547526836395,4.370583799623308,4.370583799623308,0.07212395488565403,,,0.08471437426845706,0.16497001090338306,,,0.0,0.0,-0.14325781250000003
default,125,baseline_good,official,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23/manifest.json,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125-2026-05-28-02-16-23,flash-vqg-20260528-seed-stability-wave2-corrected-tmux-20260528T021416Z-cb64-r16-s125,"{""mu_min_count"": 0.1, ""read_topk"": 2, ""write_strength_cap"": null}",0.98728515625,0.98728515625,2823,0.0,0.99695361328125,0.04799143224954605,0.5892125818109701,5.445921719074249,0.0015860609737934457,,,0.17802203357929275,0.2375680242798158,,,0.0,0.0,0.034679687500000056
hard04,123,static_trust_region_good,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-09-47-13,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-09-47-13/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-09-47-13/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-09-47-13,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04,"{""read_topk"": 2, ""write_strength_cap"": 0.04, ""write_strength_cap_final"": null}",0.9450390625,0.9450390625,2823,0.0,0.9896640625,0.09285980463027954,3.5021307411647977,7.60963938822822,0.012933916194246166,0.2058017821539016,,0.08623146481575474,0.0751380610264956,,,-0.02367187500000001,0.02367187500000001,0.0
hard04,124,static_trust_region_bad,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-05-35-44,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-05-35-44/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-05-35-44/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-2026-05-29-05-35-44,flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04,"{""read_topk"": 2, ""write_strength_cap"": 0.04, ""write_strength_cap_final"": null}",0.9630546875,0.9630546875,2823,0.0,0.993001953125,0.0732002928853035,2.1660055529976647,3.95250642630789,0.007069474212743993,0.0934913574703156,,0.07099703174557477,0.06934627284488035,,,0.14325781250000003,-0.14325781250000003,0.0
hard04,125,static_trust_region_good,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm-2026-05-30-02-09-46,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm-2026-05-30-02-09-46/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm-2026-05-30-02-09-46/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm-2026-05-30-02-09-46,flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-hard04-s125-minconfirm,"{""read_topk"": 2, ""write_strength_cap"": 0.04, ""write_strength_cap_final"": null}",0.95260546875,0.95260546875,2823,0.0,0.99122412109375,0.09611506760120392,1.579249898592631,1.5922230453718276,0.013639681643643787,0.07207037910582527,,0.09190076514191571,0.15509020170522114,,,-0.034679687500000056,0.034679687500000056,0.0
caprel0406late,123,late_release_good,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123-2026-05-30-15-50-41,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123-2026-05-30-15-50-41/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123-2026-05-30-15-50-41/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123-2026-05-30-15-50-41,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s123,"{""release"": ""2820->8468"", ""write_strength_cap"": 0.04, ""write_strength_cap_final"": 0.06}",0.94937109375,0.94937109375,2823,0.0,0.99034130859375,0.09028905630111694,14.487578921847874,15.735759578053914,0.018627064638874598,0.2041786587427533,,0.13117678631984053,0.05323018244512025,,,-0.019339843750000085,0.019339843750000085,0.004332031249999924
caprel0406late,124,late_release_bad,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124-2026-05-30-11-56-57,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124-2026-05-30-11-56-57/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124-2026-05-30-11-56-57/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124-2026-05-30-11-56-57,flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s124,"{""release"": ""2820->8468"", ""write_strength_cap"": 0.04, ""write_strength_cap_final"": 0.06}",0.96300390625,0.96300390625,2823,0.0,0.99293701171875,0.07349629700183868,2.9416625348348466,6.5855095310816685,0.010689369909140089,0.09604835510253906,,0.06954173535285961,0.0679758766902581,,,0.14320703125,-0.14320703125,-5.078125000002043e-05
caprel0406late,125,late_release_good,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125-2026-05-30-10-52-31,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125-2026-05-30-10-52-31/gd-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125-2026-05-30-10-52-31/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125-2026-05-30-10-52-31,flash-vqg-20260529-seed-instability-cb64-r16-s125-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-caprel0406late-s125,"{""release"": ""2820->8468"", ""write_strength_cap"": 0.04, ""write_strength_cap_final"": 0.06}",0.960484375,0.9606875,2470,0.0002031250000000817,0.9915615234375,0.08935309201478958,2.118723339504666,2.118723339504666,0.02228790604405933,0.1302098168267144,,0.07963237079185626,0.14949157426045054,,,-0.026800781250000072,0.026800781250000072,0.007878906249999984
cap0405,123,conservative_release_good,exploratory,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123-2026-05-31-07-20-33,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123-2026-05-31-07-20-33/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123-probe/data/history.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123-2026-05-31-07-20-33/manifest.json,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123-2026-05-31-07-20-33,flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p05-wcaprel2820to8468-wcapevalscheduled-caprel0405late-sched-s123,"{""release"": ""2820->8468"", ""write_strength_cap"": 0.04, ""write_strength_cap_final"": 0.05}",0.8110859375,0.85609375,2117,0.045007812499999966,0.969220703125,0.19566091895103455,5.896309375289887,5.896309375289887,0.01899987591859249,0.24515480465359157,,0.3007654275094706,0.17352005268727977,,,-0.15762500000000002,0.15762500000000002,-0.133953125
