source_machine,mirror_status,path,bytes,sha256,tracked_in_git
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/queue-status.tsv,1282,f9951c40186d5b2c43b70d5388dbb8107f9e281b6f2d4b9c814e21916287c6c9,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/init-verify.json,893,11c0985a0102912ff6b01e874ec3c789c6fab2c33bd781394ca3fc45e3ddcf08,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/logs/default-s123-r1.log,601584,6cb919b256a5344b817a4a5cd1505bad46a2528b3e75f6073ccc7ef3254873ed,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/configs/default-s123-r1.json,18543,993b6f76ca9424cf52481e48a2d719919345c78682f23b200e914ea47a036b6b,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/results/default-s123-r1.json,718,5c14d63886c13ed208490f02efa1f81b024db8f1971e0026438b6f0e9f6bdcce,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/queue-status.tsv,2468,058a4496a498c06b5ef3a70b3ef0baad4b42cb02ccf114880ee23d64ef85ff0a,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/init-verify.json,891,d5b7a331cf82b2be0b45497ad4220727a4bcbabf3c698692c34893662726c8ce,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/logs/default-s123-r1.log,570707,f6b6e3d2686f73b6ec60d3b141935fab6ad4057bdeafb6f316cb0a3c29f62971,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/logs/default-s123-r2.log,567947,a79c13cbde227ca371c09f761fdb19223563987f1be8c509444fc5dc427f5b7a,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/configs/default-s123-r1.json,18533,481e38ac04dcf734ebfa6a7c0df0fe003ce76dcc9368783719d22b728308a81c,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/configs/default-s123-r2.json,18533,44d3154b5c8920215c2a0987748f2c965e04dc1a4c9af80fbf0df90cde1882ef,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/results/default-s123-r1.json,714,5ae8a429b40f5641c08a3257039aacd9b53afb3d2054da58544cae9a07352154,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/results/default-s123-r2.json,714,e200bc77789052bb9f983a07715d6ebff785f6901d3ceaaeac63547eb89eda45,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/probes/initlock-2080ti-s123-r1.json,163626,1a86afb4b9c99c3d6cf3c5b687d3c2258a3612ec2cceff45bb69def0381c0667,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/probes/initlock-3090-s123-r1.json,131400,36398e657d794f15042fb9c11117cd5613dd6ab0838127160c1ca63ac187c666,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/probe-configs/2080ti-default-s123-r1-launch_configs.py,15633,016ae3a7c3c15b60df586cda28a4a5961f283abef119f2b20e9650faae4bfa4f,no-ignored-raw
3090,mirrored-to-2080ti-and-sha256-verified,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/probe-configs/3090-default-s123-r1-launch_configs.py,15623,c7c01a9f7d09827afddedd0f7a1d45845794c5eefc86f5bc0b68fca3096a1e36,no-ignored-raw
2080ti,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/cache-actual-13-2080ti.json,2585,509b575f40870df52d16ea516dfadd10066c2bfd9ba7c90269b568605b50ecda,no-ignored-raw
shared,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init-meta.json,847,99424f9e01ffddc5f01128fa8758d73f1ef803c7b847c54ee660257eef5286bd,no-ignored-raw
shared,local-origin,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,8863291,0ae97671e501887e6eacdf6af177565efb69e7213420b4ff9d3aae27717a61d0,no-ignored-raw
