machine,target,variant,file_count,combined_content_sha256,expected_combined_content_sha256,match_expected,path,sha256,checkpoint,expected_model_state_sha256,embedded_model_state_sha256,actual_model_state_sha256,match_embedded
2080ti,dense-read-4ep-s123-r1,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r1/cache-hash.json,19a8bf9068f7dd506580462f23dc39607fc1d61e27618322591db07f93c5c284,,,,,
2080ti,dense-read-4ep-s123-r1,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r1-retry2/cache-hash.json,19a8bf9068f7dd506580462f23dc39607fc1d61e27618322591db07f93c5c284,,,,,
2080ti,dense-read-4ep-s123-r2,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r2/cache-hash.json,daf01b9817914368822aacbcd6976b4cba90df970cdc8803f3f2549c5fe0f333,,,,,
3090,dense-read-4ep-s123-r1,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/3090-r1/cache-hash.json,b548f7e357d704c4fbe79da87a041945e5a2b4d7b0b1f81cfca520293d6950d2,,,,,
3090,dense-read-4ep-s123-r2,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/3090-r2/cache-hash.json,94137cb36ea462015bfed6e85109fa78b3ace679c7075e9b0486de583e9672cc,,,,,
3090,dense-read-4ep-s123-r2,dense-read,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/3090-r2-retry1/cache-hash.json,729ab4b98d33d5a9ac33ad53edc3adb7bd63fbf78ea118a95fe72a2323349391,,,,,
2080ti,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r1/init-verify.json,504c16bc7d738dd63e2a414cce60ff21d6d6112f3d99883c1466ff622e65d28f,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
2080ti,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r1-retry2/init-verify.json,504c16bc7d738dd63e2a414cce60ff21d6d6112f3d99883c1466ff622e65d28f,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
2080ti,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/2080ti-r2/init-verify.json,7ac5effe372972e4e7f5133ace7195475f9b87f01e382f37cbefdde5da64baf9,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
3090,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260629-03-flash-vqg-dense-read-confirm/outputs/3090-r1/init-verify.json,288506ba673a3c7ab735919fb501397a700c2e1edba0aa3f4b42a7644dae95f1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
