machine,target,variant,file_count,combined_content_sha256,expected_combined_content_sha256,match_expected,path,sha256,checkpoint,expected_model_state_sha256,embedded_model_state_sha256,actual_model_state_sha256,match_embedded
2080ti,fixed-r2-baseline,fixed-r2-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu0-20260629T193000Z/cache-hash.json,589562921ae4aded73dd2186c44a00ebb2a0200c8eb23e7310982b1f22c5b6fb,,,,,
2080ti,fixed-r2-baseline,fixed-r2-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/cache-hash.json,072db5733e96b20193b39ae2192c67756f43e09b49ce5489db7556b85fee9f01,,,,,
3090,fixed-r2-baseline,fixed-r2-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/cache-hash.json,786db342b524366fa8164eedd547e9c870d28e9a91b5464a33808cfab4fbe131,,,,,
2080ti,fixed-r2-baseline,fixed-r2-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/preflight-2080ti-manual/cache-hash.json,191e63b63e562a0dcf7b424705e1deda88f88dd1d6a5396cbdf103f6c69eb79e,,,,,
3090,fixed-r2-baseline,fixed-r2-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/preflight-3090-manual/cache-hash.json,8ec58c294bebb88bd4c4cd28a3abb745c0f8a21f58fa6466bba91a2cd9bc1f69,,,,,
2080ti,,,,,,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu0-20260629T193000Z/init-verify.json,0a13def12887425ad7d916384529820fc631e78f8ed58364775889eeb86dfbc3,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/../20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
2080ti,,,,,,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/init-verify.json,ee73e21d9d59d3ad8be6928d41f1597c20d96a185ed463d9d7975ffbe511682a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/../20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
3090,,,,,,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/init-verify.json,798cd2ea0e62dfbfe5522c51d4bc7cc54b9bd8f8cd25ac32a9136a726d89db0b,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/../20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
2080ti,,,,,,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/preflight-2080ti-manual/init-verify.json,1678237acd576625b0b6d714e641bf9cd7ab5135f586446922def22cbb6c7209,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
3090,,,,,,True,zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/preflight-3090-manual/init-verify.json,1a9bf5af3cf768c355d5af5e4cf55e8dea814007d71a8942e3748278cbb235d1,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/canonical-init/cb64r16-s123-init.pt,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,dd0b7bb57b8bbb1fd2bd6dbcfcaa82d609c318b9b1c9ead0e89032f17bf16edf,True
