machine,target,variant,file_count,combined_content_sha256,expected_combined_content_sha256,match_expected,path,sha256,checkpoint,expected_model_state_sha256,embedded_model_state_sha256,actual_model_state_sha256,match_embedded
2080ti,fixed-r4-dropout005,fixed-r4-dropout005,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/drop005-2080ti-gpu1-20260630T175136Z/cache-hash.json,c2b759eb9c42936479d6eab7d9f99b22ee2708bf82226a97ccea11ee85adc3d1,,,,,
3090,fixed-r4-dropout005,fixed-r4-dropout005,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/drop005-3090-gpu0-20260630T175136Z/cache-hash.json,972d02b20ff3bf2538c3ca1435a9955cf809771c52a00d4d980696756ee97117,,,,,
2080ti,fixed-r4,fixed-r4,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/fixed-r4-default-2080ti-gpu1-20260630T175136Z/cache-hash.json,a15e837d90ab596cdb8024ea09290f3740216084852eea866e164f160c5f6585,,,,,
3090,fixed-r2,fixed-r2,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/p0-3090-fixed-r2-20260630T175136Z/cache-hash.json,60b5755b03c94d434e838def9940a3712720a3eff7d3bd4055c42c18c50b554d,,,,,
2080ti,fixed-r2,fixed-r2,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/probe-2080ti-gpu1-20260630T175136Z/cache-hash.json,241b21ca5751b6abb54bdb233337fea6e721fbb70de8b75e9491cfe1b4ec7a0f,,,,,
3090,fixed-r2,fixed-r2,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/probe-3090-gpu0-20260630T175136Z/cache-hash.json,e44f016f07f3c944d035ad6ea1e9936dc08b569695790243cd8cfe378903de7d,,,,,
2080ti,fixed-r2,fixed-r2,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/repeat-r2-2080ti-gpu0-20260630T175136Z/cache-hash.json,9e13f44546c053af776f388742d8fe6a5d0124b1c43f7f33ffa82d2149b1c6c7,,,,,
2080ti,fixed-r4-residual-zero,fixed-r4-residual-zero,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/reszero-2080ti-gpu0-20260630T175136Z/cache-hash.json,93b3edcb1541d8acaa3dd07074eb29b14049542cd6900bfceb9889c414097766,,,,,
3090,fixed-r4-residual-zero,fixed-r4-residual-zero,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/reszero-3090-gpu0-20260630T175136Z/cache-hash.json,4c16409a91711bfc1da71a7ff98efb5a13fb18d12c7ebc486858a7ded6aca86d,,,,,
2080ti,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-01-flash-vqg-default-dropout-r2-r4-overnight/outputs/drop005-2080ti-gpu1-20260630T175136Z/init-verify.json,4c2cab58753ae091138e08c34fbc6d22c2f1d1f48fcee26e2fda2a9892161503,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-03-flash-vqg-s124-fixed-r4-4ep-confirm/outputs/canonical-init/cb64r16-s124-init.pt,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True
