target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
fixed-r2,0,64,1.0,1.0,1.0
fixed-r2,16,64,0.65625,0.3125,0.6875
fixed-r2,64,64,0.515625,0.125,0.53125
fixed-r2,128,64,0.53125,0.171875,0.4375
fixed-r4,0,64,1.0,1.0,1.0
fixed-r4,16,64,0.65625,0.03125,0.7578125
fixed-r4,64,64,0.5,0.015625,0.62109375
fixed-r4,128,64,0.578125,0.0,0.48046875
fixed-r4-dropout005,0,64,1.0,1.0,1.0
fixed-r4-dropout005,16,64,0.765625,0.09375,0.78125
fixed-r4-dropout005,64,64,0.6875,0.03125,0.7265625
fixed-r4-dropout005,128,64,0.53125,0.015625,0.51171875
fixed-r4-residual-zero,0,64,1.0,1.0,1.0
fixed-r4-residual-zero,16,64,0.671875,0.03125,0.75
fixed-r4-residual-zero,64,64,0.6875,0.015625,0.67578125
fixed-r4-residual-zero,128,64,0.40625,0.0,0.37890625
