target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
default-r2,0,64,1.0,1.0,1.0
default-r2,16,64,0.65625,0.3125,0.6875
default-r2,64,64,0.515625,0.125,0.53125
default-r2,128,64,0.53125,0.171875,0.4375
default-r2,256,64,0.328125,0.03125,0.46875
default-r2,384,64,0.5,0.296875,0.65625
default-r2,512,64,0.203125,0.015625,0.21875
default-r2,704,64,0.03125,0.0,0.109375
default-r4,0,64,1.0,1.0,1.0
default-r4,16,64,0.65625,0.03125,0.7578125
default-r4,64,64,0.5,0.015625,0.62109375
default-r4,128,64,0.578125,0.0,0.48046875
default-r4,256,64,0.65625,0.046875,0.640625
default-r4,384,64,0.34375,0.015625,0.56640625
default-r4,512,64,0.015625,0.0,0.57421875
default-r4,704,64,0.03125,0.0,0.203125
dropout005-r4,0,64,1.0,1.0,1.0
dropout005-r4,16,64,0.765625,0.09375,0.78125
dropout005-r4,64,64,0.6875,0.03125,0.7265625
dropout005-r4,128,64,0.53125,0.015625,0.51171875
dropout005-r4,256,64,0.03125,0.0,0.5859375
dropout005-r4,384,64,0.203125,0.0,0.3203125
dropout005-r4,512,64,0.1875,0.0,0.234375
dropout005-r4,704,64,0.0625,0.0,0.14453125
