target,machine,layer_idx,head_idx,code_idx,records,share_of_target_machine_events,update_norm_max,update_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio
baseline-r2,2080ti,1,0,39,1387,0.32346082089552236,2.9177446365356445,2.421804428100586,0.0,0.3554434030281182
baseline-r2,2080ti,1,1,50,1131,0.263759328358209,1.6550523042678833,0.5939417481422424,0.0,0.10521662245800177
baseline-r2,2080ti,1,0,5,103,0.0240205223880597,1.644355058670044,1.4451943635940552,0.0,0.6504854368932039
baseline-r2,2080ti,1,0,32,92,0.021455223880597014,1.6000233888626099,1.4071433544158936,0.0,0.21739130434782608
baseline-r2,2080ti,1,0,25,91,0.021222014925373133,1.9634532928466797,1.6369986534118652,0.0,0.8901098901098901
baseline-r2,2080ti,1,0,59,59,0.013759328358208955,1.7023283243179321,1.6247482299804688,0.0,0.23728813559322035
baseline-r2,2080ti,1,1,52,58,0.013526119402985074,0.226212739944458,0.21730872988700867,0.0,0.0
baseline-r2,2080ti,1,1,11,57,0.013292910447761194,0.2516811788082123,0.2123953402042389,0.0,0.0
baseline-r2,2080ti,1,1,30,47,0.010960820895522388,0.20397727191448212,0.20004209876060486,0.0,0.0
baseline-r2,2080ti,1,0,29,46,0.010727611940298507,0.21613763272762299,0.21505123376846313,0.0,0.0
baseline-r2,2080ti,1,0,34,42,0.009794776119402986,0.19998537003993988,0.19973808526992798,0.0,0.0
baseline-r2,2080ti,1,0,31,40,0.009328358208955223,1.5956501960754395,1.5456149578094482,0.0,0.7
baseline-r2,2080ti,1,0,30,38,0.008861940298507462,0.20938564836978912,0.1942652463912964,0.0,0.0
baseline-r2,2080ti,1,0,48,38,0.008861940298507462,0.2317468523979187,0.21420395374298096,0.0,0.0
baseline-r2,2080ti,1,1,19,38,0.008861940298507462,0.25057029724121094,0.20338056981563568,0.0,0.0
baseline-r2,2080ti,1,1,49,36,0.008395522388059701,0.22252902388572693,0.20754414796829224,0.0,0.0
baseline-r2,2080ti,1,0,19,34,0.00792910447761194,1.7738747596740723,1.755210041999817,0.0,0.8235294117647058
baseline-r2,2080ti,1,0,44,34,0.00792910447761194,1.7237451076507568,1.6854336261749268,0.0,0.5294117647058824
baseline-r2,2080ti,1,0,1,33,0.007695895522388059,0.2104632556438446,0.18670468032360077,0.0,0.0
baseline-r2,2080ti,1,0,33,31,0.0072294776119402986,1.6522231101989746,1.5730490684509277,0.0,0.22580645161290322
baseline-r2,2080ti,1,0,41,31,0.0072294776119402986,0.1956891268491745,0.19293680787086487,0.0,0.0
baseline-r2,2080ti,1,1,23,28,0.0065298507462686565,0.20454497635364532,0.20069551467895508,0.0,0.0
baseline-r2,2080ti,1,1,35,24,0.005597014925373134,0.21929703652858734,0.19526924192905426,0.0,0.0
baseline-r2,2080ti,1,0,8,23,0.005363805970149254,0.21269188821315765,0.2062099725008011,0.0,0.0
