target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
baseline-r2,0,64,1.0,1.0,1.0
baseline-r2,1,64,0.90625,0.875,0.96875
baseline-r2,2,64,0.90625,0.734375,0.8984375
baseline-r2,4,64,0.890625,0.640625,0.8359375
baseline-r2,8,64,0.765625,0.46875,0.78125
baseline-r2,16,64,0.65625,0.3125,0.6875
baseline-r2,24,64,0.640625,0.296875,0.6796875
baseline-r2,32,64,0.640625,0.34375,0.6953125
baseline-r2,48,64,0.671875,0.34375,0.6640625
baseline-r2,64,64,0.515625,0.125,0.53125
baseline-r2,96,64,0.546875,0.1875,0.53125
baseline-r2,128,64,0.53125,0.171875,0.4375
baseline-r2,192,64,0.109375,0.0,0.2421875
baseline-r2,256,64,0.4375,0.09375,0.53125
baseline-r2,384,64,0.5,0.0,0.6015625
baseline-r2,512,64,0.296875,0.109375,0.4296875
baseline-r2,704,64,0.046875,0.0,0.15625
ucap0p5-r2,0,64,1.0,1.0,1.0
ucap0p5-r2,1,64,0.90625,0.875,0.96875
ucap0p5-r2,2,64,0.90625,0.734375,0.8984375
ucap0p5-r2,4,64,0.890625,0.640625,0.8359375
ucap0p5-r2,8,64,0.765625,0.46875,0.78125
ucap0p5-r2,16,64,0.65625,0.3125,0.6875
ucap0p5-r2,24,64,0.640625,0.296875,0.6796875
ucap0p5-r2,32,64,0.640625,0.34375,0.6953125
ucap0p5-r2,48,64,0.671875,0.34375,0.6640625
ucap0p5-r2,64,64,0.515625,0.125,0.53125
ucap0p5-r2,96,64,0.546875,0.1875,0.53125
ucap0p5-r2,128,64,0.53125,0.171875,0.4375
ucap0p5-r2,192,64,0.015625,0.0,0.171875
ucap0p5-r2,256,64,0.015625,0.0,0.3125
ucap0p5-r2,384,64,0.109375,0.0,0.2421875
ucap0p5-r2,512,64,0.140625,0.03125,0.1640625
ucap0p5-r2,704,64,0.140625,0.015625,0.140625
