target,machine,optimizer_step,micro_step,layer_idx,records,update_norm_max,update_norm_mean,update_norm_p95,err_norm_mean,err_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio,actual_cap_scale_mean,actual_cap_scale_min,hypothetical_cap_scale_mean,hypothetical_cap_scale_min,top_code_idx,top_code_share,top_head_idx,top_head_share
baseline-r2,2080ti,0,0,1,64,0.20476563274860382,0.1632864624261856,0.18983934819698334,0.7720012944191694,0.8808113932609558,0.0,0.0,1.0,1.0,1.0,1.0,11,0.078125,0,0.578125
baseline-r2,2080ti,0,1,1,64,0.19053135812282562,0.16089331964030862,0.17969681322574615,0.7472099252045155,0.8613194823265076,0.0,0.0,1.0,1.0,1.0,1.0,30,0.125,1,0.515625
baseline-r2,2080ti,0,2,1,64,0.21929703652858734,0.16588077740743756,0.17968197166919708,0.7485168473795056,0.8390737771987915,0.0,0.0,1.0,1.0,1.0,1.0,30,0.109375,0,0.625
baseline-r2,2080ti,0,3,1,64,0.18981175124645233,0.15993148717097938,0.17269368469715118,0.7290983060374856,0.8303217887878418,0.0,0.0,1.0,1.0,1.0,1.0,48,0.078125,0,0.640625
baseline-r2,2080ti,1,0,1,64,0.2379445880651474,0.17179965181276202,0.18706537783145905,0.7361533679068089,0.8463762402534485,0.0,0.0,1.0,1.0,1.0,1.0,30,0.09375,0,0.515625
baseline-r2,2080ti,1,1,1,64,0.21613763272762299,0.1734678230714053,0.1929074227809906,0.7553258705884218,0.8499045968055725,0.0,0.0,1.0,1.0,1.0,1.0,30,0.109375,0,0.5625
baseline-r2,2080ti,1,2,1,64,0.19330456852912903,0.1670084702782333,0.1915370523929596,0.7398354690521955,0.8383541703224182,0.0,0.0,1.0,1.0,1.0,1.0,30,0.078125,0,0.53125
baseline-r2,2080ti,1,3,1,64,0.20841169357299805,0.1656248120125383,0.18409956991672516,0.7376426933333278,0.8716497421264648,0.0,0.0,1.0,1.0,1.0,1.0,29,0.09375,0,0.53125
baseline-r2,2080ti,2,0,1,64,0.21878933906555176,0.16775811789557338,0.1956891268491745,0.7591536985710263,0.8670920729637146,0.0,0.0,1.0,1.0,1.0,1.0,41,0.0625,0,0.515625
baseline-r2,2080ti,2,1,1,64,0.23399700224399567,0.18249305826611817,0.20035119354724884,0.7410924276337028,0.8699074387550354,0.0,0.0,1.0,1.0,1.0,1.0,30,0.109375,0,0.625
baseline-r2,2080ti,2,2,1,64,0.19598692655563354,0.16823871433734894,0.18099844455718994,0.7414605468511581,0.8264856934547424,0.0,0.0,1.0,1.0,1.0,1.0,34,0.09375,0,0.515625
baseline-r2,2080ti,2,3,1,64,0.2253974825143814,0.18197272601537406,0.20454497635364532,0.7636657878756523,0.944364607334137,0.0,0.0,1.0,1.0,1.0,1.0,30,0.109375,0,0.625
baseline-r2,2080ti,4,0,1,64,0.20237469673156738,0.17223429586738348,0.1979561746120453,0.7526562726125121,0.8792635798454285,0.0,0.0,1.0,1.0,1.0,1.0,32,0.09375,1,0.546875
baseline-r2,2080ti,4,1,1,64,0.22657641768455505,0.17437255126424134,0.19485469162464142,0.7458320716395974,0.8644846677780151,0.0,0.0,1.0,1.0,1.0,1.0,30,0.0625,0,0.59375
baseline-r2,2080ti,4,2,1,64,0.2123953402042389,0.18590215709991753,0.20268221199512482,0.7573779253289104,0.8540290594100952,0.0,0.0,1.0,1.0,1.0,1.0,30,0.078125,1,0.515625
baseline-r2,2080ti,4,3,1,64,0.21505123376846313,0.18383387080393732,0.21221740543842316,0.7515339758247137,0.8808044195175171,0.0,0.0,1.0,1.0,1.0,1.0,34,0.09375,0,0.515625
baseline-r2,2080ti,8,0,1,64,0.22751963138580322,0.1798391491174698,0.2104632556438446,0.776121087372303,0.891016960144043,0.0,0.0,1.0,1.0,1.0,1.0,28,0.0625,0,0.625
baseline-r2,2080ti,8,1,1,64,0.24328398704528809,0.1808082005009055,0.2076345682144165,0.7513126274570823,0.8566461801528931,0.0,0.0,1.0,1.0,1.0,1.0,32,0.109375,0,0.5625
baseline-r2,2080ti,8,2,1,64,0.2516811788082123,0.1809908696450293,0.226212739944458,0.7533918069675565,0.8917890787124634,0.0,0.0,1.0,1.0,1.0,1.0,48,0.09375,0,0.609375
