target,machine,train_step,layer_idx,records,update_norm_max,update_norm_mean,update_norm_p95,err_norm_mean,err_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio,actual_cap_scale_mean,actual_cap_scale_min,hypothetical_cap_scale_mean,hypothetical_cap_scale_min,top_code_idx,top_code_share,top_head_idx,top_head_share
baseline-r2,2080ti,0,1,256,0.21929703652858734,0.1624980116612278,0.18072645366191864,0.749206593260169,0.8592712879180908,0.0,0.0,1.0,1.0,1.0,1.0,30,0.07421875,0,0.58203125
baseline-r2,2080ti,1,1,256,0.2379445880651474,0.16947518929373473,0.19105704128742218,0.7422393502201885,0.8481038808822632,0.0,0.0,1.0,1.0,1.0,1.0,30,0.09375,0,0.53515625
baseline-r2,2080ti,2,1,256,0.23399700224399567,0.17511565412860364,0.20035119354724884,0.7513431152328849,0.8686257004737854,0.0,0.0,1.0,1.0,1.0,1.0,41,0.06640625,0,0.5703125
baseline-r2,2080ti,4,1,256,0.22657641768455505,0.17908571875886992,0.20092448592185974,0.7518500613514334,0.8800655007362366,0.0,0.0,1.0,1.0,1.0,1.0,30,0.06640625,0,0.51171875
baseline-r2,2080ti,8,1,256,0.2516811788082123,0.1805696509545669,0.2104632556438446,0.7587243646848947,0.8816883563995361,0.0,0.0,1.0,1.0,1.0,1.0,52,0.06640625,0,0.57421875
baseline-r2,2080ti,16,1,256,0.25057029724121094,0.1925928129348904,0.2169623076915741,0.7649074480868876,0.8824969530105591,0.0,0.0,1.0,1.0,1.0,1.0,52,0.1640625,0,0.515625
baseline-r2,2080ti,24,1,256,0.29181042313575745,0.2172122387564741,0.24082688987255096,0.7532926297280937,0.859873354434967,0.0,0.0,1.0,1.0,1.0,1.0,39,0.93359375,0,0.95703125
baseline-r2,2080ti,32,1,256,0.3620366156101227,0.26891903625801206,0.30096378922462463,0.7830009190365672,0.9036270380020142,0.0,0.0,1.0,1.0,1.0,1.0,39,1.0,0,1.0
baseline-r2,2080ti,48,1,256,0.6025941371917725,0.3966824956005439,0.46731558442115784,1.3251559392083436,1.5902507305145264,0.0,0.0234375,1.0,1.0,0.9984977115527048,0.829745875607279,50,0.65625,1,0.65625
baseline-r2,2080ti,64,1,256,0.5939417481422424,0.313175757182762,0.37723398208618164,1.1673407612834126,1.507809042930603,0.0,0.00390625,1.0,1.0,0.9993821617105912,0.8418333979113648,50,0.9296875,1,0.9296875
baseline-r2,2080ti,96,1,256,0.5222554206848145,0.3487152315210551,0.4406592845916748,1.0232299477793276,1.4357600212097168,0.0,0.01171875,1.0,1.0,0.9997512294053504,0.9573859460268852,50,0.75,1,0.75
baseline-r2,2080ti,128,1,256,0.5153191685676575,0.28471277677454054,0.39647603034973145,0.7556785570923239,0.9269701838493347,0.0,0.00390625,1.0,1.0,0.9998838768168012,0.9702724651011189,50,0.703125,1,0.703125
baseline-r2,2080ti,192,1,256,1.122734546661377,0.4092299767071381,0.5914146900177002,1.5150053242687136,2.20627498626709,0.0,0.1171875,1.0,1.0,0.9797182171931135,0.4453412442743715,50,0.71875,1,0.71875
baseline-r2,2080ti,256,1,256,1.9795398712158203,0.5866191278910264,0.9991254806518555,2.667209518607706,3.8516056537628174,0.0,0.61328125,1.0,1.0,0.867981479345528,0.25258395007366197,39,0.52734375,0,0.52734375
baseline-r2,2080ti,384,1,256,2.9177446365356445,2.3576604248955846,2.58320951461792,2.6230803579092026,2.9449212551116943,0.0,1.0,1.0,1.0,0.2126829216091661,0.17136523660743322,39,1.0,0,1.0
baseline-r2,2080ti,512,1,256,1.7283693552017212,1.2775243800133467,1.466229796409607,2.5836979602463543,3.0379068851470947,0.0,1.0,1.0,1.0,0.39394907517130767,0.2892900169140317,39,0.33203125,0,1.0
baseline-r2,2080ti,703,1,192,2.357897996902466,1.6144696976989508,1.862396001815796,3.5646212212741375,4.147481918334961,0.0,1.0,1.0,1.0,0.31165332035258614,0.2120532782405525,39,0.3802083333333333,0,1.0
baseline-r2,3090,0,1,256,0.2233160138130188,0.1627959567704238,0.1840309351682663,0.7619905206374824,0.8853175044059753,0.0,0.0,1.0,1.0,1.0,1.0,30,0.08203125,0,0.5703125
baseline-r2,3090,1,1,256,0.21251842379570007,0.16810346650891006,0.19132694602012634,0.7487895861268044,0.8563617467880249,0.0,0.0,1.0,1.0,1.0,1.0,30,0.0703125,0,0.55859375
baseline-r2,3090,2,1,256,0.2134978324174881,0.17535926320124418,0.19349083304405212,0.7452368997037411,0.8634693622589111,0.0,0.0,1.0,1.0,1.0,1.0,30,0.078125,0,0.5546875
baseline-r2,3090,4,1,256,0.23619146645069122,0.17919071851065382,0.20241603255271912,0.7521904841996729,0.8748066425323486,0.0,0.0,1.0,1.0,1.0,1.0,30,0.0703125,0,0.515625
baseline-r2,3090,8,1,256,0.24838154017925262,0.1803809511475265,0.20571191608905792,0.7529315229039639,0.8562377095222473,0.0,0.0,1.0,1.0,1.0,1.0,11,0.05859375,0,0.515625
baseline-r2,3090,16,1,256,0.2683899402618408,0.19623532670084387,0.21887119114398956,0.773955229204148,0.8931803703308105,0.0,0.0,1.0,1.0,1.0,1.0,39,0.15234375,0,0.578125
baseline-r2,3090,24,1,256,0.2863839268684387,0.21924980479525402,0.2452404499053955,0.7504658587276936,0.8520580530166626,0.0,0.0,1.0,1.0,1.0,1.0,39,0.91796875,0,0.9765625
baseline-r2,3090,32,1,256,0.34108757972717285,0.2714443782460876,0.30266448855400085,0.7874374017119408,0.9107816219329834,0.0,0.0,1.0,1.0,1.0,1.0,39,0.99609375,0,0.99609375
baseline-r2,3090,48,1,256,0.6137985587120056,0.4685484532965347,0.5450353026390076,1.4944724622182548,1.7967690229415894,0.0,0.21484375,1.0,1.0,0.9867123089166104,0.8145995015843628,39,0.88671875,0,0.88671875
baseline-r2,3090,64,1,256,0.47054794430732727,0.33104049100074917,0.39650505781173706,1.2327016713097692,1.5510350465774536,0.0,0.0,1.0,1.0,1.0,1.0,50,0.65234375,1,0.65234375
baseline-r2,3090,96,1,256,0.5754557251930237,0.3590123050380498,0.4752565920352936,1.0207619252614677,1.3648693561553955,0.0,0.01953125,1.0,1.0,0.9986104064807866,0.8688765757474848,50,0.6484375,1,0.6484375
baseline-r2,3090,128,1,256,0.5632501840591431,0.278073541179765,0.3624270260334015,0.756669754628092,0.9537711143493652,0.0,0.0078125,1.0,1.0,0.9994807739035336,0.8877049917617043,50,0.578125,1,0.578125
baseline-r2,3090,192,1,256,1.7563223838806152,0.7485586013644934,1.051137089729309,2.7410490098409355,3.698420524597168,0.0,1.0,1.0,1.0,0.6942505583410858,0.28468577556658137,39,0.64453125,0,0.64453125
baseline-r2,3090,256,1,256,2.4950292110443115,1.1294865855015814,1.5741451978683472,4.586345874704421,6.328226089477539,0.0,1.0,1.0,1.0,0.4576255628620543,0.20039845537147905,39,0.86328125,0,0.86328125
baseline-r2,3090,384,1,256,1.2806476354599,0.763386219041422,0.9599184393882751,3.816426581237465,4.745875835418701,0.0,1.0,1.0,1.0,0.665542387662216,0.39042745729229605,39,1.0,0,1.0
baseline-r2,3090,512,1,256,1.330653190612793,0.8252630804199725,1.0151833295822144,2.6829865290783346,3.3332672119140625,0.0,1.0,1.0,1.0,0.6134191541004479,0.3757553083908661,39,1.0,0,1.0
baseline-r2,3090,703,1,192,4.083294868469238,3.0600804314017296,3.790172576904297,10.085040221611658,11.826233863830566,0.0,1.0,1.0,1.0,0.1658198847804168,0.12245013306801475,39,1.0,0,1.0
ucap0p5-r2,2080ti,0,1,256,0.21929703652858734,0.1624980116612278,0.18072645366191864,0.749206593260169,0.8592712879180908,0.0,0.0,1.0,1.0,1.0,1.0,30,0.07421875,0,0.58203125
ucap0p5-r2,2080ti,1,1,256,0.2379445880651474,0.16947518929373473,0.19105704128742218,0.7422393502201885,0.8481038808822632,0.0,0.0,1.0,1.0,1.0,1.0,30,0.09375,0,0.53515625
ucap0p5-r2,2080ti,2,1,256,0.23399700224399567,0.17511565412860364,0.20035119354724884,0.7513431152328849,0.8686257004737854,0.0,0.0,1.0,1.0,1.0,1.0,41,0.06640625,0,0.5703125
ucap0p5-r2,2080ti,4,1,256,0.22657644748687744,0.17908571561565623,0.20092448592185974,0.7518500599544495,0.8800655007362366,0.0,0.0,1.0,1.0,1.0,1.0,30,0.06640625,0,0.51171875
ucap0p5-r2,2080ti,8,1,256,0.2516811490058899,0.18056965013965964,0.2104632705450058,0.7587243663147092,0.8816883563995361,0.0,0.0,1.0,1.0,1.0,1.0,52,0.06640625,0,0.57421875
ucap0p5-r2,2080ti,16,1,256,0.25057029724121094,0.1925928084529005,0.2169622778892517,0.7649074515793473,0.8824970126152039,0.0,0.0,1.0,1.0,1.0,1.0,52,0.1640625,0,0.515625
ucap0p5-r2,2080ti,24,1,256,0.29181042313575745,0.21721223805798218,0.24082688987255096,0.7532926336862147,0.859873354434967,0.0,0.0,1.0,1.0,1.0,1.0,39,0.93359375,0,0.95703125
ucap0p5-r2,2080ti,32,1,256,0.36203667521476746,0.2689190349774435,0.30096378922462463,0.7830009150784463,0.9036270380020142,0.0,0.0,1.0,1.0,1.0,1.0,39,1.0,0,1.0
ucap0p5-r2,2080ti,48,1,256,0.6025961637496948,0.39680502167902887,0.4673154056072235,1.3259410406462848,1.5902830362319946,0.0234375,0.0234375,0.9984977158013082,0.8297431156786151,0.9984977158118249,0.829743085134689,50,0.65625,1,0.65625
ucap0p5-r2,2080ti,64,1,256,0.5938622355461121,0.3131861191941425,0.3772343099117279,1.1673186044208705,1.5077732801437378,0.00390625,0.00390625,0.9993826019210023,0.8419460917765651,0.9993826019981472,0.8419461115256859,50,0.9296875,1,0.9296875
ucap0p5-r2,2080ti,96,1,256,0.5222616791725159,0.34874167921952903,0.44064056873321533,1.023489004932344,1.4357972145080566,0.01171875,0.01171875,0.9997530265890218,0.9573744450341846,0.9997530267538359,0.9573744732568015,50,0.75,1,0.75
ucap0p5-r2,2080ti,128,1,256,0.5151196122169495,0.28470909368479624,0.39668387174606323,0.7557107378961518,0.9270761609077454,0.00390625,0.00390625,0.9998853451043073,0.9706483467026712,0.9998853451046675,0.9706483467948768,50,0.703125,1,0.703125
ucap0p5-r2,2080ti,192,1,256,1.1736143827438354,0.4243516563437879,0.619322657585144,1.582582966890186,2.2894885540008545,0.15625,0.15625,0.9754877834005682,0.4260342774760443,0.9754877842494304,0.4260343153183177,50,0.69921875,1,0.69921875
ucap0p5-r2,2080ti,256,1,256,0.8663365244865417,0.5080790311330929,0.6165981292724609,1.3352865790948272,1.7492642402648926,0.48046875,0.48046875,0.9564274968767696,0.5771429759541913,0.9564274950764291,0.5771429298751299,39,1.0,0,1.0
ucap0p5-r2,2080ti,384,1,256,2.4678955078125,1.9508278225548565,2.2251930236816406,2.180794191081077,2.466858386993408,1.0,1.0,0.2576342422959258,0.20260177111038247,0.25763424331594614,0.20260177078696145,39,1.0,0,1.0
ucap0p5-r2,2080ti,512,1,256,0.35761967301368713,0.22689204075140879,0.28193360567092896,2.049869190901518,2.4468119144439697,0.0,0.0,1.0,1.0,1.0,1.0,50,0.9765625,1,0.9765625
ucap0p5-r2,2080ti,703,1,192,0.7231005430221558,0.5080029324938854,0.5779162049293518,2.7930680798987546,3.517454147338867,0.5416666666666666,0.5416666666666666,0.9647862146458274,0.6914667484977668,0.9647862158976763,0.6914667743302746,50,1.0,1,1.0
ucap0p5-r2,3090,0,1,256,0.2233160138130188,0.1627959567704238,0.1840309351682663,0.7619905206374824,0.8853175044059753,0.0,0.0,1.0,1.0,1.0,1.0,30,0.08203125,0,0.5703125
ucap0p5-r2,3090,1,1,256,0.21251842379570007,0.16810346650891006,0.19132694602012634,0.7487895861268044,0.8563617467880249,0.0,0.0,1.0,1.0,1.0,1.0,30,0.0703125,0,0.55859375
ucap0p5-r2,3090,2,1,256,0.2134978324174881,0.17535926320124418,0.19349083304405212,0.7452368997037411,0.8634693622589111,0.0,0.0,1.0,1.0,1.0,1.0,30,0.078125,0,0.5546875
ucap0p5-r2,3090,4,1,256,0.23619145154953003,0.1791907186852768,0.20241603255271912,0.7521904862951487,0.8748067021369934,0.0,0.0,1.0,1.0,1.0,1.0,30,0.0703125,0,0.515625
ucap0p5-r2,3090,8,1,256,0.248381569981575,0.18038095015799627,0.20571191608905792,0.7529315203428268,0.8562377095222473,0.0,0.0,1.0,1.0,1.0,1.0,11,0.05859375,0,0.515625
ucap0p5-r2,3090,16,1,256,0.26838985085487366,0.19623525900533423,0.21887119114398956,0.7739552673883736,0.8931806087493896,0.0,0.0,1.0,1.0,1.0,1.0,39,0.15234375,0,0.578125
ucap0p5-r2,3090,24,1,256,0.2863815128803253,0.21924891404341906,0.2452394813299179,0.7504656445235014,0.8520534634590149,0.0,0.0,1.0,1.0,1.0,1.0,39,0.91796875,0,0.9765625
ucap0p5-r2,3090,32,1,256,0.34107333421707153,0.2714398179668933,0.30265969038009644,0.787438272498548,0.9107860922813416,0.0,0.0,1.0,1.0,1.0,1.0,39,0.99609375,0,0.99609375
ucap0p5-r2,3090,48,1,256,0.6132751107215881,0.4686431995360181,0.5450356006622314,1.494823812507093,1.7967278957366943,0.21484375,0.21484375,0.9867057409140128,0.8152948040913494,0.9867057408187493,0.8152947857474486,39,0.88671875,0,0.88671875
ucap0p5-r2,3090,64,1,256,0.47055840492248535,0.3310341057367623,0.396516352891922,1.2327002722304314,1.5510380268096924,0.0,0.0,1.0,1.0,1.0,1.0,50,0.65234375,1,0.65234375
ucap0p5-r2,3090,96,1,256,0.5755378007888794,0.3590275679016486,0.47525715827941895,1.0207986237946898,1.3650281429290771,0.01953125,0.01953125,0.9986100178439972,0.8687526302702973,0.9986100181043635,0.8687526680517924,50,0.6484375,1,0.6484375
ucap0p5-r2,3090,128,1,256,0.5544969439506531,0.277948560367804,0.36244794726371765,0.7577735148370266,0.9539122581481934,0.0078125,0.0078125,0.9995363806867725,0.901718192362984,0.9995363806847343,0.9017182248789761,50,0.58203125,1,0.58203125
ucap0p5-r2,3090,192,1,256,1.6896661520004272,0.7365524619817734,1.0350009202957153,2.9175868974998593,3.945356607437134,1.0,1.0,0.7034404960773598,0.2959164291100756,0.7034404962398302,0.2959164444455733,39,0.71484375,0,0.71484375
ucap0p5-r2,3090,256,1,256,1.988153338432312,0.7885393807664514,1.1408122777938843,3.116386044304818,4.413879871368408,1.0,1.0,0.6594173008692323,0.2514896690616263,0.659417302296325,0.2514896564237129,39,0.85546875,0,0.85546875
