target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
baseline-r2,0,64,1.0,1.0,1.0
baseline-r2,1,64,0.90625,0.875,0.96875
baseline-r2,2,64,0.90625,0.734375,0.8984375
baseline-r2,4,64,0.890625,0.640625,0.8359375
baseline-r2,8,64,0.765625,0.46875,0.78125
baseline-r2,16,64,0.65625,0.3125,0.6875
baseline-r2,24,64,0.640625,0.296875,0.6796875
baseline-r2,32,64,0.640625,0.34375,0.6953125
baseline-r2,48,64,0.671875,0.34375,0.6640625
baseline-r2,64,64,0.515625,0.125,0.53125
baseline-r2,96,64,0.546875,0.1875,0.53125
baseline-r2,128,64,0.53125,0.171875,0.4375
baseline-r2,192,64,0.078125,0.0,0.203125
baseline-r2,256,64,0.171875,0.0,0.3984375
baseline-r2,384,64,0.5,0.46875,0.7421875
baseline-r2,512,64,0.09375,0.015625,0.1640625
baseline-r2,704,64,0.171875,0.0,0.203125
inj-warmup-linear512-r2,0,64,1.0,1.0,1.0
inj-warmup-linear512-r2,1,64,0.9375,0.90625,0.9609375
inj-warmup-linear512-r2,2,64,0.890625,0.75,0.90625
inj-warmup-linear512-r2,4,64,0.921875,0.671875,0.8359375
inj-warmup-linear512-r2,8,64,0.78125,0.453125,0.78125
inj-warmup-linear512-r2,16,64,0.671875,0.34375,0.703125
inj-warmup-linear512-r2,24,64,0.640625,0.3125,0.703125
inj-warmup-linear512-r2,32,64,0.640625,0.390625,0.734375
inj-warmup-linear512-r2,48,64,0.78125,0.453125,0.7578125
inj-warmup-linear512-r2,64,64,0.703125,0.296875,0.671875
inj-warmup-linear512-r2,96,64,0.71875,0.203125,0.5703125
inj-warmup-linear512-r2,128,64,0.4375,0.0625,0.3359375
inj-warmup-linear512-r2,192,64,0.484375,0.09375,0.4296875
inj-warmup-linear512-r2,256,64,0.46875,0.125,0.4140625
inj-warmup-linear512-r2,384,64,0.078125,0.0,0.2421875
inj-warmup-linear512-r2,512,64,0.046875,0.0,0.296875
inj-warmup-linear512-r2,704,64,0.0625,0.03125,0.3125
inj-warmup-silent64-linear512-r2,0,64,1.0,1.0,1.0
inj-warmup-silent64-linear512-r2,1,64,0.953125,0.921875,0.9609375
inj-warmup-silent64-linear512-r2,2,64,0.890625,0.75,0.90625
inj-warmup-silent64-linear512-r2,4,64,0.921875,0.671875,0.8359375
inj-warmup-silent64-linear512-r2,8,64,0.78125,0.453125,0.78125
inj-warmup-silent64-linear512-r2,16,64,0.671875,0.34375,0.703125
inj-warmup-silent64-linear512-r2,24,64,0.640625,0.3125,0.703125
inj-warmup-silent64-linear512-r2,32,64,0.640625,0.390625,0.734375
inj-warmup-silent64-linear512-r2,48,64,0.796875,0.46875,0.75
inj-warmup-silent64-linear512-r2,64,64,0.6875,0.3125,0.671875
inj-warmup-silent64-linear512-r2,96,64,0.6875,0.203125,0.59375
inj-warmup-silent64-linear512-r2,128,64,0.484375,0.0625,0.359375
inj-warmup-silent64-linear512-r2,192,64,0.46875,0.078125,0.34375
inj-warmup-silent64-linear512-r2,256,64,0.484375,0.203125,0.3828125
inj-warmup-silent64-linear512-r2,384,64,0.578125,0.125,0.3671875
inj-warmup-silent64-linear512-r2,512,64,0.578125,0.125,0.4140625
inj-warmup-silent64-linear512-r2,704,64,0.578125,0.140625,0.4453125
