target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
inj-warmup-linear1024-r2,0,64,1.0,1.0,1.0
inj-warmup-linear1024-r2,1,64,0.9375,0.90625,0.9609375
inj-warmup-linear1024-r2,2,64,0.890625,0.75,0.90625
inj-warmup-linear1024-r2,4,64,0.921875,0.671875,0.8359375
inj-warmup-linear1024-r2,8,64,0.78125,0.453125,0.78125
inj-warmup-linear1024-r2,16,64,0.671875,0.34375,0.703125
inj-warmup-linear1024-r2,24,64,0.640625,0.3125,0.703125
inj-warmup-linear1024-r2,32,64,0.640625,0.390625,0.734375
inj-warmup-linear1024-r2,48,64,0.78125,0.453125,0.7578125
inj-warmup-linear1024-r2,64,64,0.703125,0.296875,0.6640625
inj-warmup-linear1024-r2,96,64,0.71875,0.21875,0.578125
inj-warmup-linear1024-r2,128,64,0.421875,0.046875,0.328125
inj-warmup-linear1024-r2,192,64,0.078125,0.015625,0.2109375
inj-warmup-linear1024-r2,256,64,0.5,0.171875,0.40625
inj-warmup-linear1024-r2,384,64,0.109375,0.015625,0.1953125
inj-warmup-linear1024-r2,512,64,0.0625,0.015625,0.0703125
inj-warmup-linear1024-r2,704,64,0.546875,0.125,0.375
inj-warmup-linear704-r2,0,64,1.0,1.0,1.0
inj-warmup-linear704-r2,1,64,0.9375,0.90625,0.9609375
inj-warmup-linear704-r2,2,64,0.890625,0.75,0.90625
inj-warmup-linear704-r2,4,64,0.921875,0.671875,0.8359375
inj-warmup-linear704-r2,8,64,0.78125,0.453125,0.78125
inj-warmup-linear704-r2,16,64,0.671875,0.34375,0.703125
inj-warmup-linear704-r2,24,64,0.640625,0.3125,0.703125
inj-warmup-linear704-r2,32,64,0.640625,0.390625,0.734375
inj-warmup-linear704-r2,48,64,0.78125,0.453125,0.7578125
inj-warmup-linear704-r2,64,64,0.703125,0.296875,0.6640625
inj-warmup-linear704-r2,96,64,0.71875,0.21875,0.5703125
inj-warmup-linear704-r2,128,64,0.421875,0.046875,0.328125
inj-warmup-linear704-r2,192,64,0.015625,0.0,0.0546875
inj-warmup-linear704-r2,256,64,0.5,0.125,0.3125
inj-warmup-linear704-r2,384,64,0.03125,0.0,0.1484375
inj-warmup-linear704-r2,512,64,0.03125,0.0,0.1796875
inj-warmup-linear704-r2,704,64,0.03125,0.0,0.046875
inj-warmup-silent32-linear704-r2,0,64,1.0,1.0,1.0
inj-warmup-silent32-linear704-r2,1,64,0.953125,0.921875,0.9609375
inj-warmup-silent32-linear704-r2,2,64,0.890625,0.75,0.90625
inj-warmup-silent32-linear704-r2,4,64,0.921875,0.671875,0.8359375
inj-warmup-silent32-linear704-r2,8,64,0.78125,0.453125,0.78125
inj-warmup-silent32-linear704-r2,16,64,0.671875,0.34375,0.703125
inj-warmup-silent32-linear704-r2,24,64,0.640625,0.3125,0.703125
inj-warmup-silent32-linear704-r2,32,64,0.640625,0.390625,0.734375
inj-warmup-silent32-linear704-r2,48,64,0.796875,0.46875,0.7578125
inj-warmup-silent32-linear704-r2,64,64,0.703125,0.328125,0.671875
inj-warmup-silent32-linear704-r2,96,64,0.71875,0.234375,0.59375
inj-warmup-silent32-linear704-r2,128,64,0.421875,0.046875,0.34375
inj-warmup-silent32-linear704-r2,192,64,0.4375,0.03125,0.265625
inj-warmup-silent32-linear704-r2,256,64,0.5,0.078125,0.2890625
inj-warmup-silent32-linear704-r2,384,64,0.0,0.0,0.1171875
inj-warmup-silent32-linear704-r2,512,64,0.046875,0.015625,0.15625
inj-warmup-silent32-linear704-r2,704,64,0.046875,0.015625,0.203125
