variant,machine,update_softcap,injection_softcap_ratio,warmup_end_optimizer_step,loss_step704,final_valid_loss,final_1024x256_accuracy,log_path,gd_residual_inject_ratio,gd_residual_injection_softcap_hit_ratio,gd_residual_injection_softcap_scale_mean,gd_residual_injection_softcap_scale_min,gd_residual_injection_softcap_scale_p05,gd_residual_injection_softcap_pre_ratio_mean,gd_residual_injection_softcap_pre_ratio_max,gd_residual_injection_softcap_pre_ratio_p95,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_max,gd_residual_update_norm_p95,gd_residual_m_norm_max,gd_residual_lambda_mean
baseline-r2-no-trace,2080ti,,,0,,0.49,0.74,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-baseline-inject-20260703T0812Z/logs/baseline-r2-no-trace.log,0.325,0,,,,,,,0,1,1,1,1.9,0.479,3.53,0.0881
baseline-r2-no-trace,3090,,,0,,0.803,0.46,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-all-20260703T0812Z/logs/baseline-r2-no-trace.log,0.393,0,,,,,,,0,1,1,1,1.66,0.82,4.8,0.0868
inject-softcap0p5-r2,2080ti,,0.5,0,,,0,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-remainder-20260703T0925Z/logs/inject-softcap0p5-r2.log,,0,,,,,,,0,1,1,1,0,0,,
inject-softcap0p5-r2,3090,,0.5,0,,,0,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/inject-softcap0p5-r2.log,,0,,,,,,,0,1,1,1,0,0,,
inject-softcap0p5-linear512-r2,2080ti,,0.5,512,,,0,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/logs/inject-softcap0p5-linear512-r2.log,,0,,,,,,,0,1,1,1,0,0,,
inject-softcap0p5-linear512-r2,3090,,0.5,512,,,0,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/inject-softcap0p5-linear512-r2.log,,0,,,,,,,0,1,1,1,0,0,,
update-softcap0p5-r2,2080ti,0.5,,0,,0.392,0.806,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/logs/update-softcap0p5-r2.log,0.124,0,,,,,,,0.000351,1,0.719,1,0.646,0.0825,3.52,0.11
update-softcap0p5-r2,3090,0.5,,0,,0.796,0.508,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/update-softcap0p5-r2.log,0.481,0,,,,,,,0.0718,0.958,0.152,0.547,3.33,0.935,2.98,0.0993
update-softcap0p5-linear512-r2,2080ti,0.5,,512,,0.24,0.903,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-updatelin-20260703T0932Z/logs/update-softcap0p5-linear512-r2.log,0.254,0,,,,,,,0,1,0.997,1,0.166,0.0136,1.15,0.696
update-softcap0p5-linear512-r2,3090,0.5,,512,,0.476,0.708,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/update-softcap0p5-linear512-r2.log,0.198,0,,,,,,,0.0695,0.955,0.0582,0.596,8.64,0.843,8.06,0.344
