variant,machine,read_topk,update_cap_initial,update_cap_final,injection_softcap_ratio,injection_softcap_mode,warmup_end_optimizer_step,loss_step704,final_valid_loss,final_1024x256_accuracy,log_path,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_injection_softcap_active,gd_residual_injection_softcap_effective_ratio,gd_residual_injection_softcap_mode_safe_smooth_p4,gd_residual_injection_softcap_hit_ratio,gd_residual_injection_softcap_scale_mean,gd_residual_injection_softcap_scale_min,gd_residual_injection_softcap_scale_p05,gd_residual_injection_softcap_pre_ratio_mean,gd_residual_injection_softcap_pre_ratio_min,gd_residual_injection_softcap_pre_ratio_p05,gd_residual_update_norm_cap_active,gd_residual_update_norm_effective_cap,gd_residual_update_norm_cap_hit_ratio,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_mean,gd_residual_update_norm_max,gd_residual_update_norm_p95,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_lambda_mean,gd_residual_remote_read_topk_effective
r2-baseline,2080ti,2,,,,none,0,,0.345,0.849,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-baseline.log,0.153,1,0,0,0,0,,,,,,,0,0,0,0,1,1,1,0.0148,0.894,0.0613,0.0348,4.8,0.223,2
r2-baseline,3090,2,,,,none,0,,0.777,0.48,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r2-baseline.log,0.389,1,0,0,0,0,,,,,,,0,0,0,0,1,1,1,0.108,1.47,0.708,0.19,4.77,0.0826,2
r2-safe-inj-ratio1p0,2080ti,2,,,1.0,safe_smooth_p4,0,,0.711,0.56,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-safe-inj-ratio1p0.log,0.163,1,1,1,1,0.225,0.797,0.384,0.387,7.67,0.000276,0.000734,0,0,0,0,1,1,1,0.0178,1.68,0.0363,0.0233,3.58,0.394,2
r2-safe-inj-ratio1p0,3090,2,,,1.0,safe_smooth_p4,0,,5.1,0.01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r2-safe-inj-ratio1p0.log,0.147,1,1,1,1,0.154,0.911,0.436,0.555,0.466,0.000167,0.000231,0,0,0,0,1,1,1,0.107,2.21,0.535,0.138,4.4,0.235,2
r2-safe-inj-ratio2p0,2080ti,2,,,2.0,safe_smooth_p4,0,,0.56,0.682,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-safe-inj-ratio2p0.log,0.301,1,1,2,1,0.0173,0.991,0.663,0.951,0.347,0.000211,0.000491,0,0,0,0,1,1,1,0.132,3.01,0.554,0.365,6.14,0.108,2
r2-safe-inj-ratio2p0,3090,2,,,2.0,safe_smooth_p4,0,,0.232,0.925,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r2-safe-inj-ratio2p0.log,0.13,1,1,2,1,0.191,0.854,0.395,0.415,3.82,0.000212,0.000504,0,0,0,0,1,1,1,0.00721,0.269,0.0327,0.013,2.55,0.399,2
r2-updatecap-0p5to0p8-linear512,2080ti,2,0.5,0.8,,none,0,,0.889,0.435,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-updatecap-0p5to0p8-linear512.log,0.304,1,0,0,0,0,,,,,,,1,0.8,0,0,1,1,1,0.0456,0.501,0.238,0.0889,2.22,0.0894,2
r2-updatecap-0p5to0p8-linear512,3090,2,0.5,0.8,,none,0,,0.829,0.497,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r2-updatecap-0p5to0p8-linear512.log,0.0552,1,0,0,0,0,,,,,,,1,0.8,0.139,0,1,1,1,0.324,9.04,1.99,0.221,12.7,0.0887,2
r2-updatecap-0p5to1p0-linear512,2080ti,2,0.5,1.0,,none,0,,0.522,0.745,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-updatecap-0p5to1p0-linear512.log,0.319,1,0,0,0,0,,,,,,,1,1,0.0184,0,1,1,1,0.0734,1.98,0.332,0.14,5.03,0.262,2
r2-updatecap-0p5to1p0-linear512,3090,2,0.5,1.0,,none,0,,0.286,0.88,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r2-updatecap-0p5to1p0-linear512.log,0.199,1,0,0,0,0,,,,,,,1,1,0,0,1,1,1,0.00479,0.138,0.0261,0.0153,1.72,0.467,2
