experiment_id,machine,queue,target,variant,variant_kind,variant_description,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,max_epochs,num_codebook_vectors,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,fox_remote_read_topk_release_start_train_steps,fox_remote_read_topk_release_end_train_steps,fox_remote_read_topk_schedule,fox_remote_read_topk_eval_policy,fox_gd_residual_dense_read_chunked,fox_gd_residual_rank,fox_gd_residual_write_topk,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,best_final_1024x256_gap,n_validation_summaries,n_validation_summary_lines,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu0-r2,r2-baseline,r2-baseline,fixed,"default-dropout fixed read_topk=2 baseline, no trace and no limiter",0,completed,2026-07-04T00:22:13+08:00,2026-07-04T01:23:13+08:00,3660.0,61.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r2-baseline-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu0-r2,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r2-baseline-safe-limiter-2080ti-gpu0-r2,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.345,0.971,0.971,0.849,0.849,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-baseline.log,4cbfbad7a5e016d3a0909cded9c21883314729bcebcc91d43c3bd94f9570b9f8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/results/r2-baseline.json,cd1d87f0120b8deee196d29cedd3ae1818d0b76e837ff6e5164c97af57f337f4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/configs/r2-baseline.json,083b8568ad4dde5914569b934c7974bfe43fe0f29230830a378580eece0a6a78,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu0-r2,r2-safe-inj-ratio1p0,r2-safe-inj-ratio1p0,fixed,read_topk=2 with safe residual injection limit ratio=1.0,0,completed,2026-07-04T01:23:26+08:00,2026-07-04T02:35:27+08:00,4321.0,72.01666666666667,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r2-safe-inj-ratio1p0-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu0-r2,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r2-safe-inj-ratio1p0-safe-limiter-2080ti-gpu0-r2,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.711,0.906,0.906,0.56,0.56,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-safe-inj-ratio1p0.log,67709a2a9d4a2d01a002dcb9ba0065250764cc89181845dc2397a7ab3031e1a2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/results/r2-safe-inj-ratio1p0.json,8074a80647b1ab03b4038e16613d5d6662c926af0b02bb7d71bea38ab9a35f7f,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/configs/r2-safe-inj-ratio1p0.json,11d442b9803526be3b3c9bee0758029b2124a714af2e128b9ebb34df5aafb2a2,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu0-r2,r2-safe-inj-ratio2p0,r2-safe-inj-ratio2p0,fixed,read_topk=2 with safe residual injection limit ratio=2.0,0,completed,2026-07-04T02:35:40+08:00,2026-07-04T03:44:40+08:00,4140.0,69.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r2-safe-inj-ratio2p0-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu0-r2,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r2-safe-inj-ratio2p0-safe-limiter-2080ti-gpu0-r2,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.56,0.941,0.941,0.682,0.682,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-safe-inj-ratio2p0.log,3586704920783f2b383414f70a6c1b44439e355d1301b835ef3e1fb9ad4d213a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/results/r2-safe-inj-ratio2p0.json,b81f7e2675dab47332b346d34d7b627b4667e0bc10e0cf3c2c1432ff8eddf9da,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/configs/r2-safe-inj-ratio2p0.json,215eb912070f6cab827b1fffe980052e151a83ee430f26dbd167570426bcda77,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu0-r2,r2-updatecap-0p5to0p8-linear512,r2-updatecap-0p5to0p8-linear512,fixed,read_topk=2 with M_state update_norm hard cap released 0.5->0.8 over 512 optimizer steps,0,completed,2026-07-04T03:44:53+08:00,2026-07-04T05:25:53+08:00,6060.0,101.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r2-updatecap-0p5to0p8-linear512-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu0-r2,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r2-updatecap-0p5to0p8-linear512-safe-limiter-2080ti-gpu0-r2,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.889,0.882,0.882,0.435,0.435,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-updatecap-0p5to0p8-linear512.log,e0e403a8b06329bdfdd7123e91a9ff97e6339df16e1ea83404c480c0a464ae74,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/results/r2-updatecap-0p5to0p8-linear512.json,b2eeacf6375b21956156933b7f2c8454b6cb641b0ca637791b516570a5c1a0c9,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/configs/r2-updatecap-0p5to0p8-linear512.json,90c07ad48c3dc6c03a194d2742fdac3bf83c119f1b9ba41a1195482349ad5cf4,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu0-r2,r2-updatecap-0p5to1p0-linear512,r2-updatecap-0p5to1p0-linear512,fixed,read_topk=2 with M_state update_norm hard cap released 0.5->1.0 over 512 optimizer steps,0,completed,2026-07-04T05:26:06+08:00,2026-07-04T06:49:06+08:00,4980.0,83.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r2-updatecap-0p5to1p0-linear512-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu0-r2,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r2-updatecap-0p5to1p0-linear512-safe-limiter-2080ti-gpu0-r2,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.522,0.957,0.957,0.745,0.745,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/logs/r2-updatecap-0p5to1p0-linear512.log,4efee8595d396109343a9e2b20d238c0608a6098e30938695987b11e75aa9f66,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/results/r2-updatecap-0p5to1p0-linear512.json,0e09411164f52e8599c2112ec2ac15f8c8d3308ec5d30dbe4dba4539f4b2565d,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu0-r2-20260703T162133Z/configs/r2-updatecap-0p5to1p0-linear512.json,c2f509f0e28d618e80beab95dc2a5a368764ef34b5ccc3c3e1dedf282d80058c,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu1-r4,r4-baseline,r4-baseline,fixed,"default-dropout fixed read_topk=4 baseline, no trace and no limiter",1,completed,2026-07-04T00:22:13+08:00,2026-07-04T01:07:13+08:00,2700.0,45.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r4-baseline-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu1-r4,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r4-baseline-safe-limiter-2080ti-gpu1-r4,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,0.467,0.979,0.979,0.894,0.894,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-baseline.log,dafba0b93a6fa2d9ae59ce305f2b306dd10f670770c37d6ccba3fb692b529402,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/results/r4-baseline.json,5a682e5146a7a5c8572fe8f94f2dbb4beaf9cbf4ceda89052c06ff300377e652,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/configs/r4-baseline.json,47cf729913583630d57efb554b54bca74758f9958c1ee2764c090c6da5764678,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu1-r4,r4-safe-inj-ratio1p0,r4-safe-inj-ratio1p0,fixed,read_topk=4 with safe residual injection limit ratio=1.0,1,completed,2026-07-04T01:07:26+08:00,2026-07-04T01:55:26+08:00,2880.0,48.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r4-safe-inj-ratio1p0-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu1-r4,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r4-safe-inj-ratio1p0-safe-limiter-2080ti-gpu1-r4,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,3.23,0.663,0.663,0.11,0.11,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-safe-inj-ratio1p0.log,f72add1edbf43785d49e363d682a9e95fd2b458383132357795465831328f5be,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/results/r4-safe-inj-ratio1p0.json,0b4c40587afcb6c26bb5c807a8ae4b52d09053539df086052a8500a356aa18d9,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/configs/r4-safe-inj-ratio1p0.json,ec00d39026aa909c203c355fd1955b8930f3cc287ac57791edeb4fd636bc640f,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu1-r4,r4-safe-inj-ratio2p0,r4-safe-inj-ratio2p0,fixed,read_topk=4 with safe residual injection limit ratio=2.0,1,completed,2026-07-04T01:55:39+08:00,2026-07-04T02:45:40+08:00,3001.0,50.016666666666666,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r4-safe-inj-ratio2p0-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu1-r4,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r4-safe-inj-ratio2p0-safe-limiter-2080ti-gpu1-r4,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,2.98,0.658,0.658,0.0842,0.0842,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-safe-inj-ratio2p0.log,3c277303a1a200eee5c6b0ea517179e580b1001ba1648f481d41e9f9a439fc01,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/results/r4-safe-inj-ratio2p0.json,d1e654f2d3204b72a2136ef82e109b83333617ba21154bebafc0aaa3e8897e36,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/configs/r4-safe-inj-ratio2p0.json,8d14d2f753252aaa75fb58bb8a3a8ae9c320b0abc67e6354398012476bfbf51c,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu1-r4,r4-updatecap-0p5to0p8-linear512,r4-updatecap-0p5to0p8-linear512,fixed,read_topk=4 with M_state update_norm hard cap released 0.5->0.8 over 512 optimizer steps,1,completed,2026-07-04T02:45:53+08:00,2026-07-04T03:48:53+08:00,3780.0,63.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r4-updatecap-0p5to0p8-linear512-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu1-r4,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r4-updatecap-0p5to0p8-linear512-safe-limiter-2080ti-gpu1-r4,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,4.64,0.473,0.473,0.0167,0.0167,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-updatecap-0p5to0p8-linear512.log,6a881b3b3cb0570504ef0bdc74bac47a1e7322ea3a9f11367e45321cc54c2f4c,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/results/r4-updatecap-0p5to0p8-linear512.json,c190f17e410a869b52c4797d3de0b844af51a6beedd9d51a8aaa657a9fd3ce99,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/configs/r4-updatecap-0p5to0p8-linear512.json,d232b7f933c58ebe4abef01abf4783e42991263db71fd9f9b1601226cfd5e2e1,9776938,94c1591
20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen,2080ti,safe-limiter-2080ti-gpu1-r4,r4-updatecap-0p5to1p0-linear512,r4-updatecap-0p5to1p0-linear512,fixed,read_topk=4 with M_state update_norm hard cap released 0.5->1.0 over 512 optimizer steps,1,completed,2026-07-04T03:49:06+08:00,2026-07-04T04:51:06+08:00,3720.0,62.0,20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-r4-updatecap-0p5to1p0-linear512-s124-d123-b64ga4-2080ti-safe-limiter-2080ti-gpu1-r4,fvqg-20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen-2080ti-r4-updatecap-0p5to1p0-linear512-safe-limiter-2080ti-gpu1-r4,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,4.35,0.498,0.498,0.0252,0.0252,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-updatecap-0p5to1p0-linear512.log,d5ae99b2f31868fb1d2def676c1b5c3c8e4abdc47ab8368774ac65b13b5254e7,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/results/r4-updatecap-0p5to1p0-linear512.json,102de1872822af46b29f59053aba4486a1829a66ff19803aac665119854ac1d5,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/configs/r4-updatecap-0p5to1p0-linear512.json,f838728025788415b7d81349a09f84b9d84f6c2a25b5e662fde676971f6dc293,9776938,94c1591
