target,machines_completed,completed_pair,embed_dropout,read_topk,decision
r2-baseline,"2080ti,3090",True,0.1,2,usable_pair_diagnostic
r2-safe-inj-ratio1p0,"2080ti,3090",True,0.1,2,usable_pair_diagnostic
r2-safe-inj-ratio2p0,"2080ti,3090",True,0.1,2,usable_pair_diagnostic
r2-updatecap-0p5to0p8-linear512,"2080ti,3090",True,0.1,2,usable_pair_diagnostic
r2-updatecap-0p5to1p0-linear512,"2080ti,3090",True,0.1,2,usable_pair_diagnostic
r4-baseline,"2080ti,3090",True,0.1,4,usable_pair_diagnostic
r4-safe-inj-ratio1p0,"2080ti,3090",True,0.1,4,usable_pair_diagnostic
r4-safe-inj-ratio2p0,"2080ti,3090",True,0.1,4,usable_pair_diagnostic
r4-updatecap-0p5to0p8-linear512,"2080ti,3090",True,0.1,4,usable_pair_diagnostic
r4-updatecap-0p5to1p0-linear512,"2080ti,3090",True,0.1,4,usable_pair_diagnostic
