experiment_id,machine,target,queue,wrapper_status,effective_status,execution_caveat,result_json,result_exists,config_json,config_exists,log_path,log_exists,log_done_marker,hash_probe_json,hash_probe_exists,started_at,finished_at,zoology_commit,flash_vqg_commit
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,p0-fixed-r16-repro,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/p0-fixed-r16-repro.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/p0-fixed-r16-repro.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/p0-fixed-r16-repro.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r16-injconf,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r16-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r16-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r16-injconf.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r16-softread-injconf,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread-injconf.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r16-softread,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r16-write-mass-injconf,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r16-write-mass-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r16-write-mass-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r16-write-mass-injconf.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r16-write-mass,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r16-write-mass.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r16-write-mass.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r16-write-mass.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,r2-injconf,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/r2-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/r2-injconf.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/r2-injconf.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,sched16to8-linear512,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/sched16to8-linear512.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/sched16to8-linear512.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/sched16to8-linear512.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,trace-r16-readwrite-256,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/trace-r16-readwrite-256.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r16-readwrite-256.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r16-readwrite-256.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,trace-r2-readwrite-256,unified-2080ti-gpu0-20260705T020000Z,completed,completed,,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/results/trace-r2-readwrite-256.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r2-readwrite-256.json,True,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r2-readwrite-256.log,True,False,,False,2026-07-05T10:11:51+08:00,2026-07-05T11:17:51+08:00,e9f1651,dc558cf
