queue,machine,target,variant,gpu,pid,status,log,config_json,result_json,started_at,finished_at,status_path
unified-2080ti-gpu0,2080ti,p0-fixed-r16-repro,p0-fixed-r16-repro,0,152565,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/p0-fixed-r16-repro.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/p0-fixed-r16-repro.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/p0-fixed-r16-repro.json,2026-07-05T01:47:32+08:00,2026-07-05T02:39:32+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,sched16to8-linear512,sched16to8-linear512,0,152862,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/sched16to8-linear512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/sched16to8-linear512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/sched16to8-linear512.json,2026-07-05T02:39:45+08:00,2026-07-05T03:49:45+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,trace-r2-readwrite-256,trace-r2-readwrite-256,0,153066,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r2-readwrite-256.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r2-readwrite-256.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r2-readwrite-256.json,2026-07-05T03:49:57+08:00,2026-07-05T04:05:57+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,trace-r4-read-256,trace-r4-read-256,0,153209,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r4-read-256.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r4-read-256.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r4-read-256.json,2026-07-05T04:06:10+08:00,2026-07-05T04:22:10+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,trace-r16-readwrite-256,trace-r16-readwrite-256,0,153352,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r16-readwrite-256.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r16-readwrite-256.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r16-readwrite-256.json,2026-07-05T04:22:23+08:00,2026-07-05T04:38:23+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,trace-r64-read-256,trace-r64-read-256,0,153496,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r64-read-256.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r64-read-256.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r64-read-256.json,2026-07-05T04:38:35+08:00,2026-07-05T04:56:35+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,r16-injconf,r16-injconf,0,153640,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-injconf.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-injconf.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-injconf.json,2026-07-05T04:56:48+08:00,2026-07-05T05:56:48+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,r16-softread,r16-softread,0,153832,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread.json,2026-07-05T05:57:01+08:00,2026-07-05T06:49:01+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,r16-softread-injconf,r16-softread-injconf,0,154015,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread-injconf.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread-injconf.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread-injconf.json,2026-07-05T06:49:13+08:00,2026-07-05T07:55:13+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
unified-2080ti-gpu0,2080ti,r2-injconf,r2-injconf,0,154213,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r2-injconf.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r2-injconf.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r2-injconf.json,2026-07-05T07:55:26+08:00,2026-07-05T08:57:26+08:00,zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/formal-20260705T020000Z/unified-2080ti-gpu0-20260705T020000Z/queue-status.tsv
