machine,target,variant,file_count,combined_content_sha256,expected_combined_content_sha256,match_expected,path,sha256,checkpoint,expected_model_state_sha256,embedded_model_state_sha256,actual_model_state_sha256,match_embedded
2080ti,fixed-r16-baseline,fixed-r16-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/cache-hash-fixed-r16-baseline.json,d77346441471c11b8b0aec18ba50d07a6dc7ae5c88eccb0a84bc1c04d9547aa7,,,,,
2080ti,r16-mnorm-cap6,r16-mnorm-cap6,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/cache-hash-r16-mnorm-cap6.json,b805a83f5f787ce8caae25e148ce6411840ecbaea13b3468b7db9e98bbb9d4ca,,,,,
2080ti,r16-update-softcap0p5-injwarm512,r16-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/cache-hash-r16-update-softcap0p5-injwarm512.json,3b8fdfd9fe5065669fee2cdbdb8ec26ec11b6b3d9685f968bec3f673f2baae87,,,,,
2080ti,r16-update-softcap0p5,r16-update-softcap0p5,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/cache-hash-r16-update-softcap0p5.json,fce72b810293a4f8e61e33b4fd89729f020d4d632eaed144eb3d3c1c9b7a902b,,,,,
3090,fixed-r16-baseline,fixed-r16-baseline,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/cache-hash-fixed-r16-baseline.json,837ca48e830e203de937ca397b5ca68d39f1cfa255431086b65966a4922197b7,,,,,
3090,r16-mnorm-cap6,r16-mnorm-cap6,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/cache-hash-r16-mnorm-cap6.json,1b9241b81077bd662185b46faea8bb16cb803bc05b8acc0570630e4f431dc936,,,,,
3090,r16-update-softcap0p5-injwarm512,r16-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/cache-hash-r16-update-softcap0p5-injwarm512.json,8f561e346639e8f0d91c664efe4bf1c3207b8e5bf851fa80adb8eee4bfc3beec,,,,,
3090,r16-update-softcap0p5,r16-update-softcap0p5,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/cache-hash-r16-update-softcap0p5.json,d3892d456c16269e89e11a0221c537562435fa8e2e138d6c3262d3b35dbcd3bd,,,,,
2080ti,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/init-verify.json,effe1ac8d8b5c1a73b1ee7e9c374d41171b350569cda9adac7030cd4539cb39a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-03-flash-vqg-s124-fixed-r4-4ep-confirm/outputs/canonical-init/cb64r16-s124-init.pt,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True
3090,,,,,,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/init-verify.json,639b0bf811bf077499fd25eb13811c3eeec0fb4c35482840ec761e54938556b8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-03-flash-vqg-s124-fixed-r4-4ep-confirm/outputs/canonical-init/cb64r16-s124-init.pt,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True
