machine,target,variant,file_count,combined_content_sha256,expected_combined_content_sha256,match_expected,path,sha256,checkpoint,expected_model_state_sha256,embedded_model_state_sha256,actual_model_state_sha256,match_embedded
2080ti,dgeom-r16-injwarm512-only,dgeom-r16-injwarm512-only,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-dgeom-r16-injwarm512-only.json,3d7f70440500bbee9bd0a1617d76bbf7b532ea823bef2e4eebe3bf0eb41d9275,,,,,
2080ti,dgeom-r16-update-softcap0p5-injwarm512,dgeom-r16-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-dgeom-r16-update-softcap0p5-injwarm512.json,a99ec8d156465b7210bb174fa4d2124273e4987d07e88d1f08c840b2b7a4b587,,,,,
2080ti,dgeom-r4-update-softcap0p5-injwarm512,dgeom-r4-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-dgeom-r4-update-softcap0p5-injwarm512.json,8ab38ffaf3e734d568830b32828d404028ab5d61cdbf759b915759dd43c4abfe,,,,,
2080ti,r16-injwarm512-only,r16-injwarm512-only,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-r16-injwarm512-only.json,4c67ed7059f4e593f6dcd83baf8fdb3a4d77ca1de46318971b24ba9543b3691d,,,,,
2080ti,r16-update-softcap0p5-injwarm512-rerun,r16-update-softcap0p5-injwarm512-rerun,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-r16-update-softcap0p5-injwarm512-rerun.json,985385b991c2952ade49eca3c4b54cd69f6dbcb31b6a40338cee242e3cc81321,,,,,
2080ti,r2-update-softcap0p5-injwarm512,r2-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-r2-update-softcap0p5-injwarm512.json,12c2c916fdf7e928aab1684090d324144e0879cc7c7271b5c0cb4c0bd828813b,,,,,
2080ti,r4-update-softcap0p5-injwarm512,r4-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-r4-update-softcap0p5-injwarm512.json,d3cb6a7f6d70d3736ccc451178638b725294d7b31d6f92206ddba1e643ec1c41,,,,,
2080ti,r8-update-softcap0p5-injwarm512,r8-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/cache-hash-r8-update-softcap0p5-injwarm512.json,47a5ab61a6576e31a0e033b653f10ee8537fd6fe4aeb652cc9a86fcba7cc4b6e,,,,,
3090,dgeom-r16-injwarm512-only,dgeom-r16-injwarm512-only,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/cache-hash-dgeom-r16-injwarm512-only.json,af9a6751bfa5f3677baf12fc47ec204cec17e0d634420e8b8c717734de5e7f94,,,,,
3090,dgeom-r16-update-softcap0p5-injwarm512,dgeom-r16-update-softcap0p5-injwarm512,13,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/cache-hash-dgeom-r16-update-softcap0p5-injwarm512.json,740355bc4d0a8c4051bbcefb7f5350a905675372f895f208135975e790b3637c,,,,,
