variant,machine,optimizer_step,hotspot_metric,rank,metric_value,layer_idx,head_idx,code_idx,num_events_sum,pair_abs_cos_p95_mean,update_norm_p95_mean,condition_number_mean,effective_rank_mean
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,1,0.8280273258686066,1,0,15,1515,0.8280273258686066,0.11329144984483719,11.621458053588867,5.06737790107727
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,2,0.8157401144504547,1,0,0,1102,0.8157401144504547,0.1087575301527977,11.905144691467285,5.181643772125244
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,3,0.8077422559261322,1,1,43,914,0.8077422559261322,0.10520915314555168,10.475599765777588,5.687000894546509
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,4,0.8033573865890503,1,0,7,1216,0.8033573865890503,0.10966103225946426,10.837677097320556,5.484509563446045
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,5,0.801401960849762,1,0,47,1205,0.801401960849762,0.11213120073080063,10.951157474517823,5.780522680282592
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,6,0.7953797101974487,1,0,8,1299,0.7953797101974487,0.10960693508386612,10.205696868896485,6.25978455543518
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,7,0.7884544610977173,1,0,29,1949,0.7884544610977173,0.11578559651970863,8.932204532623292,6.778710412979126
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,8,0.7859595239162445,1,1,19,1863,0.7859595239162445,0.11546898335218429,8.212137937545776,6.907586288452149
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,9,0.7858947217464447,1,0,44,1476,0.7858947217464447,0.11334045380353927,9.804830360412598,6.344926500320435
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,10,0.7833413541316986,1,1,38,1068,0.7833413541316986,0.10746648609638214,9.290939331054688,6.015243721008301
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,11,0.7810713231563569,1,0,25,1223,0.7810713231563569,0.11117964014410972,9.405194807052613,6.752456474304199
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,12,0.7773295700550079,1,1,59,1245,0.7773295700550079,0.10784168392419816,9.193394184112549,6.443432426452636
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,13,0.7770387649536132,1,1,6,1612,0.7770387649536132,0.1099025622010231,8.344457864761353,6.765569829940796
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,14,0.7770153164863587,1,0,19,1324,0.7770153164863587,0.11078960970044135,9.732386016845703,6.560478591918946
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,15,0.774535208940506,1,1,57,1340,0.774535208940506,0.11414547115564347,8.579174995422363,6.767091512680054
dgeom-r16-injwarm512-only,2080ti,0,high_pair_abs_cos_p95,16,0.7737205862998963,1,0,50,1199,0.7737205862998963,0.10878150314092636,9.399583053588866,6.956946134567261
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,1,0.11976725161075592,1,1,30,2102,0.7568175196647644,0.11976725161075592,7.604225492477417,7.334384155273438
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,2,0.11823162958025932,1,0,30,1813,0.7531620860099792,0.11823162958025932,9.299573421478271,6.7616712093353275
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,3,0.11787940934300423,1,0,37,1733,0.6794070243835449,0.11787940934300423,6.44776029586792,9.602091598510743
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,4,0.11756793931126594,1,1,35,1743,0.6656915783882141,0.11756793931126594,5.4702417850494385,10.045594215393066
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,5,0.11721131429076195,1,1,49,1638,0.7068900883197784,0.11721131429076195,6.4624104499816895,8.997624683380128
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,6,0.11688936352729798,1,0,34,1838,0.7442921340465546,0.11688936352729798,7.871369314193726,7.851230621337891
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,7,0.11611764281988143,1,0,41,1752,0.7419792711734772,0.11611764281988143,7.802886056900024,7.729648447036743
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,8,0.11583910882472992,1,0,33,1707,0.7136003196239471,0.11583910882472992,7.458827209472656,8.43281078338623
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,9,0.11578559651970863,1,0,29,1949,0.7884544610977173,0.11578559651970863,8.932204532623292,6.778710412979126
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,10,0.115778648853302,1,1,55,1554,0.6681990921497345,0.115778648853302,5.864020872116089,9.967898941040039
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,11,0.1157379001379013,1,0,48,1431,0.6624584913253784,0.1157379001379013,6.023698902130127,10.325778675079345
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,12,0.11547050029039382,1,0,59,1423,0.7313533127307892,0.11547050029039382,8.573909711837768,7.831509113311768
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,13,0.11546898335218429,1,1,19,1863,0.7859595239162445,0.11546898335218429,8.212137937545776,6.907586288452149
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,14,0.11537592932581901,1,0,23,1721,0.68459153175354,0.11537592932581901,6.231158065795898,9.449288749694825
dgeom-r16-injwarm512-only,2080ti,0,high_update_norm_p95,15,0.11511354446411133,1,1,36,1572,0.6730479776859284,0.11511354446411133,6.03505277633667,10.127110481262207
