variant,machine,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,log_path,gd_residual_remote_read_topk_effective,gd_residual_read_selected_mass_mean,gd_residual_read_entropy_mean,gd_residual_read_margin_top1_top2_mean,gd_residual_update_norm_mean,gd_residual_update_norm_p95,gd_residual_update_norm_max,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_softcap_effective_cap,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_m_norm_cap_hit_ratio,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_write_strength_mean,gd_residual_raw_topk_mass_mean,gd_residual_write_top1_mass_mean,gd_residual_write_q_entropy_mean,gd_residual_write_q_top1_mean,vq_c_entropy,vq_c_usage_max,vq_write_top1_mass_mean,vq_write_entropy_mean
r16-update-softcap0p5-injwarm512-rerun,2080ti,0.236,0.981,0.981,0.901,0.901,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r16-update-softcap0p5-injwarm512-rerun.log,16,0.41,0.54,1.19,0.00715,0.0431,0.146,0,1,0.998,1,0.5,0.0234,1,,0.319,0.235,1,0.00322,0.763,0.825,0.574,0.825,2.05,3.08e+3,0.638,1.81
r8-update-softcap0p5-injwarm512,2080ti,0.21,0.986,0.986,0.93,0.93,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r8-update-softcap0p5-injwarm512.log,8,0.391,0.422,1.98,0.0488,0.256,2.24,0.0184,0.99,0.225,0.982,0.5,0.0811,6.28,,0.166,0.159,1,0.019,0.749,0.869,0.477,0.869,2.02,3.19e+3,0.662,1.78
r4-update-softcap0p5-injwarm512,2080ti,0.504,0.967,0.967,0.837,0.837,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r4-update-softcap0p5-injwarm512.log,4,0.381,0.61,1.14,0.0266,0.128,0.946,0.00216,0.999,0.524,0.998,0.5,0.067,7.06,,0.495,0.232,1,0.00548,0.737,0.817,0.569,0.817,2.11,3.13e+3,0.626,1.88
r2-update-softcap0p5-injwarm512,2080ti,0.295,0.974,0.974,0.859,0.859,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r2-update-softcap0p5-injwarm512.log,2,0.35,0.545,1.12,0.00216,0.0117,0.123,0,1,0.999,1,0.5,0.00763,0.816,,0.62,0.232,1,0.000435,0.763,0.829,0.577,0.829,2.04,3.09e+3,0.641,1.81
r16-injwarm512-only,2080ti,0.176,0.991,0.991,0.956,0.956,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r16-injwarm512-only.log,16,0.424,0.744,0.957,0.0347,0.161,2.33,0,1,1,1,0,0.0266,5.28,,0.543,0.27,1,0.0185,0.747,0.817,0.585,0.817,2.11,3.1e+3,0.627,1.87
dgeom-r16-update-softcap0p5-injwarm512,2080ti,0.246,0.98,0.98,0.895,0.895,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r16-update-softcap0p5-injwarm512.log,16,0.406,0.588,1.21,0.0234,0.127,0.534,0.000135,0.999,0.811,0.999,0.5,0.0743,1.29,,0.255,0.217,1,0.0107,0.765,0.825,0.576,0.825,2.06,3.07e+3,0.639,1.81
dgeom-r16-injwarm512-only,2080ti,0.171,0.991,0.991,0.957,0.957,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r16-injwarm512-only.log,16,0.432,0.631,1.05,0.0789,0.544,4.22,0,1,1,1,0,0.0526,10.7,,0.643,0.255,1,0.0342,0.75,0.811,0.599,0.811,2.11,3.07e+3,0.624,1.87
dgeom-r4-update-softcap0p5-injwarm512,2080ti,0.51,0.964,0.964,0.823,0.823,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r4-update-softcap0p5-injwarm512.log,4,0.375,0.659,1.07,0.0421,0.229,1.47,0.014,0.994,0.342,0.982,0.5,0.0733,10.6,,0.538,0.249,1,0.00852,0.736,0.829,0.551,0.829,2.1,3.16e+3,0.634,1.87
r16-update-softcap0p5-injwarm512-rerun,3090,0.184,0.989,0.989,0.945,0.945,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r16-update-softcap0p5-injwarm512-rerun.log,16,0.413,0.744,0.869,0.151,0.993,7.06,0.0765,0.956,0.071,0.547,0.5,0.0577,12,,0.792,0.237,1,0.0417,0.752,0.83,0.567,0.83,2.11,3.11e+3,0.637,1.84
r8-update-softcap0p5-injwarm512,3090,0.183,0.989,0.989,0.943,0.943,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r8-update-softcap0p5-injwarm512.log,8,0.394,0.875,0.72,0.112,0.457,7.05,0.0482,0.97,0.0712,0.855,0.5,0.0519,11.4,,0.962,0.284,1,0.0226,0.748,0.828,0.57,0.828,2.11,3.12e+3,0.634,1.85
r4-update-softcap0p5-injwarm512,3090,0.165,0.991,0.991,0.955,0.955,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r4-update-softcap0p5-injwarm512.log,4,0.388,0.664,1.21,0.278,1.92,11,0.0989,0.935,0.0457,0.331,0.5,0.0742,13.4,,0.772,0.225,1,0.0679,0.746,0.823,0.58,0.823,2.12,3.1e+3,0.63,1.86
r2-update-softcap0p5-injwarm512,3090,0.491,0.94,0.94,0.696,0.696,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r2-update-softcap0p5-injwarm512.log,2,0.369,0.62,1.33,0.168,0.733,7.6,0.0739,0.955,0.0663,0.66,0.5,0.185,7.35,,0.352,0.24,1,0.0382,0.769,0.886,0.447,0.886,1.98,3.22e+3,0.686,1.71
r16-injwarm512-only,3090,0.309,0.971,0.971,0.841,0.841,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r16-injwarm512-only.log,16,0.427,0.687,1.12,0.0917,0.577,6.6,0,1,1,1,0,0.0598,14.6,,0.817,0.211,1,0.0342,0.758,0.826,0.58,0.826,2.07,3.06e+3,0.635,1.83
dgeom-r16-update-softcap0p5-injwarm512,3090,0.196,0.987,0.987,0.933,0.933,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r16-update-softcap0p5-injwarm512.log,16,0.434,0.649,1.2,0.0542,0.288,3.57,0.0311,0.984,0.141,0.962,0.5,0.0344,8.38,,0.729,0.25,1,0.0182,0.753,0.829,0.57,0.829,2.1,3.1e+3,0.636,1.84
dgeom-r16-injwarm512-only,3090,0.261,0.978,0.978,0.88,0.88,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r16-injwarm512-only.log,16,0.41,0.877,1.09,0.18,1.13,12.3,0,1,1,1,0,0.0888,15.2,,0.777,0.199,1,0.0884,0.758,0.821,0.59,0.821,2.09,3.06e+3,0.632,1.84
dgeom-r4-update-softcap0p5-injwarm512,3090,0.258,0.978,0.978,0.883,0.883,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r4-update-softcap0p5-injwarm512.log,4,0.358,0.828,1.22,0.128,0.922,5.68,0.0794,0.957,0.0887,0.591,0.5,0.0603,13.6,,0.749,0.251,1,0.0262,0.753,0.848,0.532,0.848,2.07,3.15e+3,0.65,1.81
