machine,target,variant,num_batches,sha256,first_16,read_trace_enabled,train_inline_event_trace_enabled,path,file_sha256
2080ti,s123-r16-rep1,s123-r16-rep1,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s123-r16-rep1.json,d54abe4ede221fc08c3e86fc33cbbb298aa93369841ef7c675c1d10bb75828d5
2080ti,s123-r16-rep2,s123-r16-rep2,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s123-r16-rep2.json,b93070e5af8ff14d73dfc4f6251ac47d375eff4eb7187b5cff2455160ff47c76
2080ti,s123-r8-rep1,s123-r8-rep1,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s123-r8-rep1.json,e113728e926d57c319f481a07e999b7b01a3a61f2e24d31a029d0c9a88af64af
2080ti,s123-r8-rep2,s123-r8-rep2,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s123-r8-rep2.json,0e484e48e221fbbc3a1942f81cb7938fd2688ca87ef0af734e6e5ec238fb7e35
2080ti,s124-r16-rep1,s124-r16-rep1,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s124-r16-rep1.json,a29567f4a19a24b01326dd7bcb43d278a7293815d7bf8cdd5d1e15f600e78587
2080ti,s124-r16-rep2,s124-r16-rep2,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s124-r16-rep2.json,381bf86b6d18f22a63ca6b71c38802c874eb1b9ed18a90353488c4c332d17af5
2080ti,s124-r8-rep1,s124-r8-rep1,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s124-r8-rep1.json,314b94dc18ac3e20486af1399524023c0e54d4208b03fbfeac960f562b8d72c5
2080ti,s124-r8-rep2,s124-r8-rep2,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s124-r8-rep2.json,a02a84d07c7a5e3540ff8afdfcdec5a78133d35691087732893658de31a510e5
2080ti,s125-r16-rep1,s125-r16-rep1,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s125-r16-rep1.json,1d6ffb3c1c95901a0b44ab6b81667c17b9b81e718ea1037221bafe66721dace8
2080ti,s125-r16-rep2,s125-r16-rep2,2815,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,False,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/formal-only-20260707T172212Z/fixed-2080ti-gpu1-20260707T172212Z-formal/preflight/batch-order-s125-r16-rep2.json,ad17cd797cb2bdd40bfc8b29db8bd12aac35540211b536bef8bb4e672c2022d0
