training_seed,read_topk,repeat,completed_pair,final_1024x256_2080ti,final_1024x256_3090,gap,gap_percentage_points,passes_pair_screen
123,8,1,True,0.118,0.918,0.8,80.0,False
123,8,2,True,0.713,0.948,0.235,23.5,False
123,16,1,True,0.958,0.924,0.03399999999999992,3.399999999999992,True
123,16,2,True,0.96,0.833,0.127,12.7,False
124,8,1,True,0.899,0.948,0.04899999999999993,4.899999999999993,False
124,8,2,True,0.875,0.941,0.06599999999999995,6.599999999999994,False
124,16,1,True,0.886,0.938,0.051999999999999935,5.199999999999994,False
124,16,2,True,0.896,0.933,0.03700000000000003,3.7000000000000033,True
125,8,1,True,0.96,0.668,0.2919999999999999,29.199999999999992,False
125,8,2,True,0.943,0.71,0.23299999999999998,23.299999999999997,False
125,16,1,True,0.842,0.949,0.10699999999999998,10.7,False
125,16,2,True,0.843,0.962,0.119,11.899999999999999,False
