experiment_id,machine,target,variant,queue,status,result_json,config_json,log_path,started_at,finished_at,zoology_commit,flash_vqg_commit
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s123-r8-rep1,s123-r8-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep1.log,2026-07-08T01:22:48+08:00,2026-07-08T02:50:48+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s123-r8-rep2,s123-r8-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep2.log,2026-07-08T02:51:02+08:00,2026-07-08T04:20:02+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s123-r16-rep1,s123-r16-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep1.log,2026-07-08T04:20:15+08:00,2026-07-08T05:48:16+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s123-r16-rep2,s123-r16-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep2.log,2026-07-08T05:48:29+08:00,2026-07-08T07:35:30+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s124-r8-rep1,s124-r8-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep1.log,2026-07-08T07:35:44+08:00,2026-07-08T09:28:44+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s124-r8-rep2,s124-r8-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep2.log,2026-07-08T09:28:58+08:00,2026-07-08T11:36:58+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s124-r16-rep1,s124-r16-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep1.log,2026-07-08T11:37:12+08:00,2026-07-08T13:37:12+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s124-r16-rep2,s124-r16-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep2.log,2026-07-08T13:37:26+08:00,2026-07-08T15:38:27+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s125-r8-rep1,s125-r8-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep1.log,2026-07-08T15:38:40+08:00,2026-07-08T17:37:41+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s125-r8-rep2,s125-r8-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep2.log,2026-07-08T17:37:54+08:00,2026-07-08T19:41:55+08:00,1d99c8e,0eba390
