experiment_id,machine,gpu,target,training_seed,read_topk,repeat,status,started_at,finished_at,duration_minutes,dtype_policy,log_path,result_json,config_json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s123-r8-rep1,123,8,1,completed,2026-07-08T01:22:48+08:00,2026-07-08T02:50:48+08:00,88.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s123-r8-rep2,123,8,2,completed,2026-07-08T02:51:02+08:00,2026-07-08T04:20:02+08:00,89.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r8-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s123-r16-rep1,123,16,1,completed,2026-07-08T04:20:15+08:00,2026-07-08T05:48:16+08:00,88.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s123-r16-rep2,123,16,2,completed,2026-07-08T05:48:29+08:00,2026-07-08T07:35:30+08:00,107.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s123-r16-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s124-r8-rep1,124,8,1,completed,2026-07-08T07:35:44+08:00,2026-07-08T09:28:44+08:00,113.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s124-r8-rep2,124,8,2,completed,2026-07-08T09:28:58+08:00,2026-07-08T11:36:58+08:00,128.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r8-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s124-r16-rep1,124,16,1,completed,2026-07-08T11:37:12+08:00,2026-07-08T13:37:12+08:00,120.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s124-r16-rep2,124,16,2,completed,2026-07-08T13:37:26+08:00,2026-07-08T15:38:27+08:00,121.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s124-r16-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s125-r8-rep1,125,8,1,completed,2026-07-08T15:38:40+08:00,2026-07-08T17:37:41+08:00,119.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s125-r8-rep2,125,8,2,completed,2026-07-08T17:37:54+08:00,2026-07-08T19:41:55+08:00,124.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r8-rep2.json
