variant,machine,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,log_path,gd_residual_remote_read_topk_effective,gd_residual_read_selected_mass_mean,gd_residual_read_entropy_mean,gd_residual_read_margin_top1_top2_mean,gd_residual_update_norm_mean,gd_residual_update_norm_p95,gd_residual_update_norm_max,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_softcap_effective_cap,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_m_norm_cap_hit_ratio,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_write_strength_mean,gd_residual_raw_topk_mass_mean,gd_residual_write_top1_mass_mean,gd_residual_write_q_entropy_mean,gd_residual_write_q_top1_mean,vq_c_entropy,vq_c_usage_max,vq_write_top1_mass_mean,vq_write_entropy_mean
s123-r8-rep1,2080ti,2,0.73,0.73,0.118,0.118,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep1.log,8,0.409,0.468,1.09,0.168,1,3.96,0.0886,0.949,0.127,0.507,0.5,0.188,3.28,,0.186,0.256,1,0.0485,0.747,0.733,0.77,0.733,2.55,1.99e+3,0.553,2.05
s123-r8-rep2,2080ti,0.661,0.937,0.937,0.713,0.713,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r8-rep2.log,8,0.362,0.844,0.787,0.0553,0.25,1.29,0.0135,0.993,0.392,0.983,0.5,0.151,6.28,,0.246,0.107,1,0.0117,0.757,0.741,0.688,0.741,2.18,2.77e+3,0.577,1.9
s123-r16-rep1,2080ti,0.171,0.991,0.991,0.958,0.958,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep1.log,16,0.353,1.02,0.959,0.00471,0.0217,0.377,1.35e-6,1,0.928,1,0.5,0.016,2.07,,0.763,0.107,1,0.000735,0.747,0.849,0.518,0.849,2.08,3.21e+3,0.652,1.82
s123-r16-rep2,2080ti,0.189,0.993,0.993,0.96,0.96,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s123-r16-rep2.log,16,0.423,0.515,1.24,0.099,0.515,2.99,0.0509,0.97,0.169,0.828,0.5,0.104,3.18,,0.329,0.325,1,0.0336,0.727,0.731,0.816,0.731,2.45,2.36e+3,0.545,2.04
s124-r8-rep1,2080ti,0.236,0.981,0.981,0.899,0.912,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep1.log,8,0.428,0.481,1.24,0.318,2.21,11.5,0.12,0.921,0.0438,0.263,0.5,0.118,13,,0.24,0.117,1,0.078,0.757,0.834,0.562,0.834,2.08,3.11e+3,0.642,1.82
s124-r8-rep2,2080ti,0.282,0.976,0.976,0.875,0.875,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r8-rep2.log,8,0.39,0.419,1.87,0.0726,0.473,1.83,0.047,0.979,0.274,0.857,0.5,0.131,5.69,,0.2,0.201,1,0.0293,0.759,0.859,0.505,0.859,1.98,3.16e+3,0.661,1.75
s124-r16-rep1,2080ti,0.255,0.979,0.979,0.886,0.886,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep1.log,16,0.421,0.659,0.92,0.0584,0.332,3.31,0.0195,0.989,0.153,0.954,0.5,0.0975,6.23,,0.184,0.201,1,0.0285,0.764,0.828,0.57,0.828,2.06,3.07e+3,0.64,1.81
s124-r16-rep2,2080ti,0.239,0.981,0.981,0.896,0.899,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s124-r16-rep2.log,16,0.408,0.527,1.25,0.00772,0.0448,0.161,0,1,0.997,1,0.5,0.0252,0.954,,0.249,0.205,1,0.00331,0.761,0.819,0.585,0.819,2.07,3.05e+3,0.632,1.83
s125-r8-rep1,2080ti,0.154,0.992,0.992,0.96,0.96,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep1.log,8,0.428,0.527,1.33,0.0591,0.385,2.65,0.0291,0.984,0.19,0.921,0.5,0.0372,8.17,,0.422,0.256,1,0.0249,0.733,0.848,0.517,0.848,2.09,3.17e+3,0.641,1.84
s125-r8-rep2,2080ti,0.176,0.989,0.989,0.943,0.943,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r8-rep2.log,8,0.434,0.487,1.36,0.0549,0.345,3.18,0.0312,0.985,0.158,0.942,0.5,0.0381,7.25,,0.326,0.252,1,0.0259,0.741,0.847,0.523,0.847,2.05,3.16e+3,0.644,1.82
