variant,description,run_kind,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_accuracy_2080ti,final_accuracy_3090,loss_2080ti,loss_3090,passes_screen,read_topk,write_topk,update_norm_softcap,update_norm_softcap_mode,m_norm_cap,injection_warmup_start_train_steps,injection_warmup_end_train_steps,warmup_end_optimizer_step,read_selected_mass_2080ti,read_selected_mass_3090,read_selected_mass_abs_diff,read_entropy_2080ti,read_entropy_3090,read_entropy_abs_diff,read_margin_top1_top2_2080ti,read_margin_top1_top2_3090,read_margin_top1_top2_abs_diff,update_norm_mean_2080ti,update_norm_mean_3090,update_norm_mean_abs_diff,update_norm_p95_2080ti,update_norm_p95_3090,update_norm_p95_abs_diff,update_norm_max_2080ti,update_norm_max_3090,update_norm_max_abs_diff,update_softcap_hit_ratio_2080ti,update_softcap_hit_ratio_3090,update_softcap_hit_ratio_abs_diff,update_softcap_scale_mean_2080ti,update_softcap_scale_mean_3090,update_softcap_scale_mean_abs_diff,update_softcap_scale_min_2080ti,update_softcap_scale_min_3090,update_softcap_scale_min_abs_diff,update_softcap_scale_p05_2080ti,update_softcap_scale_p05_3090,update_softcap_scale_p05_abs_diff,m_norm_mean_2080ti,m_norm_mean_3090,m_norm_mean_abs_diff,m_norm_max_2080ti,m_norm_max_3090,m_norm_max_abs_diff,m_norm_cap_hit_ratio_2080ti,m_norm_cap_hit_ratio_3090,m_norm_cap_hit_ratio_abs_diff,lambda_mean_2080ti,lambda_mean_3090,lambda_mean_abs_diff,inject_ratio_2080ti,inject_ratio_3090,inject_ratio_abs_diff,injection_warmup_factor_2080ti,injection_warmup_factor_3090,injection_warmup_factor_abs_diff,write_strength_mean_2080ti,write_strength_mean_3090,write_strength_mean_abs_diff,raw_topk_mass_mean_2080ti,raw_topk_mass_mean_3090,raw_topk_mass_mean_abs_diff,write_top1_mass_mean_2080ti,write_top1_mass_mean_3090,write_top1_mass_mean_abs_diff,vq_entropy_2080ti,vq_entropy_3090,vq_entropy_abs_diff,vq_usage_max_2080ti,vq_usage_max_3090,vq_usage_max_abs_diff
s123-r8-rep1,fixed seed124 init; training_seed=123; read_topk=8; repeat=1; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.118,0.918,0.8,80.0,0.73,0.985,2.0,0.203,False,8,4,0.5,smooth_p4,,0,2048,512,0.409,0.402,0.006999999999999951,0.468,0.729,0.26099999999999995,1.09,0.848,0.2420000000000001,0.168,0.0194,0.1486,1.0,0.0766,0.9234,3.96,1.26,2.7,0.0886,0.0045,0.0841,0.949,0.998,0.049000000000000044,0.127,0.399,0.272,0.507,1.0,0.493,0.188,0.022,0.166,3.28,3.04,0.23999999999999977,,,,0.186,0.132,0.05399999999999999,0.256,0.175,0.08100000000000002,1.0,1.0,0.0,0.0485,0.0141,0.0344,0.747,0.756,0.009000000000000008,0.733,0.833,0.09999999999999998,2.55,2.09,0.45999999999999996,1990.0,3100.0,1110.0
s123-r8-rep2,fixed seed124 init; training_seed=123; read_topk=8; repeat=2; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.713,0.948,0.235,23.5,0.937,0.99,0.661,0.164,False,8,4,0.5,smooth_p4,,0,2048,512,0.362,0.374,0.01200000000000001,0.844,0.65,0.19399999999999995,0.787,1.3,0.513,0.0553,0.00292,0.05238,0.25,0.0171,0.2329,1.29,0.0685,1.2215,0.0135,0.0,0.0135,0.993,1.0,0.007000000000000006,0.392,1.0,0.608,0.983,1.0,0.017000000000000015,0.151,0.0101,0.1409,6.28,0.528,5.752000000000001,,,,0.246,0.211,0.035,0.107,0.179,0.072,1.0,1.0,0.0,0.0117,0.00114,0.01056,0.757,0.756,0.0010000000000000009,0.741,0.822,0.08099999999999996,2.18,2.11,0.07000000000000028,2770.0,3070.0,300.0
s123-r16-rep1,fixed seed124 init; training_seed=123; read_topk=16; repeat=1; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.958,0.924,0.03399999999999992,3.399999999999992,0.991,0.986,0.171,0.208,True,16,4,0.5,smooth_p4,,0,2048,512,0.353,0.396,0.04300000000000004,1.02,0.681,0.33899999999999997,0.959,1.28,0.32100000000000006,0.00471,0.00258,0.00213,0.0217,0.0142,0.0075,0.377,0.107,0.27,1.35e-06,0.0,1.35e-06,1.0,1.0,0.0,0.928,0.999,0.07099999999999995,1.0,1.0,0.0,0.016,0.00973,0.0062699999999999995,2.07,0.843,1.2269999999999999,,,,0.763,0.588,0.17500000000000004,0.107,0.238,0.131,1.0,1.0,0.0,0.000735,0.000512,0.000223,0.747,0.753,0.006000000000000005,0.849,0.831,0.018000000000000016,2.08,2.1,0.020000000000000018,3210.0,3110.0,100.0
s123-r16-rep2,fixed seed124 init; training_seed=123; read_topk=16; repeat=2; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.96,0.833,0.127,12.7,0.993,0.969,0.189,0.331,False,16,4,0.5,smooth_p4,,0,2048,512,0.423,0.413,0.010000000000000009,0.515,0.685,0.17000000000000004,1.24,0.904,0.33599999999999997,0.099,0.105,0.0059999999999999915,0.515,0.625,0.10999999999999999,2.99,3.56,0.5699999999999998,0.0509,0.0626,0.011700000000000002,0.97,0.97,0.0,0.169,0.142,0.027000000000000024,0.828,0.739,0.08899999999999997,0.104,0.165,0.06100000000000001,3.18,8.67,5.49,,,,0.329,0.286,0.04300000000000004,0.325,0.18,0.14500000000000002,1.0,1.0,0.0,0.0336,0.0269,0.006699999999999998,0.727,0.763,0.03600000000000003,0.731,0.867,0.136,2.45,2.02,0.43000000000000016,2360.0,3190.0,830.0
s124-r8-rep1,fixed seed124 init; training_seed=124; read_topk=8; repeat=1; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.899,0.948,0.04899999999999993,4.899999999999993,0.981,0.99,0.236,0.177,False,8,4,0.5,smooth_p4,,0,2048,512,0.428,0.376,0.05199999999999999,0.481,0.606,0.125,1.24,1.18,0.06000000000000005,0.318,0.0103,0.30770000000000003,2.21,0.0294,2.1806,11.5,0.716,10.784,0.12,0.00118,0.11882,0.921,0.999,0.07799999999999996,0.0438,0.665,0.6212000000000001,0.263,1.0,0.737,0.118,0.0241,0.0939,13.0,5.58,7.42,,,,0.24,0.981,0.741,0.117,0.249,0.132,1.0,1.0,0.0,0.078,0.00151,0.07649,0.757,0.748,0.009000000000000008,0.834,0.828,0.006000000000000005,2.08,2.11,0.029999999999999805,3110.0,3120.0,10.0
s124-r8-rep2,fixed seed124 init; training_seed=124; read_topk=8; repeat=2; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.875,0.941,0.06599999999999995,6.599999999999994,0.976,0.989,0.282,0.187,False,8,4,0.5,smooth_p4,,0,2048,512,0.39,0.41,0.019999999999999962,0.419,0.748,0.329,1.87,0.865,1.0050000000000001,0.0726,0.126,0.0534,0.473,0.801,0.32800000000000007,1.83,6.3,4.47,0.047,0.067,0.020000000000000004,0.979,0.962,0.017000000000000015,0.274,0.0797,0.19430000000000003,0.857,0.638,0.21899999999999997,0.131,0.0558,0.0752,5.69,12.1,6.409999999999999,,,,0.2,0.831,0.631,0.201,0.257,0.055999999999999994,1.0,1.0,0.0,0.0293,0.0317,0.0023999999999999994,0.759,0.748,0.01100000000000001,0.859,0.837,0.02200000000000002,1.98,2.1,0.1200000000000001,3160.0,3140.0,20.0
s124-r16-rep1,fixed seed124 init; training_seed=124; read_topk=16; repeat=1; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.886,0.938,0.051999999999999935,5.199999999999994,0.979,0.988,0.255,0.19,False,16,4,0.5,smooth_p4,,0,2048,512,0.421,0.405,0.01599999999999996,0.659,0.803,0.14400000000000002,0.92,0.811,0.10899999999999999,0.0584,0.0925,0.0341,0.332,0.549,0.21700000000000003,3.31,6.15,2.8400000000000003,0.0195,0.0478,0.028300000000000002,0.989,0.974,0.015000000000000013,0.153,0.0817,0.0713,0.954,0.798,0.15599999999999992,0.0975,0.0513,0.046200000000000005,6.23,11.2,4.969999999999999,,,,0.184,0.807,0.623,0.201,0.255,0.05399999999999999,1.0,1.0,0.0,0.0285,0.0262,0.0023,0.764,0.752,0.01200000000000001,0.828,0.828,0.0,2.06,2.11,0.04999999999999982,3070.0,3100.0,30.0
s124-r16-rep2,fixed seed124 init; training_seed=124; read_topk=16; repeat=2; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.896,0.933,0.03700000000000003,3.7000000000000033,0.981,0.987,0.239,0.197,True,16,4,0.5,smooth_p4,,0,2048,512,0.408,0.412,0.0040000000000000036,0.527,0.846,0.31899999999999995,1.25,0.77,0.48,0.00772,0.196,0.18828,0.0448,1.33,1.2852000000000001,0.161,8.14,7.979000000000001,0.0,0.0902,0.0902,1.0,0.946,0.05400000000000005,0.997,0.0616,0.9354,1.0,0.433,0.567,0.0252,0.0615,0.0363,0.954,12.4,11.446,,,,0.249,0.805,0.556,0.205,0.234,0.029000000000000026,1.0,1.0,0.0,0.00331,0.0527,0.049389999999999996,0.761,0.75,0.01100000000000001,0.819,0.825,0.006000000000000005,2.07,2.11,0.040000000000000036,3050.0,3090.0,40.0
s125-r8-rep1,fixed seed124 init; training_seed=125; read_topk=8; repeat=1; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.96,0.668,0.2919999999999999,29.199999999999992,0.992,0.921,0.154,1.05,False,8,4,0.5,smooth_p4,,0,2048,512,0.428,0.353,0.07500000000000001,0.527,0.722,0.19499999999999995,1.33,0.986,0.3440000000000001,0.0591,0.0866,0.027499999999999997,0.385,0.538,0.15300000000000002,2.65,2.75,0.10000000000000009,0.0291,0.0568,0.027700000000000002,0.984,0.974,0.010000000000000009,0.19,0.184,0.006000000000000005,0.921,0.808,0.11299999999999999,0.0372,0.24,0.20279999999999998,8.17,5.02,3.1500000000000004,,,,0.422,0.349,0.07300000000000001,0.256,0.183,0.07300000000000001,1.0,1.0,0.0,0.0249,0.0155,0.009399999999999999,0.733,0.701,0.03200000000000003,0.848,0.774,0.07399999999999995,2.09,2.33,0.2400000000000002,3170.0,2810.0,360.0
s125-r8-rep2,fixed seed124 init; training_seed=125; read_topk=8; repeat=2; update softcap=0.5; injection warmup 0->512 optimizer steps,formal,"2080ti,3090",True,0.943,0.71,0.23299999999999998,23.299999999999997,0.989,0.933,0.176,0.933,False,8,4,0.5,smooth_p4,,0,2048,512,0.434,0.352,0.08200000000000002,0.487,0.753,0.266,1.36,0.989,0.3710000000000001,0.0549,0.0872,0.0323,0.345,0.535,0.19000000000000006,3.18,2.87,0.31000000000000005,0.0312,0.0559,0.0247,0.985,0.974,0.01100000000000001,0.158,0.176,0.017999999999999988,0.942,0.811,0.1309999999999999,0.0381,0.241,0.2029,7.25,5.11,2.1399999999999997,,,,0.326,0.337,0.01100000000000001,0.252,0.172,0.08000000000000002,1.0,1.0,0.0,0.0259,0.0155,0.0104,0.741,0.725,0.016000000000000014,0.847,0.782,0.06499999999999995,2.05,2.23,0.18000000000000016,3160.0,2850.0,310.0
