training_seed,read_topk,machine,completed_repeats,values,repeat_spread,repeat_spread_percentage_points
123,8,2080ti,2,"0.118000,0.713000",0.595,59.5
123,8,3090,2,"0.918000,0.948000",0.029999999999999916,2.9999999999999916
123,16,2080ti,2,"0.958000,0.960000",0.0020000000000000018,0.20000000000000018
123,16,3090,2,"0.924000,0.833000",0.09100000000000008,9.100000000000009
124,8,2080ti,2,"0.899000,0.875000",0.02400000000000002,2.400000000000002
124,8,3090,2,"0.948000,0.941000",0.007000000000000006,0.7000000000000006
124,16,2080ti,2,"0.886000,0.896000",0.010000000000000009,1.0000000000000009
124,16,3090,2,"0.938000,0.933000",0.004999999999999893,0.49999999999998934
125,8,2080ti,2,"0.960000,0.943000",0.017000000000000015,1.7000000000000015
125,8,3090,2,"0.668000,0.710000",0.041999999999999926,4.199999999999992
125,16,2080ti,2,"0.842000,0.843000",0.0010000000000000009,0.10000000000000009
125,16,3090,2,"0.949000,0.962000",0.013000000000000012,1.3000000000000012
