experiment_id,machine,gpu,target,support_variant,training_seed,status,started_at,finished_at,dtype_policy,log_path,result_json,config_json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s125-baseline-r16-joint,baseline-r16-joint,125,completed,2026-07-09T03:54:16+08:00,2026-07-09T05:56:17+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s125-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s125-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s125-baseline-r16-joint.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s125-read-gate-r16,read-gate-r16,125,completed,2026-07-09T05:56:30+08:00,2026-07-09T07:32:31+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s125-read-gate-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s125-read-gate-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s125-read-gate-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s125-read-softmargin-r16,read-softmargin-r16,125,completed,2026-07-09T07:32:44+08:00,2026-07-09T09:40:44+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s125-read-softmargin-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s125-read-softmargin-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s125-read-softmargin-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s125-read-gate-softmargin-r16,read-gate-softmargin-r16,125,completed,2026-07-09T09:40:58+08:00,2026-07-09T11:36:58+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s125-read-gate-softmargin-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s125-read-gate-softmargin-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s125-read-gate-softmargin-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s124-baseline-r16-joint,baseline-r16-joint,124,completed,2026-07-09T11:37:12+08:00,2026-07-09T13:37:13+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s124-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s124-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s124-baseline-r16-joint.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s124-read-gate-r16,read-gate-r16,124,completed,2026-07-09T13:37:26+08:00,2026-07-09T15:13:27+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s124-read-gate-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s124-read-gate-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s124-read-gate-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s124-read-softmargin-r16,read-softmargin-r16,124,completed,2026-07-09T15:13:40+08:00,2026-07-09T16:15:41+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s124-read-softmargin-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s124-read-softmargin-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s124-read-softmargin-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,1,s124-read-gate-softmargin-r16,read-gate-softmargin-r16,124,completed,2026-07-09T16:15:55+08:00,2026-07-09T17:45:55+08:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/logs/s124-read-gate-softmargin-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/results/s124-read-gate-softmargin-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-2080ti-gpu1-20260708T195358Z-formal/configs/s124-read-gate-softmargin-r16.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,0,s125-baseline-r16-joint,baseline-r16-joint,125,completed,2026-07-08T19:54:14+00:00,2026-07-08T21:14:14+00:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/logs/s125-baseline-r16-joint.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/results/s125-baseline-r16-joint.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/configs/s125-baseline-r16-joint.json
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,0,s125-read-gate-r16,read-gate-r16,125,completed,2026-07-08T21:14:26+00:00,2026-07-08T22:32:26+00:00,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/logs/s125-read-gate-r16.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/results/s125-read-gate-r16.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen/outputs/support-3090-gpu0-20260708T195358Z-formal/configs/s125-read-gate-r16.json
