experiment_id,machine,target,training_seed,support_variant,status,final_read_selected_mass_mean,final_read_entropy_mean,final_read_margin_top1_top2_mean,final_update_norm_mean,final_update_norm_p95,final_update_norm_max,final_update_softcap_hit_ratio,final_update_softcap_scale_mean,final_update_softcap_scale_min,final_update_softcap_scale_p05,final_m_norm_mean,final_m_norm_max,final_lambda_mean,final_inject_ratio,final_injection_warmup_factor,final_write_strength_mean,final_raw_topk_mass_mean,final_write_top1_mass_mean,final_vq_entropy,final_vq_usage_max,final_read_confidence_gate_mean,final_read_softmargin_tau_mean,final_remote_read_topk_effective
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s125-baseline-r16-joint,125,baseline-r16-joint,completed,0.432,0.563,1.02,0.0381,0.247,1.82,0.0155,0.993,0.277,0.983,0.034,7.42,0.33,0.222,1.0,0.0155,0.746,0.637,2.06,3110.0,,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s125-read-gate-r16,125,read-gate-r16,completed,0.44,0.642,0.961,0.385,2.78,14.3,0.113,0.918,0.035,0.227,0.0923,14.7,0.471,0.179,1.0,0.0704,0.749,0.66,2.03,3230.0,0.613,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s125-read-softmargin-r16,125,read-softmargin-r16,completed,0.451,0.447,1.5,0.13,0.742,5.66,0.0775,0.962,0.0895,0.659,0.194,11.5,0.286,0.186,1.0,0.035,0.751,0.648,2.05,3130.0,,2.37,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s125-read-gate-softmargin-r16,125,read-gate-softmargin-r16,completed,0.444,0.529,1.43,0.0703,0.348,3.28,0.0381,0.98,0.156,0.942,0.204,3.31,0.429,0.145,1.0,0.0143,0.749,0.662,2.06,3220.0,0.644,2.42,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s124-baseline-r16-joint,124,baseline-r16-joint,completed,0.403,0.566,1.29,0.0101,0.0605,0.202,0.0,1.0,0.993,1.0,0.0339,1.16,0.354,0.263,1.0,0.00479,0.763,0.638,2.06,3070.0,,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s124-read-gate-r16,124,read-gate-r16,completed,0.403,0.585,1.04,0.00384,0.0176,0.168,0.0,1.0,0.997,1.0,0.0131,1.61,0.608,0.239,1.0,0.000852,0.751,0.635,2.1,3130.0,0.649,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s124-read-softmargin-r16,124,read-softmargin-r16,completed,0.399,0.531,1.23,0.0885,0.529,3.14,0.0538,0.973,0.161,0.816,0.226,5.56,0.271,0.166,1.0,0.0163,0.724,0.601,2.25,2900.0,,2.49,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,2080ti,s124-read-gate-softmargin-r16,124,read-gate-softmargin-r16,completed,0.389,0.581,1.54,0.0147,0.0597,0.768,0.00213,0.999,0.628,1.0,0.035,5.17,0.398,0.182,1.0,0.00328,0.749,0.637,2.1,3160.0,0.646,2.42,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s125-baseline-r16-joint,125,baseline-r16-joint,completed,0.39,0.714,1.15,0.0024,0.0126,0.103,0.0,1.0,1.0,1.0,0.00889,0.845,0.443,0.229,1.0,0.000667,0.757,0.624,2.12,3040.0,,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s125-read-gate-r16,125,read-gate-r16,completed,0.401,0.696,1.11,0.003,0.0132,0.158,0.0,1.0,0.997,1.0,0.0109,1.39,0.832,0.267,1.0,0.000622,0.754,0.632,2.11,3100.0,0.62,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s125-read-softmargin-r16,125,read-softmargin-r16,completed,0.395,0.698,1.18,0.00661,0.0391,0.133,0.0,1.0,0.999,1.0,0.0249,1.02,0.26,0.224,1.0,0.00276,0.764,0.631,2.09,3050.0,,2.52,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s125-read-gate-softmargin-r16,125,read-gate-softmargin-r16,completed,0.414,0.664,1.14,0.0627,0.346,1.59,0.023,0.989,0.32,0.945,0.186,3.45,0.38,0.251,1.0,0.0163,0.753,0.592,2.17,2940.0,0.616,2.54,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s124-baseline-r16-joint,124,baseline-r16-joint,completed,0.395,0.554,1.39,0.0102,0.0603,0.555,9.1e-05,1.0,0.795,1.0,0.0233,5.97,0.872,0.204,1.0,0.00151,0.752,0.632,2.11,3090.0,,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s124-read-gate-r16,124,read-gate-r16,completed,0.413,0.757,0.684,0.0582,0.219,3.8,0.0401,0.981,0.132,0.972,0.0315,7.07,0.776,0.224,1.0,0.0198,0.755,0.649,2.07,3150.0,0.537,,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s124-read-softmargin-r16,124,read-softmargin-r16,completed,0.397,0.515,1.46,0.00614,0.0242,0.346,3.03e-08,1.0,0.948,1.0,0.0178,3.16,0.876,0.276,1.0,0.00111,0.756,0.636,2.1,3110.0,,2.38,16.0
20260709-01-flash-vqg-default-dropout-r16-support-confidence-screen,3090,s124-read-gate-softmargin-r16,124,read-gate-softmargin-r16,completed,0.414,0.802,0.704,0.0229,0.0786,1.61,0.0112,0.995,0.312,1.0,0.031,7.2,0.836,0.259,1.0,0.00553,0.753,0.634,2.11,3110.0,0.543,2.83,16.0
