machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source,repeat_count,repeat_ids,sources
2080ti,final,flash,eval,1,core,5,10,79.76426545064896,80.53751152474433,79.57939261943102,74.43979263305664,,,2.670896053314209,2.2530559301376343,,0.000346451997756958,,0.0,1,16384,205405.26396669398,,1095572992,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r1/summary.json,,,
2080ti,final,flash,eval,2,core,5,10,77.47371203731745,78.00011150538921,77.26377820968628,72.15715408325195,,,2.694831967353821,2.253983974456787,,0.00035960692912340164,,0.0,1,16384,211478.18491139513,,1095572992,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r2/summary.json,,,
2080ti,final,flash,eval,3,core,5,10,77.81784550752491,78.32625817973167,77.63803469389677,72.52649688720703,,,2.7017600536346436,2.252959966659546,,0.00040302984416484833,,0.0,1,16384,210542.96598863925,,1095572992,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-eval-core-r3/summary.json,,,
2080ti,final,flash,train,1,core,5,10,870.0946185272187,887.8440822707489,868.8086651037447,121.99697589874268,724.8286972045898,0.6129920184612274,11.235583901405334,9.126767873764038,,0.0003080349415540695,0.0,0.0,4,65536,75320.54400121528,217.37040662718937,3276562432,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r1/summary.json,,,
2080ti,final,flash,train,2,core,5,10,900.4478850401938,909.8429343197495,899.2164448010735,124.4626874923706,750.7519989013672,0.6309919953346252,12.014671921730042,9.136800050735474,,0.000316067598760128,0.0,0.0,4,65536,72781.55803217266,224.9542232612148,3276562432,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r2/summary.json,,,
2080ti,final,flash,train,3,core,5,10,916.1743585718796,920.3710426576436,914.9041183250956,130.69836807250977,761.8246765136719,0.6123040020465851,12.604015827178955,9.151471853256226,,0.00028102658689022064,0.0,0.0,4,65536,71532.23552573186,228.89051364245825,3276562432,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-current/flash-train-core-r3/summary.json,,,
2080ti,final,gdn,eval,1,core,5,10,41.0954540129751,41.51551350951195,40.918416015803814,35.403696060180664,,,3.09660804271698,2.249247908592224,,0.0002474989742040634,,0.0,1,16384,398681.56693991186,,1096258560,2034237440,1335942,131072,,,True,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-eval-core-r1/summary.json,,,
2080ti,final,gdn,eval,2,core,5,10,41.84784647077322,42.44034690782428,41.6812646985054,35.95057678222656,,,3.2838239669799805,2.252400040626526,,0.0002575106918811798,,0.0,1,16384,391513.57552993036,,1096258560,2034237440,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-eval-core-r2/summary.json,,,
2080ti,final,gdn,eval,3,core,5,10,41.29748966079205,41.469452856108546,41.1316484734416,35.57566452026367,,,3.154927968978882,2.249135971069336,,0.0002534361556172371,,0.0,1,16384,396731.13631299033,,1096258560,2034237440,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/gdn-eval-core-r3/summary.json,,,
2080ti,final,gdn,train,1,core,5,10,591.2845279090106,592.376655084081,590.4850685060956,146.26387214660645,419.54562759399414,0.5773279964923859,13.792335987091064,9.182767987251282,,0.00024051405489444733,0.0,0.0,4,65536,110836.65630784941,147.67679997812957,2013742080,2617245696,1335942,131072,,,True,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/baseline/gdn-train-core-r1/summary.json,,,
