machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source,repeat_count,repeat_ids,sources
2080ti,formal-final,flash,eval,1,formal,5,10,107.46146447490901,109.11272082012147,107.06860842555761,101.02134704589844,,,2.7062400579452515,2.25271999835968,0.9332799911499023,5.776599515229464,,206.0,1,16384,152463.95608004645,,1095626240,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r1/summary.json,,,
2080ti,formal-final,flash,eval,2,formal,5,10,108.58371295034885,109.05546471476555,108.18292720615864,102.09323120117188,,,2.7350080013275146,2.251536011695862,0.9324159920215607,5.791968898847699,,206.0,1,16384,150888.19082371748,,1095626240,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r2/summary.json,,,
2080ti,formal-final,flash,eval,3,formal,5,10,108.9115085778758,109.07899509184062,108.49705789238214,102.40995407104492,,,2.7133920192718506,2.2527999877929688,0.9332639873027802,5.787055124528706,,206.0,1,16384,150434.05617951596,,1095626240,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-eval-formal-r3/summary.json,,,
2080ti,formal-final,flash,train,1,formal,5,10,981.4499104395509,987.7985541475937,979.1266181478277,178.1282081604004,777.282600402832,0.5800639986991882,13.244368076324463,9.163424015045166,,1.1236725840717554,0.07336202543228865,206.0,4,65536,66774.67622433134,245.21746161021292,3276617216,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r1/summary.json,,,
2080ti,formal-final,flash,train,2,formal,5,10,984.9857359658927,992.977359588258,982.6537157348357,180.78582572937012,778.8426284790039,0.5821120142936707,13.147040128707886,9.163903951644897,,1.0805790079757571,0.07561850361526012,206.0,4,65536,66534.97366206461,246.10090598789975,3276617216,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r2/summary.json,,,
2080ti,formal-final,flash,train,3,formal,5,10,988.6511566583067,997.9675721609965,986.3526269667782,183.2373104095459,779.3452835083008,0.5682400166988373,13.069935917854309,9.160784125328064,,1.1074075009673834,0.07816893048584461,206.0,4,65536,66288.29548079947,247.02072916040197,3276617216,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/flash-train-formal-r3/summary.json,,,
2080ti,formal-final,gdn,eval,1,formal,5,10,42.984786443412304,43.10130572412163,42.804558172822,36.1193904876709,,,3.3342241048812866,2.2537920475006104,0.9382559955120087,0.05318666808307171,,0.0,1,16384,381158.11094162025,,1096258560,2034237440,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r1/summary.json,,,
2080ti,formal-final,gdn,eval,2,formal,5,10,43.56378398369998,43.74341864604503,43.38465604931116,36.52833557128906,,,3.4518240690231323,2.2544480562210083,0.9401119947433472,0.0540164764970541,,0.0,1,16384,376092.21471969265,,1096258560,2034237440,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r2/summary.json,,,
2080ti,formal-final,gdn,eval,3,formal,5,10,43.25226112268865,44.09090019762516,43.07590502500534,36.34603309631348,,,3.3966718912124634,2.254047989845276,0.9412319958209991,0.052361516281962395,,0.0,1,16384,378801.00542085915,,1096258560,2034237440,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-eval-formal-r3/summary.json,,,
2080ti,formal-final,gdn,train,1,formal,5,10,606.8361354991794,611.0138728749007,605.8115732432343,148.44680213928223,432.1681938171387,0.5619679987430573,14.418544054031372,9.196271896362305,,0.08192856330424547,0.07921503856778145,0.0,4,65536,107996.20550956565,151.56854187510908,2013743616,2617245696,1335942,131072,torch,materialized,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final-formal-current/gdn-train-formal-r1/summary.json,,,
