machine,stage,model,phase,repeat_id,metrics_mode,warmup,active,wall_p50_ms,wall_p90_ms,cuda_p50_ms,backbone_p50_ms,backward_p50_ms,optimizer_step_p50_ms,lm_head_p50_ms,cross_entropy_p50_ms,argmax_p50_ms,metrics_wall_p50_ms,loss_sync_wall_p50_ms,metric_count,gradient_accumulation_steps,tokens_per_timed_unit,tokens_per_second,microbatch_equivalent_wall_ms,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters,active_state_capacity,grouped_chunk_backend,selected_read_backend,frozen_gdn_reused,source
2080ti,final-core,flash,eval,1,core,5,10,79.43226699717343,79.9832585034892,79.25539541244507,74.13043212890625,,,2.73743999004364,2.251408100128174,,0.0003344612196087837,,0.0,1,16384,206263.78447165582,,1095573504,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/flash-eval-core-r1/summary.json
2080ti,final-formal,flash,eval,1,formal,5,10,111.89189448487014,112.26846037898213,108.62760321050882,102.55267333984375,,,2.7027679681777954,2.25275194644928,0.9329439997673035,8.557445020414889,,206.0,1,16384,146427.049746802,,1095626752,2061500416,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/flash-eval-formal-r1/summary.json
2080ti,final-core,flash,train,1,core,5,10,856.7920001223683,867.8630088455975,855.5435623005033,120.56628799438477,713.3811950683594,0.5976479947566986,11.165151953697205,9.128911852836609,,0.0002450542524456978,0.0,0.0,4,65536,76489.97655281567,214.0485880319029,3276562944,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/flash-train-core-r1/summary.json
2080ti,final-formal,flash,train,1,formal,5,10,951.1767254443839,959.0263644466177,946.5844978522509,178.0724334716797,742.8021774291992,0.5810720026493073,11.868959903717041,9.135487914085388,3.7407840192317963,3.261842066422105,0.16164896078407764,206.0,4,65536,68899.91969618683,237.64891336043365,3276616704,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/final/flash-train-formal-r1/summary.json
3090,final-core,flash,eval,1,core,5,10,53.67444269359112,54.406845569610596,53.53520043566823,50.15286445617676,,,1.745919942855835,1.5400960445404053,,0.00019511207938194275,,0.0,1,16384,305247.6966278086,,1095573504,2055208960,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final/flash-eval-core-r1/summary.json
3090,final-formal,flash,eval,1,formal,5,10,77.44841324165463,80.9648104943335,75.2920005209744,71.26160049438477,,,1.7679359912872314,1.5416319966316223,0.6144000291824341,5.596080329269171,,206.0,1,16384,211547.26500178414,,1095626752,2059403264,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final/flash-eval-formal-r1/summary.json
3090,final-core,flash,train,1,core,5,10,642.651489470154,649.1078640334308,641.592015940696,82.06752014160156,544.4616088867188,0.49459201097488403,7.076496005058289,6.302847921848297,,0.00024959444999694824,0.0,0.0,4,65536,101977.51203227176,160.5392243647948,3276248064,3674210304,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final/flash-train-core-r1/summary.json
3090,final-formal,flash,train,1,formal,5,10,684.7929465584457,694.1964856348932,681.3545921556652,119.41529560089111,544.0195617675781,0.4960160106420517,7.143936038017273,6.304367899894714,2.455552101135254,2.136127557605505,0.16785506159067154,206.0,4,65536,95701.92030943566,171.0742326369509,3276301824,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/3090/final/flash-train-formal-r1/summary.json
2080ti,p0-legacy,flash,train,1,formal,5,10,941.0075548803434,952.9131267918274,938.5843230718747,172.23206329345703,739.6601638793945,0.5898559987545013,11.647855877876282,9.136144042015076,3.7414239943027496,1.1058279778808355,0.15327648725360632,206.0,4,65536,69644.49930301933,235.10442472039722,3276616704,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/p0/flash-train-formal-legacy-r1/summary.json
2080ti,p0-optimized,flash,train,1,formal,5,10,909.6809689654037,916.1102316342294,907.4034823649563,172.0237274169922,713.8246841430664,0.5847679972648621,11.07964813709259,9.133904099464417,,1.09712197445333,0.073940958827734,206.0,4,65536,72042.83945231399,227.27405024203472,3276617728,3688890368,1160390,131072,triton,triton_remat,False,zoology/experiments/flash_vqg/scripts/20260724-01-flash-vqg-gd-residual-efficiency/outputs/2080ti/p0/flash-train-formal-optimized-r1/summary.json
