machine,fla_variant,fla_version,phase,success,error,elapsed_seconds,peak_allocated_bytes,peak_reserved_bytes,gpu_shared_memory_per_block,gpu_shared_memory_per_block_optin,batch_shape,canonical_paired_matrix,scope,source
2080ti,v042,0.4.2,eval,True,,129.31070418702438,769757184,1497366528,49152,65536,"[16, 1024]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/cold-compile-20260724T1600Z/v042-eval/compatibility.json
2080ti,v042,0.4.2,train,True,,305.8722843590658,2526058496,3149922304,49152,65536,"[64, 256]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/cold-compile-20260724T1600Z/v042-train/compatibility.json
2080ti,v050,0.5.0,eval,True,,92.57182521698996,769757184,1497366528,49152,65536,"[16, 1024]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/cold-compile-20260724T1600Z/v050-eval/compatibility.json
2080ti,v050,0.5.0,train,True,,256.64489004807547,2526058496,3149922304,49152,65536,"[64, 256]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/cold-compile-20260724T1600Z/v050-train/compatibility.json
2080ti,v042,0.4.2,eval,True,,14.150391034083441,769757184,1497366528,,,"[16, 1024]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/paired-benchmark/v042/gdn-eval-compatibility.json
2080ti,v042,0.4.2,train,True,,62.46892907517031,2526058496,3149922304,,,"[64, 256]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/paired-benchmark/v042/gdn-train-compatibility.json
2080ti,v050,0.5.0,eval,True,,10.457787964027375,769757184,1497366528,49152,65536,"[16, 1024]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/paired-benchmark/v050/gdn-eval-compatibility.json
2080ti,v050,0.5.0,train,True,,68.48314648587257,2526058496,3149922304,49152,65536,"[64, 256]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/paired-benchmark/v050/gdn-train-compatibility.json
3090,v042,0.4.2,eval,True,,179.79789754003286,769757184,1497366528,49152,101376,"[16, 1024]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/cold-compile-20260724T1600Z/v042-eval/compatibility.json
3090,v042,0.4.2,train,True,,464.40084304846823,2526058496,3149922304,49152,101376,"[64, 256]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/cold-compile-20260724T1600Z/v042-train/compatibility.json
3090,v050,0.5.0,eval,True,,136.08943987172097,769757184,1497366528,49152,101376,"[16, 1024]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/cold-compile-20260724T1600Z/v050-eval/compatibility.json
3090,v050,0.5.0,train,True,,420.3790351562202,2526058496,3149922304,49152,101376,"[64, 256]",False,cold-empty-cache,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/cold-compile-20260724T1600Z/v050-train/compatibility.json
3090,v042,0.4.2,eval,True,,13.124420490115881,769757184,1497366528,,,"[16, 1024]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/paired-benchmark/v042/gdn-eval-compatibility.json
3090,v042,0.4.2,train,True,,23.97413559537381,2526058496,3149922304,,,"[64, 256]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/paired-benchmark/v042/gdn-train-compatibility.json
3090,v050,0.5.0,eval,True,,9.90906229428947,769757184,1497366528,49152,101376,"[16, 1024]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/paired-benchmark/v050/gdn-eval-compatibility.json
3090,v050,0.5.0,train,True,,21.43375986535102,2526058496,3149922304,49152,101376,"[64, 256]",True,paired-production,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/paired-benchmark/v050/gdn-train-compatibility.json
3090,v042,0.4.2,eval,True,,172.15235712751746,769757184,1497366528,,,"[16, 1024]",False,standalone,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/v042/gdn-eval-compatibility.json
3090,v042,0.4.2,train,True,,290.8813016945496,2526058496,3149922304,,,"[64, 256]",False,standalone,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/v042/gdn-train-compatibility.json
3090,v050,0.5.0,eval,True,,132.19852975010872,769757184,1497366528,49152,101376,"[16, 1024]",False,standalone,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/v050/gdn-eval-compatibility-v2.json
3090,v050,0.5.0,eval,False,"DeprecationWarning: head_first has been removed. Inputs must be in `[B, T, H, ...]` format.",4.556174549274147,391614464,423624704,49152,101376,"[16, 1024]",False,standalone,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/v050/gdn-eval-compatibility.json
3090,v050,0.5.0,train,True,,271.4867640985176,2526058496,3149922304,49152,101376,"[64, 256]",False,standalone,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/v050/gdn-train-compatibility-v2.json
