machine,accuracy_delta_abs,dataset_hash_match,passed,status,unique_source_id
2080ti,0.0,True,True,completed,flash-04f7ede029aecba3
2080ti,0.0,True,True,completed,flash-1e81fb42d69fe7da
2080ti,0.0,True,True,completed,flash-2b99ca677e62d22e
2080ti,0.0,True,True,completed,flash-a20416e8b550e3a7
2080ti,0.0,True,True,completed,gdn-c21cb50d4f9001c6
2080ti,0.0,True,True,completed,gdn-ce5133589a6175ef
2080ti,0.0,True,True,completed,gdn-3a63310d1b425213
3090,0.0,True,True,completed,flash-f26cdde48c0d1183
3090,0.0,True,True,completed,flash-a4624f1ef83ab4ff
3090,0.0,True,True,completed,flash-730bf7c6f75c32b7
3090,0.0,True,True,completed,gdn-2f991584dc5e8f77
3090,0.0,True,True,completed,gdn-b7a30c8c6f52e0ff
3090,0.0,True,True,completed,gdn-7599b80c8550560a
