machine,gpu_label,model,config,checkpoint_role,slice,mean,population_std,n,seeds,accuracy_seed123,accuracy_seed124,accuracy_seed125,active_state_capacity,num_examples,dtype_policy
2080ti,2080 Ti,flash,Flash baseline-r16-joint,best,1024x256,0.9560755208333335,0.02388729021898626,3,"123,124,125",0.97440625,0.9223359375,0.971484375,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,flash,Flash baseline-r16-joint,best,2048x512,0.7318684895833333,0.12195286826715539,3,"123,124,125",0.8271640625,0.55973046875,0.8087109375,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,flash,Flash baseline-r16-joint,best,4096x1024,0.3422493489583333,0.14199125295511938,3,"123,124,125",0.45906640625,0.142392578125,0.4252890625,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,flash,Flash baseline-r16-joint,best,8190x512,0.5785169270833334,0.16954013376581265,3,"123,124,125",0.71426171875,0.339484375,0.6818046875,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,flash,Flash baseline-r16-joint,best,8190x2047,0.10069434945448619,0.061380894721380114,3,"123,124,125",0.1515896433805569,0.0143478260869565,0.1361455788959452,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,gdn,GDN h2-ek4-ev4,best,1024x256,0.9685182291666669,0.0018894875768184934,3,"123,124,125",0.967875,0.96659375,0.9710859375,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,gdn,GDN h2-ek4-ev4,best,2048x512,0.4761106770833334,0.0047794553980458595,3,"123,124,125",0.48097265625,0.46961328125,0.47774609375,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,gdn,GDN h2-ek4-ev4,best,4096x1024,0.07272200520833334,0.00268613006609655,3,"123,124,125",0.075884765625,0.072962890625,0.069318359375,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,gdn,GDN h2-ek4-ev4,best,8190x512,0.29357812499999997,0.0018057637934137997,3,"123,124,125",0.2957578125,0.2913359375,0.293640625,131072,500,float32_ieee_tf32_off
2080ti,2080 Ti,gdn,GDN h2-ek4-ev4,best,8190x2047,0.0033779514737012997,0.00021474184852416218,3,"123,124,125",0.0036687835857352,0.0033082559843673,0.0031568148510014,131072,500,float32_ieee_tf32_off
3090,3090,flash,Flash baseline-r16-joint,best,1024x256,0.9644218749999999,0.009992803400030779,3,"123,124,125",0.953484375,0.962140625,0.977640625,131072,500,float32_ieee_tf32_off
3090,3090,flash,Flash baseline-r16-joint,best,2048x512,0.7906432291666667,0.03799456859834278,3,"123,124,125",0.75187109375,0.7778125,0.84224609375,131072,500,float32_ieee_tf32_off
3090,3090,flash,Flash baseline-r16-joint,best,4096x1024,0.42009570312499994,0.0502915105219421,3,"123,124,125",0.37965625,0.389646484375,0.490984375,131072,500,float32_ieee_tf32_off
3090,3090,flash,Flash baseline-r16-joint,best,8190x512,0.65996484375,0.043513400531302156,3,"123,124,125",0.62615625,0.63233984375,0.7213984375,131072,500,float32_ieee_tf32_off
3090,3090,flash,Flash baseline-r16-joint,best,8190x2047,0.1394053085816642,0.02478595790444921,3,"123,124,125",0.1239794821690278,0.1198593063019052,0.1743771372740596,131072,500,float32_ieee_tf32_off
3090,3090,gdn,GDN h2-ek4-ev4,best,1024x256,0.9687369791666667,0.001358601512061696,3,"123,124,125",0.97,0.9668515625,0.969359375,131072,500,float32_ieee_tf32_off
3090,3090,gdn,GDN h2-ek4-ev4,best,2048x512,0.47885807291666665,0.003639989736540204,3,"123,124,125",0.47810546875,0.47482421875,0.48364453125,131072,500,float32_ieee_tf32_off
3090,3090,gdn,GDN h2-ek4-ev4,best,4096x1024,0.075021484375,0.001106055222082912,3,"123,124,125",0.073572265625,0.075236328125,0.076255859375,131072,500,float32_ieee_tf32_off
3090,3090,gdn,GDN h2-ek4-ev4,best,8190x512,0.29856510416666665,0.004394326191203414,3,"123,124,125",0.295875,0.29505859375,0.30476171875,131072,500,float32_ieee_tf32_off
3090,3090,gdn,GDN h2-ek4-ev4,best,8190x2047,0.003613418010096033,6.698404172640141e-05,3,"123,124,125",0.0035251587689301,0.0036277479237909,0.0036873473375671,131072,500,float32_ieee_tf32_off
