machine,checkpoint_role,slice,flash_accuracy_s123,gdn_accuracy_s123,paired_delta_s123,flash_accuracy_s124,gdn_accuracy_s124,paired_delta_s124,flash_accuracy_s125,gdn_accuracy_s125,paired_delta_s125,mean_paired_delta,positive_seed_count,classification
2080ti,last,1024x256,0.97440625,0.967875,0.0065312499999999885,0.914328125,0.96659375,-0.05226562499999998,0.971484375,0.9710859375,0.0003984374999999041,-0.015111979166666697,2,不支持Flash领先
2080ti,last,2048x512,0.8271640625,0.48097265625,0.34619140624999994,0.4763984375,0.46961328125,0.00678515624999998,0.8087109375,0.47774609375,0.33096484375,0.22798046875,3,稳健领先
2080ti,last,4096x1024,0.45906640625,0.075884765625,0.383181640625,0.092451171875,0.072962890625,0.019488281250000003,0.4252890625,0.069318359375,0.355970703125,0.2528802083333333,3,稳健领先
2080ti,last,8190x512,0.71426171875,0.2957578125,0.41850390625,0.2731953125,0.2913359375,-0.018140624999999966,0.6818046875,0.293640625,0.3881640625,0.26284244791666667,2,混合领先
2080ti,last,8190x2047,0.15158964338055692,0.003668783585735222,0.1479208597948217,0.0055857352222765016,0.0033082559843673667,0.002277479237909135,0.13614557889594528,0.0031568148510014655,0.1329887640449438,0.09439570102589155,3,稳健领先
2080ti,best,1024x256,0.97440625,0.967875,0.0065312499999999885,0.9223359375,0.96659375,-0.04425781250000005,0.971484375,0.9710859375,0.0003984374999999041,-0.012442708333333385,2,不支持Flash领先
2080ti,best,2048x512,0.8271640625,0.48097265625,0.34619140624999994,0.55973046875,0.46961328125,0.09011718749999997,0.8087109375,0.47774609375,0.33096484375,0.25575781249999996,3,稳健领先
2080ti,best,4096x1024,0.45906640625,0.075884765625,0.383181640625,0.142392578125,0.072962890625,0.0694296875,0.4252890625,0.069318359375,0.355970703125,0.26952734375000004,3,稳健领先
2080ti,best,8190x512,0.71426171875,0.2957578125,0.41850390625,0.339484375,0.2913359375,0.04814843750000003,0.6818046875,0.293640625,0.3881640625,0.2849388020833334,3,稳健领先
2080ti,best,8190x2047,0.15158964338055692,0.003668783585735222,0.1479208597948217,0.014347826086956521,0.0033082559843673667,0.011039570102589154,0.13614557889594528,0.0031568148510014655,0.1329887640449438,0.09731639798078488,3,稳健领先
